SEQ='NE'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  51820567.8  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)     4535.4 
     3          1S2 2S1 2P6         (2)0( 0.5)   382940.4 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)   744740.0 
     5          1S2 2S2 2P4 3S1     (4)1( 1.5)   747329.8 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)   748867.9 
     7          1S2 2S2 2P4 3S1     (2)1( 1.5)   759428.4 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)   762518.2 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)   792669.9 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)   792706.5 
    11          1S2 2S2 2P4 3P1     (4)1( 2.5)   809903.5 
    12          1S2 2S2 2P4 3P1     (4)1( 1.5)   810817.0 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)   811851.8 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)   818290.4 
    15          1S2 2S2 2P4 3P1     (4)2( 2.5)   819842.5 
    16          1S2 2S2 2P4 3P1     (4)2( 1.5)   821071.4 
    17          1S2 2S2 2P4 3P1     (4)2( 0.5)   821729.4 
    18          1S2 2S2 2P4 3P1     (2)2( 2.5)   825734.5 
    19          1S2 2S2 2P4 3P1     (2)2( 1.5)   828343.4 
    20          1S2 2S2 2P4 3P1     (2)0( 0.5)   829280.3 
    21          1S2 2S2 2P4 3P1     (4)0( 1.5)   830600.3 
    22          1S2 2S2 2P4 3P1     (2)1( 0.5)   833250.4 
    23          1S2 2S2 2P4 3P1     (2)1( 1.5)   833407.9 
    24          1S2 2S2 2P4 3S1     (2)0( 0.5)   835091.6 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)   860676.1 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)   861175.8 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)   869175.1 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)   869509.9 
    29          1S2 2S2 2P4 3P1     (2)1( 0.5)   898095.7 
    30          1S2 2S2 2P4 3P1     (2)1( 1.5)   898594.9 
    31          1S2 2S2 2P4 3D1     (4)2( 3.5)   908748.7 
    32          1S2 2S2 2P4 3D1     (4)2( 2.5)   909105.4 
    33          1S2 2S2 2P4 3D1     (4)2( 1.5)   909627.4 
    34          1S2 2S2 2P4 3D1     (4)2( 0.5)   910118.4 
    35          1S2 2S2 2P4 3D1     (4)3( 4.5)   914647.0 
    36          1S2 2S2 2P4 3D1     (4)3( 3.5)   915970.7 
    37          1S2 2S2 2P4 3P1     (2)1( 1.5)   915984.3 
    38          1S2 2S2 2P4 3D1     (4)3( 2.5)   917316.7 
    39          1S2 2S2 2P4 3D1     (4)1( 0.5)   917814.0 
    40          1S2 2S2 2P4 3D1     (4)3( 1.5)   918206.7 
    41          1S2 2S2 2P4 3D1     (2)3( 3.5)   918692.6 
    42          1S2 2S2 2P4 3D1     (4)1( 1.5)   918789.0 
    43          1S2 2S2 2P4 3P1     (2)1( 0.5)   918952.8 
    44          1S2 2S2 2P4 3D1     (4)1( 2.5)   919921.6 
    45          1S2 2S2 2P4 3D1     (2)3( 2.5)   920592.8 
    46          1S2 2S2 2P4 3D1     (2)2( 1.5)   922773.0 
    47          1S2 2S2 2P4 3D1     (2)1( 0.5)   923370.5 
    48          1S2 2S2 2P4 3D1     (2)2( 2.5)   924058.0 
    49          1S2 2S2 2P4 3D1     (2)1( 1.5)   926389.8 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)   955423.8 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)   955486.3 
    52          1S2 2S2 2P4 3D1     (2)0( 0.5)   958852.5 
    53          1S2 2S2 2P4 3D1     (2)1( 1.5)   959501.5 
    54          1S2 2S2 2P4 3D1     (2)1( 0.5)   960422.6 
    55          1S2 2S2 2P4 3D1     (2)2( 2.5)   961875.7 
    56          1S2 2S2 2P4 3D1     (2)3( 3.5)   962320.2 
    57          1S2 2S2 2P4 3D1     (2)3( 2.5)   962372.0 
    58          1S2 2S2 2P4 3D1     (2)2( 1.5)   962782.1 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)  1001519.9 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)  1001685.5 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)  1083568.7 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)  1086095.5 
    63          1S2 2S1 2P5 3S1     (4)1( 0.5)  1087722.6 
