SEQ='NE'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  95132401.6  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)    16015.8 
     3          1S2 2S1 2P6         (2)0( 0.5)   572105.6 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)  1893605.1 
     5          1S2 2S2 2P4 3S1     (4)1( 1.5)  1902332.2 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)  1907829.0 
     7          1S2 2S2 2P4 3S1     (2)1( 1.5)  1919946.5 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)  1930144.8 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)  1968188.2 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)  1968514.3 
    11          1S2 2S2 2P4 3P1     (4)1( 2.5)  2011157.6 
    12          1S2 2S2 2P4 3P1     (4)1( 1.5)  2013107.2 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)  2017776.0 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)  2026418.6 
    15          1S2 2S2 2P4 3P1     (4)2( 2.5)  2030477.7 
    16          1S2 2S2 2P4 3S1     (2)0( 0.5)  2032794.1 
    17          1S2 2S2 2P4 3P1     (4)2( 1.5)  2035793.5 
    18          1S2 2S2 2P4 3P1     (4)2( 0.5)  2037804.1 
    19          1S2 2S2 2P4 3P1     (2)1( 0.5)  2041638.1 
    20          1S2 2S2 2P4 3P1     (2)2( 2.5)  2042277.0 
    21          1S2 2S2 2P4 3P1     (2)1( 1.5)  2047264.0 
    22          1S2 2S2 2P4 3P1     (4)0( 1.5)  2051793.1 
    23          1S2 2S2 2P4 3P1     (2)2( 1.5)  2053696.0 
    24          1S2 2S2 2P4 3P1     (2)0( 0.5)  2055088.5 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)  2090187.5 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)  2092629.5 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)  2106123.6 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)  2107733.7 
    29          1S2 2S2 2P4 3P1     (2)1( 0.5)  2151319.4 
    30          1S2 2S2 2P4 3P1     (2)1( 1.5)  2155101.2 
    31          1S2 2S2 2P4 3P1     (2)1( 1.5)  2176632.0 
    32          1S2 2S2 2P4 3D1     (4)2( 3.5)  2186011.8 
    33          1S2 2S2 2P4 3D1     (4)2( 2.5)  2186754.4 
    34          1S2 2S2 2P4 3D1     (4)2( 1.5)  2188479.1 
    35          1S2 2S2 2P4 3P1     (2)1( 0.5)  2188738.9 
    36          1S2 2S2 2P4 3D1     (4)2( 0.5)  2190516.5 
    37          1S2 2S2 2P4 3D1     (4)3( 4.5)  2199353.7 
    38          1S2 2S2 2P4 3D1     (4)3( 3.5)  2203678.5 
    39          1S2 2S2 2P4 3D1     (4)1( 0.5)  2207435.1 
    40          1S2 2S2 2P4 3D1     (4)3( 2.5)  2208949.0 
    41          1S2 2S2 2P4 3D1     (4)1( 1.5)  2210692.8 
    42          1S2 2S2 2P4 3D1     (4)3( 1.5)  2212319.7 
    43          1S2 2S2 2P4 3D1     (2)3( 3.5)  2212799.0 
    44          1S2 2S2 2P4 3D1     (4)1( 2.5)  2215372.5 
    45          1S2 2S2 2P4 3D1     (2)1( 0.5)  2217871.6 
    46          1S2 2S2 2P4 3D1     (2)3( 2.5)  2218967.5 
    47          1S2 2S2 2P4 3D1     (2)2( 1.5)  2221681.6 
    48          1S2 2S2 2P4 3D1     (2)2( 2.5)  2230062.9 
    49          1S2 2S2 2P4 3D1     (2)1( 1.5)  2230074.4 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)  2261189.4 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)  2261595.7 
    52          1S2 2S2 2P4 3D1     (2)0( 0.5)  2271681.1 
    53          1S2 2S2 2P4 3D1     (2)3( 2.5)  2276258.5 
    54          1S2 2S2 2P4 3D1     (2)3( 3.5)  2277606.8 
    55          1S2 2S2 2P4 3D1     (2)1( 1.5)  2280373.3 
    56          1S2 2S2 2P4 3D1     (2)2( 2.5)  2282646.5 
    57          1S2 2S2 2P4 3D1     (2)1( 0.5)  2285636.1 
    58          1S2 2S2 2P4 3D1     (2)2( 1.5)  2287394.0 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)  2336195.7 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)  2337773.5 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)  2396823.7 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)  2405270.6 
