SEQ='NE'     NUCCHG=12                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  43072608.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)     3101.6 
     3          1S2 2S1 2P6         (2)0( 0.5)   337854.6 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)   529923.2 
     5          1S2 2S2 2P4 3S1     (4)1( 1.5)   531690.9 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)   532745.0 
     7          1S2 2S2 2P4 3S1     (2)1( 1.5)   541821.1 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)   543935.6 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)   571963.0 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)   571980.4 
    11          1S2 2S2 2P4 3P1     (4)1( 2.5)   582090.0 
    12          1S2 2S2 2P4 3P1     (4)1( 1.5)   582762.8 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)   583435.2 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)   588634.2 
    15          1S2 2S2 2P4 3P1     (4)2( 2.5)   589733.6 
    16          1S2 2S2 2P4 3P1     (4)2( 1.5)   590566.1 
    17          1S2 2S2 2P4 3P1     (4)2( 0.5)   591027.8 
    18          1S2 2S2 2P4 3P1     (2)2( 2.5)   594476.2 
    19          1S2 2S2 2P4 3P1     (2)2( 1.5)   596301.4 
    20          1S2 2S2 2P4 3P1     (2)0( 0.5)   597638.6 
    21          1S2 2S2 2P4 3P1     (4)0( 1.5)   598126.0 
    22          1S2 2S2 2P4 3P1     (2)1( 0.5)   601830.9 
    23          1S2 2S2 2P4 3P1     (2)1( 1.5)   602247.2 
    24          1S2 2S2 2P4 3S1     (2)0( 0.5)   609359.2 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)   626285.3 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)   626575.2 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)   632899.0 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)   633096.3 
    29          1S2 2S2 2P4 3P1     (2)1( 0.5)   657133.9 
    30          1S2 2S2 2P4 3P1     (2)1( 1.5)   657216.2 
    31          1S2 2S2 2P4 3D1     (4)2( 3.5)   660346.1 
    32          1S2 2S2 2P4 3D1     (4)2( 2.5)   660602.9 
    33          1S2 2S2 2P4 3D1     (4)2( 1.5)   660960.5 
    34          1S2 2S2 2P4 3D1     (4)2( 0.5)   661290.6 
    35          1S2 2S2 2P4 3D1     (4)3( 4.5)   664320.9 
    36          1S2 2S2 2P4 3D1     (4)3( 3.5)   665168.3 
    37          1S2 2S2 2P4 3D1     (4)3( 2.5)   666067.3 
    38          1S2 2S2 2P4 3D1     (4)1( 0.5)   666464.5 
    39          1S2 2S2 2P4 3D1     (4)3( 1.5)   666701.3 
    40          1S2 2S2 2P4 3D1     (2)3( 3.5)   666862.7 
    41          1S2 2S2 2P4 3D1     (4)1( 1.5)   667120.9 
    42          1S2 2S2 2P4 3D1     (2)3( 2.5)   667705.6 
    43          1S2 2S2 2P4 3D1     (4)1( 2.5)   668145.3 
    44          1S2 2S2 2P4 3D1     (2)2( 1.5)   669134.3 
    45          1S2 2S2 2P4 3D1     (2)2( 2.5)   669849.2 
    46          1S2 2S2 2P4 3D1     (2)1( 0.5)   670180.4 
    47          1S2 2S2 2P4 3D1     (2)1( 1.5)   671996.0 
    48          1S2 2S2 2P4 3P1     (2)1( 1.5)   673260.2 
    49          1S2 2S2 2P4 3P1     (2)1( 0.5)   675017.3 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)   700733.0 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)   700763.0 
    52          1S2 2S2 2P4 3D1     (2)1( 1.5)   702545.0 
    53          1S2 2S2 2P4 3D1     (2)0( 0.5)   702748.6 
    54          1S2 2S2 2P4 3D1     (2)1( 0.5)   703038.4 
    55          1S2 2S2 2P4 3D1     (2)2( 2.5)   704772.6 
    56          1S2 2S2 2P4 3D1     (2)2( 1.5)   705099.6 
    57          1S2 2S2 2P4 3D1     (2)3( 2.5)   705387.9 
    58          1S2 2S2 2P4 3D1     (2)3( 3.5)   705427.6 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)   740196.0 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)   740268.2 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)   829287.6 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)   831022.4 
    63          1S2 2S1 2P5 3S1     (4)1( 0.5)   832123.8 
    64          1S2 2S1 2P5 3S1     (2)1( 1.5)   851401.1 
