SEQ='NE'     NUCCHG=11                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  35150581.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)     2056.2 
     3          1S2 2S1 2P6         (2)0( 0.5)   293335.1 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)   340845.9 
     5          1S2 2S2 2P4 3S1     (4)1( 1.5)   342006.8 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)   342705.0 
     7          1S2 2S2 2P4 3S1     (2)1( 1.5)   349843.8 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)   351236.1 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)   377188.9 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)   377196.1 
    11          1S2 2S2 2P4 3P1     (4)1( 2.5)   379881.5 
    12          1S2 2S2 2P4 3P1     (4)1( 1.5)   380354.0 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)   380782.2 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)   384534.6 
    15          1S2 2S2 2P4 3P1     (4)2( 2.5)   385282.9 
    16          1S2 2S2 2P4 3P1     (4)2( 1.5)   385835.7 
    17          1S2 2S2 2P4 3P1     (4)2( 0.5)   386148.9 
    18          1S2 2S2 2P4 3P1     (2)2( 2.5)   388805.0 
    19          1S2 2S2 2P4 3P1     (2)2( 1.5)   390008.5 
    20          1S2 2S2 2P4 3P1     (2)0( 0.5)   391123.7 
    21          1S2 2S2 2P4 3P1     (4)0( 1.5)   391297.6 
    22          1S2 2S2 2P4 3P1     (2)1( 0.5)   396414.0 
    23          1S2 2S2 2P4 3P1     (2)1( 1.5)   396754.6 
    24          1S2 2S2 2P4 3S1     (2)0( 0.5)   410033.7 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)   417635.6 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)   417784.9 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)   422348.0 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)   422452.3 
    29          1S2 2S2 2P4 3D1     (4)2( 3.5)   436445.8 
    30          1S2 2S2 2P4 3D1     (4)2( 2.5)   436613.7 
    31          1S2 2S2 2P4 3D1     (4)2( 1.5)   436848.9 
    32          1S2 2S2 2P4 3D1     (4)2( 0.5)   437072.0 
    33          1S2 2S2 2P4 3D1     (4)3( 4.5)   438659.2 
    34          1S2 2S2 2P4 3D1     (4)3( 3.5)   439111.3 
    35          1S2 2S2 2P4 3D1     (4)3( 2.5)   439578.1 
    36          1S2 2S2 2P4 3D1     (4)1( 0.5)   439901.0 
    37          1S2 2S2 2P4 3D1     (4)3( 1.5)   439994.2 
    38          1S2 2S2 2P4 3D1     (2)3( 3.5)   440087.9 
    39          1S2 2S2 2P4 3D1     (4)1( 1.5)   440390.9 
    40          1S2 2S2 2P4 3D1     (2)3( 2.5)   440394.2 
    41          1S2 2S2 2P4 3D1     (2)2( 1.5)   440892.6 
    42          1S2 2S2 2P4 3D1     (4)1( 2.5)   440920.6 
    43          1S2 2S2 2P4 3P1     (2)1( 1.5)   440967.9 
    44          1S2 2S2 2P4 3P1     (2)1( 0.5)   441169.4 
    45          1S2 2S2 2P4 3D1     (2)2( 2.5)   441454.2 
    46          1S2 2S2 2P4 3D1     (2)1( 0.5)   441804.4 
    47          1S2 2S2 2P4 3D1     (2)1( 1.5)   442840.3 
    48          1S2 2S2 2P4 3P1     (2)1( 1.5)   456278.0 
    49          1S2 2S2 2P4 3P1     (2)1( 0.5)   457147.0 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)   470953.9 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)   470965.4 
    52          1S2 2S2 2P4 3D1     (2)1( 1.5)   471403.4 
    53          1S2 2S2 2P4 3D1     (2)1( 0.5)   471529.2 
    54          1S2 2S2 2P4 3D1     (2)0( 0.5)   472198.4 
    55          1S2 2S2 2P4 3D1     (2)2( 2.5)   473037.2 
    56          1S2 2S2 2P4 3D1     (2)2( 1.5)   473133.7 
    57          1S2 2S2 2P4 3D1     (2)3( 2.5)   473640.1 
    58          1S2 2S2 2P4 3D1     (2)3( 3.5)   473659.0 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)   504173.8 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)   504197.4 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)   601436.3 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)   602582.7 
    63          1S2 2S1 2P5 3S1     (4)1( 0.5)   603302.8 
    64          1S2 2S1 2P5 3S1     (2)1( 1.5)   618220.8 
