SEQ='NE'     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  28047372.7  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)     1320.2 
     3          1S2 2S2 2P4 3S1     (4)1( 2.5)   172104.4 
     4          1S2 2S2 2P4 3S1     (4)1( 1.5)   172833.5 
     5          1S2 2S2 2P4 3S1     (4)1( 0.5)   173276.5 
     6          1S2 2S2 2P4 3S1     (2)1( 1.5)   178005.2 
     7          1S2 2S2 2P4 3S1     (2)1( 0.5)   178881.3 
     8          1S2 2S2 2P4 3P1     (4)1( 2.5)   197747.8 
     9          1S2 2S2 2P4 3P1     (4)1( 1.5)   198062.2 
    10          1S2 2S2 2P4 3P1     (4)1( 0.5)   198331.5 
    11          1S2 2S2 2P4 3P1     (4)2( 3.5)   200487.2 
    12          1S2 2S2 2P4 3P1     (4)2( 2.5)   200975.3 
    13          1S2 2S2 2P4 3P1     (4)2( 1.5)   201333.5 
    14          1S2 2S2 2P4 3P1     (4)2( 0.5)   201538.6 
    15          1S2 2S2 2P4 3S1     (2)2( 2.5)   202926.6 
    16          1S2 2S2 2P4 3S1     (2)2( 1.5)   202929.0 
    17          1S2 2S2 2P4 3P1     (2)2( 2.5)   203168.7 
    18          1S2 2S2 2P4 3P1     (2)2( 1.5)   203914.5 
    19          1S2 2S2 2P4 3P1     (2)0( 0.5)   204531.8 
    20          1S2 2S2 2P4 3P1     (4)0( 1.5)   204598.5 
    21          1S2 2S2 2P4 3P1     (2)1( 0.5)   210980.7 
    22          1S2 2S2 2P4 3P1     (2)1( 1.5)   211152.0 
    23          1S2 2S2 2P4 3S1     (2)0( 0.5)   226325.3 
    24          1S2 2S2 2P4 3P1     (2)3( 2.5)   229238.1 
    25          1S2 2S2 2P4 3P1     (2)3( 3.5)   229299.8 
    26          1S2 2S2 2P4 3D1     (4)2( 3.5)   231673.5 
    27          1S2 2S2 2P4 3D1     (4)2( 2.5)   231763.3 
    28          1S2 2S2 2P4 3D1     (4)2( 1.5)   231902.0 
    29          1S2 2S2 2P4 3P1     (2)2( 1.5)   232049.7 
    30          1S2 2S2 2P4 3D1     (4)2( 0.5)   232057.7 
    31          1S2 2S2 2P4 3P1     (2)2( 2.5)   232094.8 
    32          1S2 2S2 2P4 3D1     (4)3( 4.5)   232511.2 
    33          1S2 2S2 2P4 3D1     (2)2( 2.5)   232568.3 
    34          1S2 2S2 2P4 3D1     (2)3( 3.5)   232648.9 
    35          1S2 2S2 2P4 3D1     (2)2( 1.5)   232792.2 
    36          1S2 2S2 2P4 3D1     (4)1( 0.5)   233039.6 
    37          1S2 2S2 2P4 3D1     (4)3( 3.5)   233296.3 
    38          1S2 2S2 2P4 3D1     (4)3( 2.5)   233386.8 
    39          1S2 2S2 2P4 3D1     (4)1( 1.5)   233421.5 
    40          1S2 2S2 2P4 3D1     (4)3( 1.5)   233627.0 
    41          1S2 2S2 2P4 3D1     (2)3( 2.5)   233678.8 
    42          1S2 2S2 2P4 3D1     (2)1( 0.5)   233683.2 
    43          1S2 2S2 2P4 3D1     (4)1( 2.5)   233904.6 
    44          1S2 2S2 2P4 3D1     (2)1( 1.5)   234268.6 
    45          1S2 2S2 2P4 3P1     (2)1( 1.5)   244146.9 
    46          1S2 2S2 2P4 3P1     (2)1( 0.5)   244442.8 
    47          1S2 2S1 2P6         (2)0( 0.5)   250237.6 
    48          1S2 2S2 2P4 3P1     (2)1( 1.5)   260011.6 
    49          1S2 2S2 2P4 3P1     (2)1( 0.5)   260331.0 
    50          1S2 2S2 2P4 3D1     (2)1( 1.5)   260817.5 
    51          1S2 2S2 2P4 3D1     (2)1( 0.5)   260839.9 
    52          1S2 2S2 2P4 3D1     (2)4( 3.5)   260887.6 
    53          1S2 2S2 2P4 3D1     (2)4( 4.5)   260890.6 
    54          1S2 2S2 2P4 3D1     (2)2( 2.5)   261650.9 
    55          1S2 2S2 2P4 3D1     (2)2( 1.5)   261666.5 
    56          1S2 2S2 2P4 3D1     (2)3( 2.5)   261999.7 
    57          1S2 2S2 2P4 3D1     (2)3( 3.5)   262004.1 
    58          1S2 2S2 2P4 3D1     (2)0( 0.5)   266342.5 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)   288431.7 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)   288435.4 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)   394818.3 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)   395543.4 
    63          1S2 2S1 2P5 3S1     (4)1( 0.5)   395996.2 
    64          1S2 2S1 2P5 3S1     (2)1( 1.5)   405954.0 
