SEQ='NE'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  71808099.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)     8922.8 
     3          1S2 2S1 2P6         (2)0( 0.5)   475659.7 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)  1259795.2 
     5          1S2 2S2 2P4 3S1     (4)1( 1.5)  1264830.9 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)  1267846.1 
     7          1S2 2S2 2P4 3S1     (2)1( 1.5)  1280045.4 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)  1286008.4 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)  1320283.2 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)  1320406.5 
    11          1S2 2S2 2P4 3P1     (4)1( 2.5)  1350942.8 
    12          1S2 2S2 2P4 3P1     (4)1( 1.5)  1352411.0 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)  1354710.2 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)  1362855.9 
    15          1S2 2S2 2P4 3P1     (4)2( 2.5)  1365597.4 
    16          1S2 2S2 2P4 3P1     (4)2( 1.5)  1368183.5 
    17          1S2 2S2 2P4 3P1     (4)2( 0.5)  1369404.2 
    18          1S2 2S2 2P4 3S1     (2)0( 0.5)  1373375.2 
    19          1S2 2S2 2P4 3P1     (2)2( 2.5)  1373875.8 
    20          1S2 2S2 2P4 3P1     (2)1( 0.5)  1376214.7 
    21          1S2 2S2 2P4 3P1     (2)2( 1.5)  1378176.9 
    22          1S2 2S2 2P4 3P1     (4)0( 1.5)  1381111.6 
    23          1S2 2S2 2P4 3P1     (2)1( 1.5)  1382424.9 
    24          1S2 2S2 2P4 3P1     (2)0( 0.5)  1383568.8 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)  1415345.9 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)  1416549.6 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)  1427574.6 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)  1428370.6 
    29          1S2 2S2 2P4 3P1     (2)1( 0.5)  1464878.7 
    30          1S2 2S2 2P4 3P1     (2)1( 1.5)  1466636.6 
    31          1S2 2S2 2P4 3P1     (2)1( 1.5)  1486665.7 
    32          1S2 2S2 2P4 3D1     (4)2( 3.5)  1488622.1 
    33          1S2 2S2 2P4 3D1     (4)2( 2.5)  1489192.7 
    34          1S2 2S2 2P4 3D1     (4)2( 1.5)  1490201.5 
    35          1S2 2S2 2P4 3D1     (4)2( 0.5)  1491245.5 
    36          1S2 2S2 2P4 3P1     (2)1( 0.5)  1493210.4 
    37          1S2 2S2 2P4 3D1     (4)3( 4.5)  1498392.7 
    38          1S2 2S2 2P4 3D1     (4)3( 3.5)  1501004.2 
    39          1S2 2S2 2P4 3D1     (4)3( 2.5)  1503749.9 
    40          1S2 2S2 2P4 3D1     (4)1( 0.5)  1503849.2 
    41          1S2 2S2 2P4 3D1     (4)3( 1.5)  1505292.9 
    42          1S2 2S2 2P4 3D1     (4)1( 1.5)  1505981.4 
    43          1S2 2S2 2P4 3D1     (2)3( 3.5)  1506392.2 
    44          1S2 2S2 2P4 3D1     (4)1( 2.5)  1508245.7 
    45          1S2 2S2 2P4 3D1     (2)3( 2.5)  1510127.9 
    46          1S2 2S2 2P4 3D1     (2)1( 0.5)  1512307.6 
    47          1S2 2S2 2P4 3D1     (2)2( 1.5)  1513575.5 
    48          1S2 2S2 2P4 3D1     (2)2( 2.5)  1517435.0 
    49          1S2 2S2 2P4 3D1     (2)1( 1.5)  1519076.8 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)  1548836.5 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)  1549020.9 
    52          1S2 2S2 2P4 3D1     (2)0( 0.5)  1555642.3 
    53          1S2 2S2 2P4 3D1     (2)1( 1.5)  1559654.5 
    54          1S2 2S2 2P4 3D1     (2)3( 2.5)  1559788.1 
    55          1S2 2S2 2P4 3D1     (2)3( 3.5)  1560421.6 
    56          1S2 2S2 2P4 3D1     (2)1( 0.5)  1562223.9 
    57          1S2 2S2 2P4 3D1     (2)2( 2.5)  1562309.2 
    58          1S2 2S2 2P4 3D1     (2)2( 1.5)  1564445.4 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)  1608970.4 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)  1609556.0 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)  1679439.7 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)  1684307.6 
