SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83052192.2  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)    12075.8 
     3          1S2 2S1 2P6         (2)0( 0.5)   523384.7 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)  1561681.9 
     5          1S2 2S2 2P4 3S1     (4)1( 1.5)  1568402.9 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)  1572499.6 
     7          1S2 2S2 2P4 3S1     (2)1( 1.5)  1584860.5 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)  1592774.0 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)  1628979.5 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)  1629185.2 
    11          1S2 2S2 2P4 3P1     (4)1( 2.5)  1665954.6 
    12          1S2 2S2 2P4 3P1     (4)1( 1.5)  1667690.3 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)  1671005.5 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)  1679559.7 
    15          1S2 2S2 2P4 3P1     (4)2( 2.5)  1682974.6 
    16          1S2 2S2 2P4 3P1     (4)2( 1.5)  1686693.4 
    17          1S2 2S2 2P4 3S1     (2)0( 0.5)  1687701.5 
    18          1S2 2S2 2P4 3P1     (4)2( 0.5)  1688285.4 
    19          1S2 2S2 2P4 3P1     (2)2( 2.5)  1692765.6 
    20          1S2 2S2 2P4 3P1     (2)1( 0.5)  1693818.3 
    21          1S2 2S2 2P4 3P1     (2)2( 1.5)  1697583.8 
    22          1S2 2S2 2P4 3P1     (4)0( 1.5)  1701124.9 
    23          1S2 2S2 2P4 3P1     (2)1( 1.5)  1702573.8 
    24          1S2 2S2 2P4 3P1     (2)0( 0.5)  1703995.1 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)  1737509.0 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)  1739251.9 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)  1751591.5 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)  1752741.8 
    29          1S2 2S2 2P4 3P1     (2)1( 0.5)  1792868.6 
    30          1S2 2S2 2P4 3P1     (2)1( 1.5)  1795529.1 
    31          1S2 2S2 2P4 3P1     (2)1( 1.5)  1816482.2 
    32          1S2 2S2 2P4 3D1     (4)2( 3.5)  1822343.6 
    33          1S2 2S2 2P4 3D1     (4)2( 2.5)  1823011.2 
    34          1S2 2S2 2P4 3D1     (4)2( 1.5)  1824350.4 
    35          1S2 2S2 2P4 3P1     (2)1( 0.5)  1825528.2 
    36          1S2 2S2 2P4 3D1     (4)2( 0.5)  1825826.9 
    37          1S2 2S2 2P4 3D1     (4)3( 4.5)  1833951.6 
    38          1S2 2S2 2P4 3D1     (4)3( 3.5)  1837377.4 
    39          1S2 2S2 2P4 3D1     (4)1( 0.5)  1840670.3 
    40          1S2 2S2 2P4 3D1     (4)3( 2.5)  1841205.9 
    41          1S2 2S2 2P4 3D1     (4)1( 1.5)  1842968.2 
    42          1S2 2S2 2P4 3D1     (4)3( 1.5)  1843897.0 
    43          1S2 2S2 2P4 3D1     (2)3( 3.5)  1844444.2 
    44          1S2 2S2 2P4 3D1     (4)1( 2.5)  1846661.0 
    45          1S2 2S2 2P4 3D1     (2)3( 2.5)  1849335.8 
    46          1S2 2S2 2P4 3D1     (2)1( 0.5)  1850192.6 
    47          1S2 2S2 2P4 3D1     (2)2( 1.5)  1852668.9 
    48          1S2 2S2 2P4 3D1     (2)2( 2.5)  1858542.3 
    49          1S2 2S2 2P4 3D1     (2)1( 1.5)  1859472.5 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)  1889830.5 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)  1890111.6 
    52          1S2 2S2 2P4 3D1     (2)0( 0.5)  1898465.7 
    53          1S2 2S2 2P4 3D1     (2)3( 2.5)  1902889.4 
    54          1S2 2S2 2P4 3D1     (2)3( 3.5)  1903823.8 
    55          1S2 2S2 2P4 3D1     (2)1( 1.5)  1904724.6 
    56          1S2 2S2 2P4 3D1     (2)2( 2.5)  1907187.4 
    57          1S2 2S2 2P4 3D1     (2)1( 0.5)  1908494.5 
    58          1S2 2S2 2P4 3D1     (2)2( 1.5)  1910507.1 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)  1957292.8 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)  1958278.3 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)  2022733.3 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)  2029220.8 
