SEQ='NE'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  61398233.7  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)     6444.0 
     3          1S2 2S1 2P6         (2)0( 0.5)   428860.8 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)   987663.7 
     5          1S2 2S2 2P4 3S1     (4)1( 1.5)   991330.8 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)   993510.2 
     7          1S2 2S2 2P4 3S1     (2)1( 1.5)  1005111.6 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)  1009472.5 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)  1041722.1 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)  1041791.8 
    11          1S2 2S2 2P4 3P1     (4)1( 2.5)  1065794.6 
    12          1S2 2S2 2P4 3P1     (4)1( 1.5)  1066979.4 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)  1068538.6 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)  1075970.4 
    15          1S2 2S2 2P4 3P1     (4)2( 2.5)  1078076.3 
    16          1S2 2S2 2P4 3P1     (4)2( 1.5)  1079865.9 
    17          1S2 2S2 2P4 3P1     (4)2( 0.5)  1080775.3 
    18          1S2 2S2 2P4 3P1     (2)2( 2.5)  1085110.9 
    19          1S2 2S2 2P4 3P1     (2)1( 0.5)  1088328.3 
    20          1S2 2S2 2P4 3P1     (2)2( 1.5)  1088602.7 
    21          1S2 2S2 2P4 3S1     (2)0( 0.5)  1089386.8 
    22          1S2 2S2 2P4 3P1     (4)0( 1.5)  1091202.2 
    23          1S2 2S2 2P4 3P1     (2)1( 1.5)  1092962.0 
    24          1S2 2S2 2P4 3P1     (2)0( 0.5)  1093478.6 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)  1123290.4 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)  1124087.7 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)  1133659.7 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)  1134189.2 
    29          1S2 2S2 2P4 3P1     (2)1( 0.5)  1166876.3 
    30          1S2 2S2 2P4 3P1     (2)1( 1.5)  1167924.7 
    31          1S2 2S2 2P4 3D1     (4)2( 3.5)  1184361.7 
    32          1S2 2S2 2P4 3D1     (4)2( 2.5)  1184825.5 
    33          1S2 2S2 2P4 3D1     (4)2( 1.5)  1185562.5 
    34          1S2 2S2 2P4 3D1     (4)2( 0.5)  1186284.8 
    35          1S2 2S2 2P4 3P1     (2)1( 1.5)  1186728.4 
    36          1S2 2S2 2P4 3P1     (2)1( 0.5)  1191270.5 
    37          1S2 2S2 2P4 3D1     (4)3( 4.5)  1192215.7 
    38          1S2 2S2 2P4 3D1     (4)3( 3.5)  1194123.9 
    39          1S2 2S2 2P4 3D1     (4)3( 2.5)  1196064.8 
    40          1S2 2S2 2P4 3D1     (4)1( 0.5)  1196490.6 
    41          1S2 2S2 2P4 3D1     (4)3( 1.5)  1197271.1 
    42          1S2 2S2 2P4 3D1     (4)1( 1.5)  1197932.0 
    43          1S2 2S2 2P4 3D1     (2)3( 3.5)  1198082.9 
    44          1S2 2S2 2P4 3D1     (4)1( 2.5)  1199611.5 
    45          1S2 2S2 2P4 3D1     (2)3( 2.5)  1200814.0 
    46          1S2 2S2 2P4 3D1     (2)1( 0.5)  1203645.1 
    47          1S2 2S2 2P4 3D1     (2)2( 1.5)  1203863.7 
    48          1S2 2S2 2P4 3D1     (2)2( 2.5)  1206195.0 
    49          1S2 2S2 2P4 3D1     (2)1( 1.5)  1208320.7 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)  1237650.5 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)  1237763.3 
    52          1S2 2S2 2P4 3D1     (2)0( 0.5)  1242698.7 
    53          1S2 2S2 2P4 3D1     (2)1( 1.5)  1244793.7 
    54          1S2 2S2 2P4 3D1     (2)3( 2.5)  1246418.2 
    55          1S2 2S2 2P4 3D1     (2)1( 0.5)  1246419.9 
    56          1S2 2S2 2P4 3D1     (2)3( 3.5)  1246860.8 
    57          1S2 2S2 2P4 3D1     (2)2( 2.5)  1247582.2 
    58          1S2 2S2 2P4 3D1     (2)2( 1.5)  1248782.0 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)  1290656.4 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)  1290982.6 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)  1366583.5 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)  1370142.5 
