SEQ='NE'     NUCCHG=23                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 185283754.5  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)    63612.3 
     3          1S2 2S1 2P6         (2)0( 0.5)   891557.6 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)  4520284.9 
     5          1S2 2S2 2P4 3S1     (2)1( 1.5)  4543549.9 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)  4571675.7 
     7          1S2 2S2 2P4 3S1     (4)1( 1.5)  4582329.1 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)  4606330.9 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)  4656228.5 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)  4658546.0 
    11          1S2 2S2 2P4 3P1     (4)1( 1.5)  4722018.7 
    12          1S2 2S2 2P4 3P1     (4)1( 2.5)  4722325.8 
    13          1S2 2S2 2P4 3P1     (4)1( 0.5)  4742645.9 
    14          1S2 2S2 2P4 3P1     (4)2( 3.5)  4747913.5 
    15          1S2 2S2 2P4 3P1     (2)2( 2.5)  4751901.0 
    16          1S2 2S2 2P4 3S1     (2)0( 0.5)  4768591.8 
    17          1S2 2S2 2P4 3P1     (2)1( 0.5)  4779360.4 
    18          1S2 2S2 2P4 3P1     (4)2( 1.5)  4783225.1 
    19          1S2 2S2 2P4 3P1     (4)2( 0.5)  4786175.0 
    20          1S2 2S2 2P4 3P1     (2)1( 1.5)  4797310.4 
    21          1S2 2S2 2P4 3P1     (4)2( 2.5)  4800013.4 
    22          1S2 2S2 2P4 3P1     (4)0( 1.5)  4809054.5 
    23          1S2 2S2 2P4 3P1     (2)0( 0.5)  4818679.4 
    24          1S2 2S2 2P4 3P1     (2)2( 1.5)  4822405.7 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)  4860043.2 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)  4872079.8 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)  4887989.2 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)  4895472.2 
    29          1S2 2S2 2P4 3P1     (2)1( 0.5)  4958889.4 
    30          1S2 2S2 2P4 3P1     (2)1( 1.5)  4968910.8 
    31          1S2 2S2 2P4 3P1     (2)1( 1.5)  4997748.4 
    32          1S2 2S2 2P4 3D1     (4)2( 2.5)  5008501.7 
    33          1S2 2S2 2P4 3D1     (4)2( 3.5)  5008510.3 
    34          1S2 2S2 2P4 3D1     (4)2( 1.5)  5012665.4 
    35          1S2 2S2 2P4 3D1     (4)2( 0.5)  5020006.2 
    36          1S2 2S2 2P4 3D1     (4)3( 4.5)  5029571.6 
    37          1S2 2S2 2P4 3P1     (2)1( 0.5)  5036274.0 
    38          1S2 2S2 2P4 3D1     (2)3( 3.5)  5038637.8 
    39          1S2 2S2 2P4 3D1     (4)1( 0.5)  5048789.9 
    40          1S2 2S2 2P4 3D1     (4)1( 1.5)  5059930.8 
    41          1S2 2S2 2P4 3D1     (4)3( 2.5)  5063552.0 
    42          1S2 2S2 2P4 3D1     (2)1( 0.5)  5071449.4 
    43          1S2 2S2 2P4 3D1     (4)3( 1.5)  5076542.0 
    44          1S2 2S2 2P4 3D1     (4)1( 2.5)  5078023.0 
    45          1S2 2S2 2P4 3D1     (4)3( 3.5)  5079671.5 
    46          1S2 2S2 2P4 3D1     (2)2( 1.5)  5085488.7 
    47          1S2 2S2 2P4 3D1     (2)3( 2.5)  5094608.9 
    48          1S2 2S2 2P4 3D1     (2)1( 1.5)  5108168.4 
    49          1S2 2S2 2P4 3D1     (2)2( 2.5)  5116081.7 
    50          1S2 2S2 2P4 3D1     (2)4( 3.5)  5145755.4 
    51          1S2 2S2 2P4 3D1     (2)4( 4.5)  5147887.0 
    52          1S2 2S2 2P4 3D1     (2)0( 0.5)  5166739.5 
    53          1S2 2S2 2P4 3D1     (2)3( 2.5)  5169731.2 
    54          1S2 2S2 2P4 3D1     (2)3( 3.5)  5176663.7 
    55          1S2 2S2 2P4 3D1     (2)1( 1.5)  5187991.7 
    56          1S2 2S2 2P4 3D1     (2)2( 2.5)  5191627.8 
    57          1S2 2S2 2P4 3D1     (2)2( 1.5)  5208465.5 
    58          1S2 2S2 2P4 3D1     (2)1( 0.5)  5210991.6 
    59          1S2 2S2 2P4 3D1     (2)2( 2.5)  5276169.6 
    60          1S2 2S2 2P4 3D1     (2)2( 1.5)  5288044.4 
    61          1S2 2S1 2P5 3S1     (4)1( 2.5)  5299401.4 
    62          1S2 2S1 2P5 3S1     (4)1( 1.5)  5327122.9 
    63          1S2 2S1 2P5 3S1     (4)1( 0.5)  5353254.9 
    64          1S2 2S1 2P5 3S1     (2)1( 1.5)  5381271.6 
    65          1S2 2S1 2P5 3S1     (2)1( 0.5)  5414262.1 
    66          1S2 2S1 2P5 3P1     (4)0( 1.5)  5488001.3 
    67          1S2 2S1 2P5 3P1     (4)2( 2.5)  5515381.7 
    68          1S2 2S1 2P5 3P1     (4)2( 3.5)  5517179.3 
    69          1S2 2S1 2P5 3P1     (4)2( 1.5)  5531105.7 
    70          1S2 2S1 2P5 3P1     (2)2( 2.5)  5542733.4 
    71          1S2 2S1 2P5 3P1     (4)2( 0.5)  5548545.6 
    72          1S2 2S1 2P5 3P1     (2)1( 1.5)  5560166.5 
    73          1S2 2S1 2P5 3P1     (4)1( 2.5)  5570660.5 
    74          1S2 2S1 2P5 3P1     (4)1( 1.5)  5574525.5 
    75          1S2 2S1 2P5 3P1     (4)1( 0.5)  5575488.4 
    76          1S2 2S1 2P5 3P1     (2)1( 0.5)  5577346.4 
    77          1S2 2S1 2P5 3P1     (2)2( 1.5)  5601492.0 
    78          1S2 2S1 2P5 3S1     (2)1( 1.5)  5609199.7 
