SEQ='NE'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 329256543.4  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)   206193.5 
     3          1S2 2S1 2P6         (2)0( 0.5)  1356236.2 
     4          1S2 2S2 2P4 3S1     (4)1( 2.5)  8958135.2 
     5          1S2 2S2 2P4 3S1     (2)1( 1.5)  8991890.3 
     6          1S2 2S2 2P4 3S1     (4)1( 0.5)  9074912.7 
     7          1S2 2S2 2P4 3S1     (4)1( 1.5)  9148902.7 
     8          1S2 2S2 2P4 3S1     (2)1( 0.5)  9176238.4 
     9          1S2 2S2 2P4 3S1     (2)2( 2.5)  9245086.4 
    10          1S2 2S2 2P4 3S1     (2)2( 1.5)  9252576.8 
    11          1S2 2S2 2P4 3P1     (4)1( 1.5)  9256386.6 
    12          1S2 2S2 2P4 3P1     (4)1( 2.5)  9267661.5 
    13          1S2 2S2 2P4 3P1     (2)1( 0.5)  9310332.1 
    14          1S2 2S2 2P4 3P1     (2)2( 2.5)  9315220.4 
    15          1S2 2S2 2P4 3P1     (4)2( 3.5)  9318823.1 
    16          1S2 2S2 2P4 3P1     (4)2( 0.5)  9383839.7 
    17          1S2 2S2 2P4 3P1     (4)0( 1.5)  9408155.9 
    18          1S2 2S2 2P4 3P1     (4)2( 1.5)  9431799.9 
    19          1S2 2S2 2P4 3P1     (4)1( 0.5)  9438689.6 
    20          1S2 2S2 2P4 3P1     (2)1( 1.5)  9478895.4 
    21          1S2 2S2 2P4 3S1     (2)0( 0.5)  9490916.1 
    22          1S2 2S2 2P4 3P1     (4)2( 2.5)  9498661.1 
    23          1S2 2S2 2P4 3P1     (2)0( 0.5)  9520963.7 
    24          1S2 2S2 2P4 3P1     (2)2( 1.5)  9526070.1 
    25          1S2 2S2 2P4 3P1     (2)3( 2.5)  9546820.4 
    26          1S2 2S2 2P4 3P1     (2)3( 3.5)  9592816.6 
    27          1S2 2S2 2P4 3P1     (2)2( 1.5)  9602518.8 
    28          1S2 2S2 2P4 3P1     (2)2( 2.5)  9623005.3 
    29          1S2 2S2 2P4 3P1     (2)1( 1.5)  9685350.6 
    30          1S2 2S2 2P4 3D1     (4)2( 2.5)  9698885.7 
    31          1S2 2S2 2P4 3D1     (4)2( 1.5)  9702027.8 
    32          1S2 2S2 2P4 3D1     (4)2( 3.5)  9704685.3 
    33          1S2 2S2 2P4 3D1     (2)1( 0.5)  9713802.7 
    34          1S2 2S2 2P4 3P1     (2)1( 0.5)  9723103.8 
    35          1S2 2S2 2P4 3D1     (4)3( 4.5)  9730147.8 
    36          1S2 2S2 2P4 3D1     (2)3( 3.5)  9737942.9 
    37          1S2 2S2 2P4 3D1     (4)1( 0.5)  9763430.8 
    38          1S2 2S2 2P4 3D1     (4)1( 1.5)  9785547.8 
