SEQ='MG'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  52978290.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    51982.8 
     3          2S2 2P6 3P1         (2)1( 1.5)    52223.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   112940.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   112953.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  53126022.0 NLVL=   922
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)    35242.7 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)    35314.1 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)    35458.2 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)    62831.7 
     6   588    2S2 2P6 3P2         (1)2( 2.0)    82379.2 
     7   589    2S2 2P6 3P2         (3)1( 0.0)    91982.0 
     8   590    2S2 2P6 3P2         (3)1( 1.0)    92055.7 
     9   591    2S2 2P6 3P2         (3)1( 2.0)    92200.2 
    10   592    2S2 2P6 3S1 3D1     (3)2( 1.0)    94805.0 
    11   593    2S2 2P6 3S1 3D1     (3)2( 2.0)    94808.8 
    12   594    2S2 2P6 3S1 3D1     (3)2( 3.0)    94814.4 
    13   595    2S2 2P6 3P2         (1)0( 0.0)   115925.9 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   121477.1 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   137101.6 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   137180.6 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   137283.3 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   138921.5 
    19    17    2S2 2P5 3S2 3P1     (3)0( 1.0)   572764.5*
    20    18    2S2 2P5 3S2 3P1     (3)2( 3.0)   578441.2*
    21    19    2S2 2P5 3S2 3P1     (3)2( 2.0)   579290.9*
    22    20    2S2 2P5 3S2 3P1     (3)2( 1.0)   580513.5*
    23    21    2S2 2P5 3S2 3P1     (3)1( 2.0)   582289.4*
    24    22    2S2 2P5 3S2 3P1     (1)1( 1.0)   583677.4*
    25    23    2S2 2P5 3S2 3P1     (3)1( 0.0)   584400.2*
    26    24    2S2 2P5 3S2 3P1     (1)2( 2.0)   584842.3*
    27    25    2S2 2P5 3S2 3P1     (3)1( 1.0)   585057.3*
    28   606    2S2 2P5 3S1 3P2     (5)1( 3.0)   607404.9*
    29   607    2S2 2P5 3S1 3P2     (5)1( 2.0)   608088.2*
    30   608    2S2 2P5 3S1 3P2     (5)1( 1.0)   608744.0*
    31   610    2S2 2P5 3S1 3P2     (5)2( 3.0)   612786.6*
    32   611    2S2 2P5 3S1 3P2     (5)2( 2.0)   613566.1*
    33   612    2S2 2P5 3S1 3P2     (5)2( 1.0)   614119.6*
    34   613    2S2 2P5 3S1 3P2     (5)2( 0.0)   614385.5*
    35   614    2S2 2P5 3S1 3P2     (5)0( 2.0)   618711.1*
    36   615    2S2 2P5 3S2 3D1     (3)1( 0.0)   619051.6*
    37   616    2S2 2P5 3S2 3D1     (3)1( 1.0)   619226.9*
    38   617    2S2 2P5 3S2 3D1     (3)1( 2.0)   620588.3*
    39   618    2S2 2P5 3S1 3P2     (3)2( 1.0)   620638.9*
    40   619    2S2 2P5 3S1 3P2     (3)2( 2.0)   621538.7*
    41   620    2S2 2P5 3S1 3P2     (3)2( 3.0)   622422.4*
    42   621    2S2 2P5 3S1 3P2     (3)0( 1.0)   624374.6*
    43   622    2S2 2P5 3S1 3P2     (3)3( 4.0)   626942.5*
    44   623    2S2 2P5 3S1 3P2     (3)3( 3.0)   627966.0*
    45   624    2S2 2P5 3S1 3P2     (3)3( 2.0)   629248.8*
    46   625    2S2 2P5 3S1 3P2     (3)2( 3.0)   631376.9*
    47   626    2S2 2P5 3S1 3P2     (3)2( 1.0)   632100.8*
    48   627    2S2 2P5 3S1 3P2     (3)2( 2.0)   632810.8*
    49    26    2S2 2P5 3S2 3P1     (1)0( 0.0)   633407.4*
    50   628    2S2 2P5 3S1 3P2     (1)3( 3.0)   634228.9*
    51   629    2S2 2P5 3S1 3P2     (1)1( 1.0)   635333.6*
    52   630    2S2 2P5 3S1 3P2     (1)2( 2.0)   636880.2*
    53   631    2S2 2P5 3S1 3P2     (3)1( 0.0)   643286.8*
    54   632    2S2 2P5 3S1 3P2     (3)1( 1.0)   643617.6*
