SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112598657.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   139159.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   141824.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   334980.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   335372.8 

   IC RESOLVED LEVEL INDEXING           BWNR= 113591701.4 NLVL=  1113
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   112332.5 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   113125.5 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   114777.1 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   173173.0 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   265149.8 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   270139.1 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   271055.8 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   272824.5 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   320055.4 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   329682.5 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   329819.7 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   330026.3 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   381955.6 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   448575.0 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   449640.1 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   450940.8 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   454737.7 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   478671.6 
    20    10    2S2 2P6 3P1 3D1     (3)1( 1.0)   479259.6 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   479805.0 
    22    12    2S2 2P6 3P1 3D1     (3)2( 1.0)   481374.9 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   481820.8 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   482136.3 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   525869.6 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   533270.3 
    27   597    2S2 2P6 3D2         (3)3( 2.0)   664802.9 
    28   598    2S2 2P6 3D2         (3)3( 3.0)   665011.6 
    29   599    2S2 2P6 3D2         (3)3( 4.0)   665285.6 
    30   600    2S2 2P6 3D2         (3)1( 0.0)   682255.3 
    31   601    2S2 2P6 3D2         (3)1( 1.0)   682330.9 
    32   602    2S2 2P6 3D2         (3)1( 2.0)   682423.6 
    33   603    2S2 2P6 3D2         (1)2( 2.0)   683269.7 
    34   604    2S2 2P6 3D2         (1)4( 4.0)   685003.3 
    35   605    2S2 2P6 3D2         (1)0( 0.0)   728573.5 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  2018332.8*
    37    18    2S2 2P5 3S2 3P1     (3)2( 3.0)  2031411.8*
    38    19    2S2 2P5 3S2 3P1     (3)2( 2.0)  2032407.4*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  2037316.1*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  2040632.5*
    41    22    2S2 2P5 3S2 3P1     (3)2( 1.0)  2049998.2*
    42    23    2S2 2P5 3S2 3P1     (3)1( 0.0)  2050247.0*
    43    24    2S2 2P5 3S2 3P1     (1)2( 2.0)  2054786.6*
    44    25    2S2 2P5 3S2 3P1     (3)1( 1.0)  2054906.9*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  2118809.8*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  2120883.4*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  2124203.1*
    48   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  2132743.0*
    49   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  2135435.9*
    50   612    2S2 2P5 3S1 3P2     (5)2( 1.0)  2137698.0*
    51   613    2S2 2P5 3S1 3P2     (5)2( 0.0)  2138032.8*
    52   614    2S2 2P5 3S1 3P2     (3)1( 2.0)  2144300.5*
    53   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  2144886.5*
    54   616    2S2 2P5 3S1 3P2     (3)1( 0.0)  2147100.7*
    55    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  2147722.8*
    56   617    2S2 2P5 3S1 3P2     (3)2( 1.0)  2151198.9*
    57   618    2S2 2P5 3S1 3P2     (5)0( 2.0)  2154540.7*
    58   619    2S2 2P5 3S1 3P2     (3)2( 2.0)  2155803.6*
    59   620    2S2 2P5 3S1 3P2     (3)2( 3.0)  2159870.8*
    60   621    2S2 2P5 3S1 3P2     (3)0( 1.0)  2161736.3*
    61   622    2S2 2P5 3S1 3P2     (3)3( 4.0)  2164322.3*
