SEQ='MG'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 142868335.0  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   173269.9 
     3          2S2 2P6 3P1         (2)1( 1.5)   178218.2 
     4          2S2 2P6 3D1         (2)2( 1.5)   420625.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   421472.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 144375947.0 NLVL=  1116
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   142419.7 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   143886.1 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   147009.6 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   216954.9 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   336887.7 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   340334.5 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   342156.5 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   345665.6 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   402060.7 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   418977.4 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   419281.3 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   419740.9 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   480467.1 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   569651.7 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   571794.3 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   574320.6 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   577805.2 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   606199.8 
    20    10    2S2 2P6 3P1 3D1     (3)1( 1.0)   606969.6 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   608472.5 
    22    12    2S2 2P6 3P1 3D1     (3)2( 1.0)   609549.9 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   610243.0 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   610602.4 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   663344.7 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   671796.0 
    27   597    2S2 2P6 3D2         (3)3( 2.0)   844161.4 
    28   598    2S2 2P6 3D2         (3)3( 3.0)   844629.1 
    29   599    2S2 2P6 3D2         (3)3( 4.0)   845236.2 
    30   600    2S2 2P6 3D2         (3)1( 0.0)   866051.9 
    31   601    2S2 2P6 3D2         (3)1( 1.0)   866221.9 
    32   602    2S2 2P6 3D2         (3)1( 2.0)   866276.4 
    33   603    2S2 2P6 3D2         (1)2( 2.0)   867310.9 
    34   604    2S2 2P6 3D2         (1)4( 4.0)   870038.7 
    35   605    2S2 2P6 3D2         (1)0( 0.0)   923271.3 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  2803992.3*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  2820218.7*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  2820238.0*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  2827418.1*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  2831722.4*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  2846936.5*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  2848626.6*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  2855718.3*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  2856168.5*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  2931037.4*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  2933507.9*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  2938850.6*
    48   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  2949013.6*
    49   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  2952355.6*
    50   612    2S2 2P5 3S1 3P2     (3)1( 0.0)  2955260.1*
    51   613    2S2 2P5 3S1 3P2     (5)2( 1.0)  2955581.2*
    52   614    2S2 2P5 3S1 3P2     (3)1( 2.0)  2962180.8*
    53    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  2962631.2*
    54   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  2963012.3*
    55   616    2S2 2P5 3S1 3P2     (5)2( 0.0)  2969852.3*
    56   617    2S2 2P5 3S1 3P2     (3)2( 1.0)  2974721.0*
    57   618    2S2 2P5 3S1 3P2     (5)0( 2.0)  2980368.8*
    58   619    2S2 2P5 3S1 3P2     (3)2( 2.0)  2981268.6*
    59   620    2S2 2P5 3S1 3P2     (3)3( 4.0)  2986227.8*
    60   621    2S2 2P5 3S1 3P2     (3)0( 1.0)  2987431.5*
    61   622    2S2 2P5 3S1 3P2     (3)2( 3.0)  2987829.9*
