SEQ='MG'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  98844513.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)   121229.7 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)   123422.5 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   291472.8 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   291754.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  99621259.4 NLVL=   172
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   577    1S2 2S2 2P6 3S2     (1)0( 0.0)        0.0 
     2     1    1S2 2S2 2P6 3S1 3P1 (3)1( 0.0)    95816.8 
     3     2    1S2 2S2 2P6 3S1 3P1 (3)1( 1.0)    96467.3 
     4     3    1S2 2S2 2P6 3S1 3P1 (3)1( 2.0)    97817.8 
     5     4    1S2 2S2 2P6 3S1 3P1 (1)1( 1.0)   149689.2 
     6   578    1S2 2S2 2P6 3P2     (1)2( 2.0)   228001.3 
     7   579    1S2 2S2 2P6 3P2     (3)1( 0.0)   235114.5 
     8   580    1S2 2S2 2P6 3P2     (3)1( 1.0)   235849.0 
     9   581    1S2 2S2 2P6 3P2     (3)1( 2.0)   237265.3 
    10   582    1S2 2S2 2P6 3S1 3D1 (3)2( 1.0)   282601.0 
    11   583    1S2 2S2 2P6 3S1 3D1 (3)2( 2.0)   282698.5 
    12   584    1S2 2S2 2P6 3S1 3D1 (3)2( 3.0)   282845.2 
    13   585    1S2 2S2 2P6 3P2     (1)0( 0.0)   290253.7 
    14   586    1S2 2S2 2P6 3S1 3D1 (1)2( 2.0)   335127.8 
    15     5    1S2 2S2 2P6 3P1 3D1 (3)3( 2.0)   384456.4 
    16     6    1S2 2S2 2P6 3P1 3D1 (3)3( 3.0)   385304.4 
    17     7    1S2 2S2 2P6 3P1 3D1 (3)3( 4.0)   386348.2 
    18     8    1S2 2S2 2P6 3P1 3D1 (1)2( 2.0)   389919.9 
    19     9    1S2 2S2 2P6 3P1 3D1 (3)1( 2.0)   411341.4 
    20    10    1S2 2S2 2P6 3P1 3D1 (3)1( 1.0)   411858.3 
    21    11    1S2 2S2 2P6 3P1 3D1 (3)1( 0.0)   412276.1 
    22    12    1S2 2S2 2P6 3P1 3D1 (3)2( 1.0)   413982.0 
    23    13    1S2 2S2 2P6 3P1 3D1 (3)2( 2.0)   414342.3 
    24    14    1S2 2S2 2P6 3P1 3D1 (3)2( 3.0)   414612.0 
    25    15    1S2 2S2 2P6 3P1 3D1 (1)3( 3.0)   453984.3 
    26    16    1S2 2S2 2P6 3P1 3D1 (1)1( 1.0)   461002.2 
    27   863    1S1 2S2 2P6 3S2 3P1 (3)1( 0.0) 22892000.9*
    28   864    1S1 2S2 2P6 3S2 3P1 (3)1( 1.0) 22892676.7*
    29   865    1S1 2S2 2P6 3S2 3P1 (3)1( 2.0) 22894364.8*
    30   866    1S1 2S2 2P6 3S2 3P1 (1)1( 1.0) 22903865.3*
    31   470    1S1 2S2 2P6 3S1 3P2 (5)1( 2.0) 22970046.4*
    32   472    1S1 2S2 2P6 3S1 3P2 (3)1( 0.0) 22993879.8*
    33   473    1S1 2S2 2P6 3S1 3P2 (3)1( 1.0) 22994563.9*
    34   474    1S1 2S2 2P6 3S1 3P2 (3)1( 2.0) 22995866.6*
    35   475    1S1 2S2 2P6 3S1 3P2 (3)2( 1.0) 23010838.2*
    36   476    1S1 2S2 2P6 3S1 3P2 (3)2( 2.0) 23010886.8*
    37   477    1S1 2S2 2P6 3S1 3P2 (3)2( 3.0) 23010933.8*
    38   478    1S1 2S2 2P6 3S1 3P2 (1)2( 2.0) 23025961.9*
    39   479    1S1 2S2 2P6 3S1 3P2 (3)0( 1.0) 23048694.8*
    40   480    1S1 2S2 2P6 3S1 3P2 (3)1( 0.0) 23062141.8*
    41   481    1S1 2S2 2P6 3S1 3P2 (3)1( 1.0) 23063197.4*
    42   482    1S1 2S2 2P6 3S1 3P2 (3)1( 2.0) 23064307.9*
    43   483    1S1 2S2 2P6 3S1 3P2 (1)0( 0.0) 23066499.7*
    44   484    1S1 2S2 2P6 3S1 3P2 (1)1( 1.0) 23071291.2*
    45   485    1S1 2S2 2P6 3S2 3D1 (3)2( 1.0) 23116109.9*
    46   486    1S1 2S2 2P6 3S2 3D1 (3)2( 2.0) 23116209.1*
    47   487    1S1 2S2 2P6 3S2 3D1 (3)2( 3.0) 23116375.5*
    48   488    1S1 2S2 2P6 3S2 3D1 (1)2( 2.0) 23118485.8*
    49   867    1S1 2S2 2P6 3P3     (3)2( 1.0) 23128437.7*
    50   868    1S1 2S2 2P6 3P3     (3)2( 2.0) 23128513.9*
    51   869    1S1 2S2 2P6 3P3     (3)2( 3.0) 23128644.6*
    52   870    1S1 2S2 2P6 3P3     (5)0( 2.0) 23134179.0*
    53   871    1S1 2S2 2P6 3P3     (1)2( 2.0) 23140808.0*
    54   872    1S1 2S2 2P6 3P3     (3)0( 1.0) 23154476.9*
    55   878    1S1 2S2 2P6 3P3     (3)1( 2.0) 23169529.5*
    56   879    1S1 2S2 2P6 3P3     (3)1( 1.0) 23169618.1*
    57   880    1S1 2S2 2P6 3P3     (3)1( 0.0) 23169629.1*
    58   881    1S1 2S2 2P6 3P3     (1)1( 1.0) 23179670.2*
    59   882   +1S1 3S1 3P1 3D1     (3)3( 2.0) 23182520.2*
    60   883   +1S1 3S1 3P1 3D1     (3)3( 3.0) 23183307.3*
    61   884   +1S1 3S1 3P1 3D1     (3)3( 4.0) 23184375.8*
    62   885   +1S1 3S1 3P1 3D1     (5)1( 3.0) 23192330.6*
    63   888   +1S1 3S1 3P1 3D1     (5)2( 0.0) 23196461.1*
    64   893   +1S1 3S1 3P1 3D1     (3)1( 2.0) 23209980.4*
    65   894   +1S1 3S1 3P1 3D1     (3)1( 1.0) 23210540.1*
    66   895   +1S1 3S1 3P1 3D1     (3)1( 0.0) 23211258.2*
    67   896   +1S1 3S1 3P1 3D1     (3)2( 1.0) 23211918.9*
    68   897   +1S1 3S1 3P1 3D1     (3)2( 3.0) 23212012.1*
    69   898   +1S1 3S1 3P1 3D1     (3)2( 2.0) 23212130.3*
    70   899   +1S1 3S1 3P1 3D1     (3)2( 1.0) 23217869.1*
    71   900   +1S1 3S1 3P1 3D1     (3)2( 2.0) 23217957.1*
    72   901   +1S1 3S1 3P1 3D1     (3)2( 3.0) 23218105.0*
    73   902   +1S1 3S1 3P1 3D1     (1)2( 2.0) 23228997.4*
    74   903   +1S1 3S1 3P1 3D1     (3)3( 2.0) 23233743.7*
    75   904   +1S1 3S1 3P1 3D1     (3)3( 3.0) 23234443.1*
    76   905   +1S1 3S1 3P1 3D1     (3)3( 4.0) 23235666.3*
    77   906   +1S1 3S1 3P1 3D1     (1)3( 3.0) 23242010.7*
    78   907   +1S1 3S1 3P1 3D1     (3)1( 2.0) 23264916.2*
    79   908   +1S1 3S1 3P1 3D1     (3)1( 1.0) 23265243.0*
    80   909   +1S1 3S1 3P1 3D1     (3)1( 0.0) 23265416.2*
    81   910   +1S1 3S1 3P1 3D1     (3)3( 4.0) 23276767.1*
    82   911   +1S1 3S1 3P1 3D1     (3)3( 3.0) 23277012.9*
    83   912   +1S1 3S1 3P1 3D1     (3)3( 2.0) 23277205.9*
    84   913   +1S1 3S1 3P1 3D1     (1)1( 1.0) 23282072.5*
    85   914   +1S1 3S1 3P1 3D1     (1)3( 3.0) 23287206.4*
    86   915   +1S1 3S1 3P1 3D1     (3)2( 1.0) 23296778.2*
    87   916   +1S1 3S1 3P1 3D1     (3)2( 2.0) 23296884.0*
    88   917   +1S1 3S1 3P1 3D1     (3)2( 3.0) 23297323.2*
    89   918   +1S1 3S1 3P1 3D1     (3)1( 0.0) 23298454.5*
    90   919   +1S1 3S1 3P1 3D1     (3)1( 1.0) 23298527.0*
    91   920   +1S1 3S1 3P1 3D1     (3)1( 2.0) 23298536.0*
    92   921   +1S1 3S1 3P1 3D1     (1)2( 2.0) 23298994.3*
    93   922   +1S1 3S1 3P1 3D1     (1)1( 1.0) 23299596.9*
    94   489    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 23305467.3*
    95   490    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 23305784.3*
    96   491    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 23306430.4*
    97   493    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 23308770.5*
    98   494    1S1 2S2 2P6 3P2 3D1 (5)3( 2.0) 23308984.5*
    99   495    1S1 2S2 2P6 3P2 3D1 (5)3( 3.0) 23309468.1*
   100   496    1S1 2S2 2P6 3P2 3D1 (5)3( 4.0) 23310101.5*
   101   497    1S1 2S2 2P6 3P2 3D1 (5)3( 5.0) 23310892.1*
   102   498    1S1 2S2 2P6 3P2 3D1 (5)2( 0.0) 23317551.5*
   103   499    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 23317584.7*
   104   500    1S1 2S2 2P6 3P2 3D1 (5)2( 1.0) 23317607.6*
   105   501    1S1 2S2 2P6 3P2 3D1 (5)2( 3.0) 23318468.0*
   106   502    1S1 2S2 2P6 3P2 3D1 (5)2( 2.0) 23318582.1*
   107   503    1S1 2S2 2P6 3P2 3D1 (5)2( 4.0) 23318925.8*
   108   504    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 23319371.1*
   109   505    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 23319961.4*
   110   506    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 23322479.2*
   111   507    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 23323329.4*
   112   508    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 23324447.0*
   113   509    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 23326046.4*
   114   510    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 23331288.1*
   115   511    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 23331522.6*
   116   512    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 23332070.4*
   117   513    1S1 2S2 2P6 3P2 3D1 (3)4( 3.0) 23336551.1*
   118   514    1S1 2S2 2P6 3P2 3D1 (3)4( 4.0) 23336671.5*
   119   515    1S1 2S2 2P6 3P2 3D1 (3)4( 5.0) 23336839.6*
   120   516    1S1 2S2 2P6 3P2 3D1 (1)4( 4.0) 23338629.0*
   121   517    1S1 2S2 2P6 3P2 3D1 (5)1( 3.0) 23349730.9*
   122   518    1S1 2S2 2P6 3P2 3D1 (5)1( 2.0) 23350338.9*
   123   519    1S1 2S2 2P6 3P2 3D1 (5)1( 1.0) 23350763.5*
   124   520    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 23351036.4*
   125   521    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 23351089.3*
   126   522    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 23351138.9*
   127   523    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 23353821.4*
   128   524    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 23363245.3*
   129   525    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 23363888.5*
   130   526    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 23364217.4*
   131   527    1S1 2S2 2P6 3P2 3D1 (3)0( 1.0) 23373657.7*
   132   528    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 23374964.7*
   133   529    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 23375324.7*
   134   530    1S1 2S2 2P6 3P2 3D1 (1)0( 0.0) 23375630.7*
   135   531    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 23375852.3*
   136   532    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 23378847.4*
   137   533    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 23380276.2*
   138   534    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 23380282.7*
   139   535    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 23381592.0*
   140   536    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 23385926.5*
   141   537    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 23388345.6*
   142   538    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 23388514.8*
   143   539    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 23388783.6*
   144   545    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 23398025.9*
   145   546    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 23407960.0*
   146   547    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 23408116.7*
   147   548    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 23408326.6*
   148   552    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 23424141.0*
   149   553    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 23424198.2*
   150   554    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 23424242.7*
   151   555    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 23424311.3*
   152   556    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 23424750.0*
   153   557    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 23425114.4*
   154   558    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 23432904.4*
   155   559    1S1 2S2 2P6 3S1 3D2 (3)4( 3.0) 23442174.6*
   156   560    1S1 2S2 2P6 3S1 3D2 (3)4( 4.0) 23442189.6*
   157   561    1S1 2S2 2P6 3S1 3D2 (3)4( 5.0) 23442208.8*
   158   562    1S1 2S2 2P6 3S1 3D2 (3)2( 3.0) 23443528.0*
   159   563    1S1 2S2 2P6 3S1 3D2 (3)2( 2.0) 23443603.5*
   160   564    1S1 2S2 2P6 3S1 3D2 (3)2( 1.0) 23443647.8*
   161   565    1S1 2S2 2P6 3S1 3D2 (1)4( 4.0) 23457603.8*
