SEQ='MG'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  98844258.0  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   122001.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   123868.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   291707.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   291954.8 

   IC RESOLVED LEVEL INDEXING           BWNR=  99617610.3 NLVL=  1109
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)    97206.1 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)    97761.5 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)    98908.0 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   151357.1 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   229343.6 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   235018.2 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   235641.1 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   236843.1 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   279358.3 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   284383.7 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   284468.6 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   284596.4 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   331868.5 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   387552.0 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   388267.1 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   389155.5 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   392899.6 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   414333.3 
    20    10    2S2 2P6 3P1 3D1     (3)1( 1.0)   414776.3 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   415108.6 
    22    12    2S2 2P6 3P1 3D1     (3)2( 1.0)   416855.3 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   417163.3 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   417413.1 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   456327.8 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   463220.0 
    27   597    2S2 2P6 3D2         (3)3( 2.0)   574129.2 
    28   598    2S2 2P6 3D2         (3)3( 3.0)   574257.9 
    29   599    2S2 2P6 3D2         (3)3( 4.0)   574427.7 
    30   600    2S2 2P6 3D2         (3)1( 0.0)   589366.1 
    31   601    2S2 2P6 3D2         (3)1( 1.0)   589413.0 
    32   602    2S2 2P6 3D2         (3)1( 2.0)   589484.5 
    33   603    2S2 2P6 3D2         (1)2( 2.0)   590324.2 
    34   604    2S2 2P6 3D2         (1)4( 4.0)   591549.3 
    35   605    2S2 2P6 3D2         (1)0( 0.0)   630155.9 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  1670555.1*
    37    18    2S2 2P5 3S2 3P1     (3)2( 3.0)  1682135.7*
    38    19    2S2 2P5 3S2 3P1     (3)2( 2.0)  1683331.3*
    39    20    2S2 2P5 3S2 3P1     (3)2( 1.0)  1687287.8*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  1690240.3*
    41    22    2S2 2P5 3S2 3P1     (1)1( 1.0)  1696976.9*
    42    23    2S2 2P5 3S2 3P1     (3)1( 0.0)  1697690.9*
    43    24    2S2 2P5 3S2 3P1     (1)2( 2.0)  1700713.2*
    44    25    2S2 2P5 3S2 3P1     (3)1( 1.0)  1701006.7*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  1757923.8*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  1759716.1*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  1762240.7*
    48   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  1769965.4*
    49   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  1772238.3*
    50   612    2S2 2P5 3S1 3P2     (5)2( 1.0)  1774053.0*
    51   613    2S2 2P5 3S1 3P2     (5)2( 0.0)  1774542.2*
    52   614    2S2 2P5 3S1 3P2     (3)1( 2.0)  1780604.2*
    53   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  1781121.3*
    54   616    2S2 2P5 3S1 3P2     (3)1( 0.0)  1782102.0*
