SEQ='MG'     NUCCHG=27                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 278051087.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   291866.0 
     3          2S2 2P6 3P1         (2)1( 1.5)   316289.0 
     4          2S2 2P6 3D1         (2)2( 1.5)   723251.0 
     5          2S2 2P6 3D1         (2)2( 2.5)   728686.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 282147785.7 NLVL=  1122
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   247715.5 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   254476.0 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   270921.3 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   377482.1 
     6   588    2S2 2P6 3P2         (3)1( 0.0)   590012.0 
     7   589    2S2 2P6 3P2         (1)2( 2.0)   597818.2 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   601855.9 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   622248.9 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   706477.1 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   732815.9 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   734817.5 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   737934.8 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   826589.4 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   997087.1 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)  1009552.8 
    17     7    2S2 2P6 3P1 3D1     (1)2( 2.0)  1020954.0 
    18     8    2S2 2P6 3P1 3D1     (3)3( 4.0)  1023665.3 
    19     9    2S2 2P6 3P1 3D1     (3)2( 1.0)  1056788.5 
    20    10    2S2 2P6 3P1 3D1     (3)1( 2.0)  1059026.5 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)  1071715.2 
    22    12    2S2 2P6 3P1 3D1     (3)2( 3.0)  1072311.7 
    23    13    2S2 2P6 3P1 3D1     (3)1( 1.0)  1072448.5 
    24    14    2S2 2P6 3P1 3D1     (3)2( 2.0)  1073683.3 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)  1152611.1 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)  1165231.6 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1478048.1 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1481367.6 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1485359.9 
    30   600    2S2 2P6 3D2         (1)2( 2.0)  1516121.9 
    31   601    2S2 2P6 3D2         (3)1( 0.0)  1516284.8 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1517607.3 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1522192.5 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1526239.1 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1612162.9 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  6503055.7*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  6522365.5*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  6536886.8*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  6545395.3*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  6556513.7*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  6607396.4*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  6635420.1*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  6660132.0*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  6663828.5*
    45   606    2S2 2P5 3S1 3P2     (5)1( 2.0)  6731602.8*
    46   607    2S2 2P5 3S1 3P2     (5)1( 3.0)  6733027.5*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  6747397.0*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  6758787.7*
    49   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  6768459.6*
    50   611    2S2 2P5 3S1 3P2     (3)2( 2.0)  6768777.0*
    51   612    2S2 2P5 3S1 3P2     (3)2( 1.0)  6772623.4*
    52   613    2S2 2P5 3S1 3P2     (3)1( 0.0)  6774072.8*
    53   614    2S2 2P5 3S1 3P2     (5)0( 2.0)  6784514.5*
    54    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  6789229.4*
    55   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  6792381.9*
    56   616    2S2 2P5 3S1 3P2     (3)3( 4.0)  6823730.0*
    57   617    2S2 2P5 3S1 3P2     (3)3( 3.0)  6830705.4*
    58   618    2S2 2P5 3S1 3P2     (5)2( 0.0)  6837689.9*
    59   619    2S2 2P5 3S1 3P2     (1)1( 1.0)  6838044.6*
    60   620    2S2 2P5 3S1 3P2     (3)2( 2.0)  6842878.6*
    61   621    2S2 2P5 3S1 3P2     (5)2( 1.0)  6847175.9*
