SEQ='MG'     NUCCHG=24                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 214515355.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   241099.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   254448.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   591848.7 
     5          2S2 2P6 3D1         (2)2( 2.5)   594586.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 217352206.6 NLVL=  1119
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   202466.1 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   206310.2 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   215046.1 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   306666.9 
     6   588    2S2 2P6 3P2         (3)1( 0.0)   481941.9 
     7   589    2S2 2P6 3P2         (1)2( 2.0)   483248.3 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   487674.1 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   498270.5 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   571391.5 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   596706.0 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   597710.4 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   599250.0 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   676310.1 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   811889.9 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   818391.4 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   825731.6 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   826905.1 
    19     9    2S2 2P6 3P1 3D1     (3)2( 1.0)   861747.6 
    20    10    2S2 2P6 3P1 3D1     (3)1( 2.0)   861807.3 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   868725.2 
    22    12    2S2 2P6 3P1 3D1     (3)1( 1.0)   869411.1 
    23    13    2S2 2P6 3P1 3D1     (3)2( 3.0)   869996.3 
    24    14    2S2 2P6 3P1 3D1     (3)2( 2.0)   870245.0 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   939085.3 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   949781.9 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1202642.5 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1204245.0 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1206250.1 
    30   600    2S2 2P6 3D2         (3)1( 0.0)  1233643.5 
    31   601    2S2 2P6 3D2         (1)2( 2.0)  1233657.5 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1234250.0 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1236651.9 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1240631.0 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1312655.4 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  4737116.5*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  4755840.2*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  4761511.6*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  4770033.0*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  4777612.4*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  4809987.7*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  4821712.6*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  4836302.7*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  4838484.6*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  4920330.2*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  4922023.1*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  4932837.4*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  4939909.3*
    49   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  4947526.0*
    50   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  4950422.1*
    51   612    2S2 2P5 3S2 3D1     (3)1( 0.0)  4954026.6*
    52   613    2S2 2P5 3S1 3P2     (3)2( 1.0)  4954903.1*
    53    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  4961814.8*
    54   614    2S2 2P5 3S1 3P2     (3)2( 2.0)  4962981.5*
    55   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  4966070.0*
    56   616    2S2 2P5 3S1 3P2     (5)2( 0.0)  4991264.0*
    57   617    2S2 2P5 3S1 3P2     (3)3( 4.0)  4995109.5*
    58   618    2S2 2P5 3S1 3P2     (5)2( 1.0)  4997676.2*
    59   619    2S2 2P5 3S1 3P2     (3)3( 3.0)  5001852.4*
    60   620    2S2 2P5 3S1 3P2     (5)0( 2.0)  5004880.7*
    61   621    2S2 2P5 3S1 3P2     (1)1( 1.0)  5011042.9*
