SEQ='MG'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 325119064.1  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   325693.6 
     3          2S2 2P6 3P1         (2)1( 1.5)   360557.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   813451.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   821532.7 

   IC RESOLVED LEVEL INDEXING           BWNR= 330181359.8 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   278074.4 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   287392.3 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   311343.1 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   427217.3 
     6   588    2S2 2P6 3P2         (3)1( 0.0)   663074.7 
     7   589    2S2 2P6 3P2         (1)2( 2.0)   677541.4 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   681366.5 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   711096.1 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   802232.8 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   826244.5 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   829215.4 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   833904.2 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   930072.0 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)  1123588.7 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)  1141656.0 
    17     7    2S2 2P6 3P1 3D1     (1)2( 2.0)  1155412.2 
    18     8    2S2 2P6 3P1 3D1     (3)3( 4.0)  1162458.4 
    19     9    2S2 2P6 3P1 3D1     (3)2( 1.0)  1190302.3 
    20    10    2S2 2P6 3P1 3D1     (3)2( 2.0)  1195474.2 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)  1212967.2 
    22    12    2S2 2P6 3P1 3D1     (3)2( 3.0)  1213217.4 
    23    13    2S2 2P6 3P1 3D1     (3)1( 1.0)  1213820.9 
    24    14    2S2 2P6 3P1 3D1     (3)1( 2.0)  1215690.2 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)  1300605.0 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)  1314731.1 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1667413.6 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1672494.3 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1678411.6 
    30   600    2S2 2P6 3D2         (1)2( 2.0)  1710607.1 
    31   601    2S2 2P6 3D2         (3)1( 0.0)  1710753.7 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1712864.1 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1719675.8 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1723230.5 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1818406.7 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  7830162.4*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  7849489.4*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  7872883.4*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  7881052.7*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  7894890.1*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  7960570.5*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  8005945.2*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  8040393.3*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  8045122.7*
    45   606    2S2 2P5 3S1 3P2     (5)1( 2.0)  8089197.5*
    46   607    2S2 2P5 3S1 3P2     (5)1( 3.0)  8094559.3*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  8108643.8*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  8125213.6*
    49   610    2S2 2P5 3S1 3P2     (3)2( 2.0)  8133659.8*
    50   611    2S2 2P5 3S1 3P2     (3)2( 1.0)  8136307.8*
    51   612    2S2 2P5 3S1 3P2     (5)2( 3.0)  8136343.7*
    52   613    2S2 2P5 3S1 3P2     (3)1( 0.0)  8140871.7*
    53   614    2S2 2P5 3S1 3P2     (5)0( 2.0)  8152036.5*
    54   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  8164594.7*
    55    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  8166375.7*
    56   616    2S2 2P5 3S1 3P2     (3)3( 4.0)  8197189.1*
    57   617    2S2 2P5 3S1 3P2     (3)3( 3.0)  8203125.0*
    58   618    2S2 2P5 3S1 3P2     (1)1( 1.0)  8212755.1*
    59   619    2S2 2P5 3S1 3P2     (3)2( 2.0)  8217869.7*
    60   620    2S2 2P5 3S1 3P2     (3)2( 3.0)  8224065.8*
    61   621    2S2 2P5 3S1 3P2     (5)2( 0.0)  8224362.1*
