SEQ='MG'     NUCCHG=26                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 255933470.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   274947.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   295123.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   679003.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   683387.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 259585121.1 NLVL=  1120
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   232598.6 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   238267.5 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   251722.1 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   353431.9 
     6   588    2S2 2P6 3P2         (3)1( 0.0)   553787.3 
     7   589    2S2 2P6 3P2         (1)2( 2.0)   559030.6 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   563184.2 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   579798.1 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   660441.0 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   686991.5 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   688605.3 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   691104.2 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   775941.6 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   934832.6 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   945006.9 
    17     7    2S2 2P6 3P1 3D1     (1)2( 2.0)   955345.0 
    18     8    2S2 2P6 3P1 3D1     (3)3( 4.0)   956477.6 
    19     9    2S2 2P6 3P1 3D1     (3)2( 1.0)   991168.8 
    20    10    2S2 2P6 3P1 3D1     (3)1( 2.0)   992455.3 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)  1003010.5 
    22    12    2S2 2P6 3P1 3D1     (3)1( 1.0)  1003708.7 
    23    13    2S2 2P6 3P1 3D1     (3)2( 3.0)  1003818.0 
    24    14    2S2 2P6 3P1 3D1     (3)2( 2.0)  1004750.2 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)  1080465.3 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)  1092408.9 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1385258.8 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1387898.2 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1391118.4 
    30   600    2S2 2P6 3D2         (1)2( 2.0)  1420912.8 
    31   601    2S2 2P6 3D2         (3)1( 0.0)  1421033.3 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1422065.3 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1425784.7 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1429906.6 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1511204.8 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  5884389.5*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  5903596.4*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  5914628.7*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  5923221.1*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  5933074.3*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  5977263.6*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  5998738.3*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  6019536.1*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  6022719.9*
    45   606    2S2 2P5 3S1 3P2     (5)1( 2.0)  6098135.7*
    46   607    2S2 2P5 3S1 3P2     (5)1( 3.0)  6098197.8*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  6112199.4*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  6121746.7*
    49   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  6130728.2*
    50   611    2S2 2P5 3S1 3P2     (3)2( 2.0)  6132151.0*
    51   612    2S2 2P5 3S1 3P2     (3)2( 1.0)  6136373.0*
    52   613    2S2 2P5 3S1 3P2     (3)1( 0.0)  6136733.9*
    53   614    2S2 2P5 3S1 3P2     (5)0( 2.0)  6146719.6*
    54    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  6148516.5*
    55   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  6152675.1*
    56   616    2S2 2P5 3S1 3P2     (3)3( 4.0)  6183389.1*
    57   617    2S2 2P5 3S1 3P2     (3)3( 3.0)  6190474.8*
    58   618    2S2 2P5 3S1 3P2     (5)2( 0.0)  6190864.8*
    59   619    2S2 2P5 3S1 3P2     (5)2( 1.0)  6195298.6*
    60   620    2S2 2P5 3S1 3P2     (3)2( 2.0)  6200570.0*
    61   621    2S2 2P5 3S1 3P2     (1)1( 1.0)  6203006.8*
