SEQ='MG'     NUCCHG=19                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 127272625.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   156241.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   159921.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   377904.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   378493.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 128510439.4 NLVL=  1111
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   127395.0 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   128488.7 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   130790.7 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   195019.0 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   300964.2 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   305222.0 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   306530.6 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   309054.4 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   360921.8 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   374485.5 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   374694.3 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   375009.5 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   431410.4 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   509220.5 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   510753.4 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   512592.2 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   516299.3 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   542558.5 
    20    10    2S2 2P6 3P1 3D1     (3)1( 1.0)   543272.1 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   544180.2 
    22    12    2S2 2P6 3P1 3D1     (3)2( 1.0)   545499.1 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   546085.7 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   546444.2 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   594771.8 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   602692.5 
    27   597    2S2 2P6 3D2         (3)3( 2.0)   754709.2 
    28   598    2S2 2P6 3D2         (3)3( 3.0)   755028.6 
    29   599    2S2 2P6 3D2         (3)3( 4.0)   755445.8 
    30   600    2S2 2P6 3D2         (3)1( 0.0)   774376.6 
    31   601    2S2 2P6 3D2         (3)1( 1.0)   774492.3 
    32   602    2S2 2P6 3D2         (3)1( 2.0)   774586.3 
    33   603    2S2 2P6 3D2         (1)2( 2.0)   775478.2 
    34   604    2S2 2P6 3D2         (1)4( 4.0)   777725.9 
    35   605    2S2 2P6 3D2         (1)0( 0.0)   826162.0 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  2396110.6*
    37    18    2S2 2P5 3S2 3P1     (3)2( 3.0)  2410733.8*
    38    19    2S2 2P5 3S2 3P1     (3)2( 2.0)  2411337.8*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  2417320.1*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  2421081.8*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  2433271.7*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  2433802.4*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  2439717.0*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  2439847.7*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  2509793.7*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  2512103.4*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  2516364.2*
    48   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  2525705.1*
    49   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  2528768.1*
    50   612    2S2 2P5 3S1 3P2     (5)2( 1.0)  2531507.7*
    51   613    2S2 2P5 3S1 3P2     (5)2( 0.0)  2531556.1*
    52   614    2S2 2P5 3S1 3P2     (3)1( 2.0)  2538104.0*
    53   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  2538788.2*
    54    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  2539918.7*
    55   616    2S2 2P5 3S1 3P2     (3)1( 0.0)  2542929.0*
    56   617    2S2 2P5 3S1 3P2     (3)2( 1.0)  2547419.8*
    57   618    2S2 2P5 3S1 3P2     (5)0( 2.0)  2551867.6*
    58   619    2S2 2P5 3S1 3P2     (3)2( 2.0)  2553009.1*
    59   620    2S2 2P5 3S1 3P2     (3)2( 3.0)  2558206.3*
    60   621    2S2 2P5 3S1 3P2     (3)0( 1.0)  2559141.2*
    61   622    2S2 2P5 3S1 3P2     (3)3( 4.0)  2560156.1*
