SEQ='MG'     NUCCHG=25                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 234755892.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   258025.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   274528.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   635227.7 
     5          2S2 2P6 3D1         (2)2( 2.5)   638717.5 

   IC RESOLVED LEVEL INDEXING           BWNR= 237987604.9 NLVL=  1120
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   217517.2 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   222215.5 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   233116.4 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   329845.9 
     6   588    2S2 2P6 3P2         (3)1( 0.0)   517765.8 
     7   589    2S2 2P6 3P2         (1)2( 2.0)   520864.1 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   525145.5 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   538509.0 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   615454.4 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   641650.2 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   642933.4 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   644909.9 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   725884.2 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   873129.4 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   881323.2 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   890551.9 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   890696.8 
    19     9    2S2 2P6 3P1 3D1     (3)2( 1.0)   926188.0 
    20    10    2S2 2P6 3P1 3D1     (3)1( 2.0)   926767.1 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   935395.2 
    22    12    2S2 2P6 3P1 3D1     (3)1( 1.0)   936076.7 
    23    13    2S2 2P6 3P1 3D1     (3)2( 3.0)   936430.0 
    24    14    2S2 2P6 3P1 3D1     (3)2( 2.0)   936989.0 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)  1009342.7 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)  1020647.7 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1293513.5 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1295585.3 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1298146.6 
    30   600    2S2 2P6 3D2         (1)2( 2.0)  1326819.5 
    31   601    2S2 2P6 3D2         (3)1( 0.0)  1326878.0 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1327674.3 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1330670.8 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1334767.2 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1411433.9 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  5295725.5*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  5314742.9*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  5322842.8*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  5331443.7*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  5340113.1*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  5378126.4*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  5394222.4*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  5411665.1*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  5414342.6*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  5493971.6*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  5494933.9*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  5507336.6*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  5515462.7*
    49   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  5523762.2*
    50   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  5526040.2*
    51   612    2S2 2P5 3S1 3P2     (3)1( 0.0)  5530063.2*
    52   613    2S2 2P5 3S1 3P2     (3)2( 1.0)  5530475.9*
    53    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  5539439.3*
    54   614    2S2 2P5 3S1 3P2     (3)2( 2.0)  5539548.2*
    55   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  5543907.4*
    56   616    2S2 2P5 3S1 3P2     (3)3( 4.0)  5573872.2*
    57   617    2S2 2P5 3S1 3P2     (5)2( 0.0)  5575343.7*
    58   618    2S2 2P5 3S1 3P2     (3)3( 3.0)  5580866.2*
    59   619    2S2 2P5 3S1 3P2     (5)2( 1.0)  5581466.1*
    60   620    2S2 2P5 3S1 3P2     (5)0( 2.0)  5587866.4*
    61   621    2S2 2P5 3S1 3P2     (1)1( 1.0)  5591341.0*
