SEQ='MG'     NUCCHG=28                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 301111867.0  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   308781.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   338081.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   768043.5 
     5          2S2 2P6 3D1         (2)2( 2.5)   774705.3 

   IC RESOLVED LEVEL INDEXING           BWNR= 305678764.9 NLVL=  1122
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   262872.7 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   270848.9 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   290774.2 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   402056.1 
     6   588    2S2 2P6 3P2         (3)1( 0.0)   626441.6 
     7   589    2S2 2P6 3P2         (1)2( 2.0)   637297.9 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   641227.2 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   665975.7 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   753695.1 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   779206.4 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   781658.5 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   785501.7 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   877931.8 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)  1059978.0 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)  1075067.5 
    17     7    2S2 2P6 3P1 3D1     (1)2( 2.0)  1087616.2 
    18     8    2S2 2P6 3P1 3D1     (3)3( 4.0)  1092272.4 
    19     9    2S2 2P6 3P1 3D1     (3)2( 1.0)  1123137.9 
    20    10    2S2 2P6 3P1 3D1     (3)2( 2.0)  1126642.2 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)  1141652.8 
    22    12    2S2 2P6 3P1 3D1     (3)2( 3.0)  1142061.4 
    23    13    2S2 2P6 3P1 3D1     (3)1( 1.0)  1142438.2 
    24    14    2S2 2P6 3P1 3D1     (3)1( 2.0)  1143943.9 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)  1225937.9 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)  1239282.6 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1572045.9 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1576173.5 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1581061.4 
    30   600    2S2 2P6 3D2         (1)2( 2.0)  1612627.2 
    31   601    2S2 2P6 3D2         (3)1( 0.0)  1612802.7 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1614480.7 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1620090.9 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1623951.7 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1714499.8 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  7151666.8*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  7171010.7*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  7189633.3*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  7197996.0*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  7210447.2*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  7268508.3*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  7304432.5*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  7333674.7*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  7337887.2*
    45   606    2S2 2P5 3S1 3P2     (5)1( 2.0)  7395303.0*
    46   607    2S2 2P5 3S1 3P2     (5)1( 3.0)  7398476.7*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  7412893.5*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  7426605.5*
    49   610    2S2 2P5 3S1 3P2     (3)2( 2.0)  7435939.6*
    50   611    2S2 2P5 3S1 3P2     (5)2( 3.0)  7436988.5*
    51   612    2S2 2P5 3S1 3P2     (3)2( 1.0)  7439257.6*
    52   613    2S2 2P5 3S1 3P2     (3)1( 0.0)  7442109.9*
    53   614    2S2 2P5 3S1 3P2     (5)0( 2.0)  7452948.9*
    54    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  7461777.3*
    55   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  7463025.7*
    56   616    2S2 2P5 3S1 3P2     (3)3( 4.0)  7494969.8*
    57   617    2S2 2P5 3S1 3P2     (3)3( 3.0)  7501581.7*
    58   618    2S2 2P5 3S1 3P2     (1)1( 1.0)  7510231.1*
    59   619    2S2 2P5 3S1 3P2     (3)3( 2.0)  7515208.4*
    60   620    2S2 2P5 3S1 3P2     (5)2( 0.0)  7515609.5*
    61   621    2S2 2P5 3S1 3P2     (3)2( 3.0)  7520758.1*
