SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085886.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)    86683.0 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)    87642.8 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   203276.5 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   203366.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74496363.9 NLVL=   165
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   577    1S2 2S2 2P6 3S2     (1)0( 0.0)        0.0 
     2     1    1S2 2S2 2P6 3S1 3P1 (3)1( 0.0)    65660.1 
     3     2    1S2 2S2 2P6 3S1 3P1 (3)1( 1.0)    65943.6 
     4     3    1S2 2S2 2P6 3S1 3P1 (3)1( 2.0)    66522.8 
     5     4    1S2 2S2 2P6 3S1 3P1 (1)1( 1.0)   106373.1 
     6   578    1S2 2S2 2P6 3P2     (1)2( 2.0)   156164.8 
     7   579    1S2 2S2 2P6 3P2     (3)1( 0.0)   164528.9 
     8   580    1S2 2S2 2P6 3P2     (3)1( 1.0)   164834.2 
     9   581    1S2 2S2 2P6 3P2     (3)1( 2.0)   165426.9 
    10   582    1S2 2S2 2P6 3S1 3D1 (3)2( 1.0)   190291.0 
    11   583    1S2 2S2 2P6 3S1 3D1 (3)2( 2.0)   190320.3 
    12   584    1S2 2S2 2P6 3S1 3D1 (3)2( 3.0)   190364.3 
    13   585    1S2 2S2 2P6 3P2     (1)0( 0.0)   206945.8 
    14   586    1S2 2S2 2P6 3S1 3D1 (1)2( 2.0)   231384.0 
    15     5    1S2 2S2 2P6 3P1 3D1 (3)3( 2.0)   261552.1 
    16     6    1S2 2S2 2P6 3P1 3D1 (3)3( 3.0)   261891.7 
    17     7    1S2 2S2 2P6 3P1 3D1 (3)3( 4.0)   262322.6 
    18     8    1S2 2S2 2P6 3P1 3D1 (1)2( 2.0)   265332.9 
    19     9    1S2 2S2 2P6 3P1 3D1 (3)1( 2.0)   281245.9 
    20    10    1S2 2S2 2P6 3P1 3D1 (3)1( 1.0)   281495.2 
    21    11    1S2 2S2 2P6 3P1 3D1 (3)1( 0.0)   281652.3 
    22    12    1S2 2S2 2P6 3P1 3D1 (3)2( 1.0)   283186.1 
    23    13    1S2 2S2 2P6 3P1 3D1 (3)2( 2.0)   283328.7 
    24    14    1S2 2S2 2P6 3P1 3D1 (3)2( 3.0)   283459.2 
    25    15    1S2 2S2 2P6 3P1 3D1 (1)3( 3.0)   312014.0 
    26    16    1S2 2S2 2P6 3P1 3D1 (1)1( 1.0)   318013.7 
    27   863    1S1 2S2 2P6 3S2 3P1 (3)1( 0.0) 17348470.1*
    28   864    1S1 2S2 2P6 3S2 3P1 (3)1( 1.0) 17348801.8*
    29   865    1S1 2S2 2P6 3S2 3P1 (3)1( 2.0) 17349574.7*
    30   866    1S1 2S2 2P6 3S2 3P1 (1)1( 1.0) 17356266.0*
    31   472    1S1 2S2 2P6 3S1 3P2 (3)1( 0.0) 17420068.6*
    32   473    1S1 2S2 2P6 3S1 3P2 (3)1( 1.0) 17420385.7*
    33   474    1S1 2S2 2P6 3S1 3P2 (3)1( 2.0) 17421001.8*
    34   475    1S1 2S2 2P6 3S1 3P2 (3)2( 1.0) 17433283.0*
    35   476    1S1 2S2 2P6 3S1 3P2 (3)2( 2.0) 17433302.0*
    36   477    1S1 2S2 2P6 3S1 3P2 (3)2( 3.0) 17433324.4*
    37   478    1S1 2S2 2P6 3S1 3P2 (1)2( 2.0) 17443925.3*
    38   479    1S1 2S2 2P6 3S1 3P2 (3)0( 1.0) 17464455.2*
