SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085659.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    87341.3 
     3          2S2 2P6 3P1         (2)1( 1.5)    88138.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   203504.5 
     5          2S2 2P6 3D1         (2)2( 2.5)   203581.9 

   IC RESOLVED LEVEL INDEXING           BWNR=  74495206.5 NLVL=  1082
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)    66608.3 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)    66844.5 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)    67325.0 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   107532.8 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   157166.9 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   164279.9 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   164531.7 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   165020.4 
    10   592    2S2 2P6 3S1 3D1     (3)2( 1.0)   191466.6 
    11   593    2S2 2P6 3S1 3D1     (3)2( 2.0)   191491.6 
    12   594    2S2 2P6 3S1 3D1     (3)2( 3.0)   191529.2 
    13   595    2S2 2P6 3P2         (1)0( 0.0)   198029.0 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   228762.8 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   263687.3 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   263967.3 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   264325.4 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   267448.2 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   283363.2 
    20    10    2S2 2P6 3P1 3D1     (3)1( 1.0)   283569.0 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   283693.2 
    22    12    2S2 2P6 3P1 3D1     (3)2( 1.0)   285277.2 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   285394.2 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   285510.0 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   313830.9 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   319739.5 
    27   597    2S2 2P6 3D2         (3)3( 2.0)   389242.2 
    28   598    2S2 2P6 3D2         (3)3( 3.0)   389279.9 
    29   599    2S2 2P6 3D2         (3)3( 4.0)   389329.9 
    30   600    2S2 2P6 3D2         (3)1( 0.0)   400003.7 
    31   601    2S2 2P6 3D2         (3)1( 1.0)   400018.1 
    32   602    2S2 2P6 3D2         (3)1( 2.0)   400044.5 
    33   603    2S2 2P6 3D2         (1)2( 2.0)   400796.6 
    34   604    2S2 2P6 3D2         (1)4( 4.0)   401188.9 
    35    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  1064102.5*
    36    18    2S2 2P5 3S2 3P1     (3)2( 3.0)  1072734.0*
    37    19    2S2 2P5 3S2 3P1     (3)2( 2.0)  1073910.9*
    38    20    2S2 2P5 3S2 3P1     (3)2( 1.0)  1076284.5*
    39    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  1078654.9*
    40    22    2S2 2P5 3S2 3P1     (1)1( 1.0)  1081893.6*
    41    23    2S2 2P5 3S2 3P1     (3)1( 0.0)  1082853.7*
    42    24    2S2 2P5 3S2 3P1     (1)2( 2.0)  1084040.9*
    43    25    2S2 2P5 3S2 3P1     (3)1( 1.0)  1084435.9*
    44   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  1125294.7*
    45   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  1126491.6*
    46   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  1127846.8*
    47   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  1133819.7*
    48   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  1135257.3*
    49   612    2S2 2P5 3S1 3P2     (5)2( 1.0)  1136324.5*
    50   613    2S2 2P5 3S1 3P2     (5)2( 0.0)  1136779.9*
    51   614    2S2 2P5 3S1 3P2     (5)0( 2.0)  1142349.3*
    52   615    2S2 2P5 3S1 3P2     (3)1( 0.0)  1142804.0*
    53   616    2S2 2P5 3S1 3P2     (3)1( 1.0)  1142832.1*
    54   617    2S2 2P5 3S1 3P2     (3)2( 1.0)  1145342.8*
