SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007551.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)   104032.6 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)   105523.2 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   247698.8 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   247865.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  86588438.9 NLVL=   167
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   577    1S2 2S2 2P6 3S2     (1)0( 0.0)        0.0 
     2     1    1S2 2S2 2P6 3S1 3P1 (3)1( 0.0)    80787.6 
     3     2    1S2 2S2 2P6 3S1 3P1 (3)1( 1.0)    81229.1 
     4     3    1S2 2S2 2P6 3S1 3P1 (3)1( 2.0)    82137.8 
     5     4    1S2 2S2 2P6 3S1 3P1 (1)1( 1.0)   128059.9 
     6   578    1S2 2S2 2P6 3P2     (1)2( 2.0)   192198.5 
     7   579    1S2 2S2 2P6 3P2     (3)1( 0.0)   199921.8 
     8   580    1S2 2S2 2P6 3P2     (3)1( 1.0)   200407.7 
     9   581    1S2 2S2 2P6 3P2     (3)1( 2.0)   201347.4 
    10   582    1S2 2S2 2P6 3S1 3D1 (3)2( 1.0)   236854.4 
    11   583    1S2 2S2 2P6 3S1 3D1 (3)2( 2.0)   236910.8 
    12   584    1S2 2S2 2P6 3S1 3D1 (3)2( 3.0)   236995.5 
    13   585    1S2 2S2 2P6 3P2     (1)0( 0.0)   248681.8 
    14   586    1S2 2S2 2P6 3S1 3D1 (1)2( 2.0)   283827.3 
    15     5    1S2 2S2 2P6 3P1 3D1 (3)3( 2.0)   323302.8 
    16     6    1S2 2S2 2P6 3P1 3D1 (3)3( 3.0)   323854.1 
    17     7    1S2 2S2 2P6 3P1 3D1 (3)3( 4.0)   324543.9 
    18     8    1S2 2S2 2P6 3P1 3D1 (1)2( 2.0)   327931.5 
    19     9    1S2 2S2 2P6 3P1 3D1 (3)1( 2.0)   346695.9 
    20    10    1S2 2S2 2P6 3P1 3D1 (3)1( 1.0)   347067.1 
    21    11    1S2 2S2 2P6 3P1 3D1 (3)1( 0.0)   347324.5 
    22    12    1S2 2S2 2P6 3P1 3D1 (3)2( 1.0)   349047.5 
    23    13    1S2 2S2 2P6 3P1 3D1 (3)2( 2.0)   349282.9 
    24    14    1S2 2S2 2P6 3P1 3D1 (3)2( 3.0)   349480.7 
    25    15    1S2 2S2 2P6 3P1 3D1 (1)3( 3.0)   383635.5 
    26    16    1S2 2S2 2P6 3P1 3D1 (1)1( 1.0)   390143.3 
    27   863    1S1 2S2 2P6 3S2 3P1 (3)1( 0.0) 20021100.5*
    28   864    1S1 2S2 2P6 3S2 3P1 (3)1( 1.0) 20021584.2*
    29   865    1S1 2S2 2P6 3S2 3P1 (3)1( 2.0) 20022748.9*
    30   866    1S1 2S2 2P6 3S2 3P1 (1)1( 1.0) 20030832.2*
    31   472    1S1 2S2 2P6 3S1 3P2 (3)1( 0.0) 20107793.0*
    32   473    1S1 2S2 2P6 3S1 3P2 (3)1( 1.0) 20108267.7*
    33   474    1S1 2S2 2P6 3S1 3P2 (3)1( 2.0) 20109181.6*
    34   475    1S1 2S2 2P6 3S1 3P2 (3)2( 1.0) 20122928.7*
    35   476    1S1 2S2 2P6 3S1 3P2 (3)2( 2.0) 20122959.2*
    36   477    1S1 2S2 2P6 3S1 3P2 (3)2( 3.0) 20122991.9*
    37   478    1S1 2S2 2P6 3S1 3P2 (1)2( 2.0) 20135817.0*
    38   479    1S1 2S2 2P6 3S1 3P2 (3)0( 1.0) 20157382.1*
    39   480    1S1 2S2 2P6 3S1 3P2 (3)1( 0.0) 20169719.4*
    40   481    1S1 2S2 2P6 3S1 3P2 (3)1( 1.0) 20170456.6*
    41   482    1S1 2S2 2P6 3S1 3P2 (3)1( 2.0) 20171235.4*
    42   483    1S1 2S2 2P6 3S1 3P2 (1)0( 0.0) 20172710.0*
