SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007310.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   104740.3 
     3          2S2 2P6 3P1         (2)1( 1.5)   105995.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   247928.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   248073.7 

   IC RESOLVED LEVEL INDEXING           BWNR=  86586122.6 NLVL=  1096
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)    81980.3 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)    82352.8 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)    83116.0 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   129503.6 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   193412.5 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   199770.9 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   200177.6 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   200963.9 
    10   592    2S2 2P6 3S1 3D1     (3)2( 1.0)   238380.7 
    11   593    2S2 2P6 3S1 3D1     (3)2( 2.0)   238429.4 
    12   594    2S2 2P6 3S1 3D1     (3)2( 3.0)   238502.6 
    13   595    2S2 2P6 3P2         (1)0( 0.0)   238722.0 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   280886.8 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   325976.3 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   326436.3 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   327016.9 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   330545.8 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   349310.7 
    20    10    2S2 2P6 3P1 3D1     (3)1( 1.0)   349622.5 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   349826.8 
    22    12    2S2 2P6 3P1 3D1     (3)2( 1.0)   351598.7 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   351795.5 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   351974.6 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   385781.5 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   392177.3 
    27   597    2S2 2P6 3D2         (3)3( 2.0)   482363.6 
    28   598    2S2 2P6 3D2         (3)3( 3.0)   482437.1 
    29   599    2S2 2P6 3D2         (3)3( 4.0)   482534.4 
    30   600    2S2 2P6 3D2         (3)1( 0.0)   495374.5 
    31   601    2S2 2P6 3D2         (3)1( 1.0)   495401.7 
    32   602    2S2 2P6 3D2         (3)1( 2.0)   495448.4 
    33   603    2S2 2P6 3D2         (1)2( 2.0)   496269.5 
    34   604    2S2 2P6 3D2         (1)4( 4.0)   497033.4 
    35   605    2S2 2P6 3D2         (1)0( 0.0)   530535.5 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  1352588.5*
    37    18    2S2 2P5 3S2 3P1     (3)2( 3.0)  1362691.9*
    38    19    2S2 2P5 3S2 3P1     (3)2( 2.0)  1363935.1*
    39    20    2S2 2P5 3S2 3P1     (3)2( 1.0)  1367047.8*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  1369694.9*
    41    22    2S2 2P5 3S2 3P1     (1)1( 1.0)  1374424.5*
    42    23    2S2 2P5 3S2 3P1     (3)1( 0.0)  1375353.8*
    43    24    2S2 2P5 3S2 3P1     (1)2( 2.0)  1377286.3*
    44    25    2S2 2P5 3S2 3P1     (3)1( 1.0)  1377670.7*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  1426885.2*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  1428377.6*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  1430250.7*
    48   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  1437123.3*
    49   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  1438966.5*
    50   612    2S2 2P5 3S1 3P2     (5)2( 1.0)  1440379.5*
    51   613    2S2 2P5 3S1 3P2     (5)2( 0.0)  1440894.1*
    52   614    2S2 2P5 3S1 3P2     (3)1( 2.0)  1446757.5*
    53   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  1447237.0*
    54   616    2S2 2P5 3S1 3P2     (3)1( 0.0)  1447530.6*
