SEQ='MG'     NUCCHG=21                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 159388039.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   190259.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   196766.7 
     4          2S2 2P6 3D1         (2)2( 1.5)   463272.1 
     5          2S2 2P6 3D1         (2)2( 2.5)   464451.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 161190454.1 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   157426.0 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   159345.6 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   163490.4 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   239035.9 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   373004.0 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   375528.0 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   378013.2 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   382780.2 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   443573.6 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   463317.1 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   463743.6 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   464390.2 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   529325.6 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   630013.1 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   632932.3 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   636321.9 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   639452.8 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   669779.3 
    20    10    2S2 2P6 3P1 3D1     (3)2( 1.0)   670502.5 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   672892.9 
    22    12    2S2 2P6 3P1 3D1     (3)1( 1.0)   673790.0 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   674538.6 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   674842.1 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   731850.3 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   740842.7 
    27   597    2S2 2P6 3D2         (3)3( 2.0)   933442.3 
    28   598    2S2 2P6 3D2         (3)3( 3.0)   934103.5 
    29   599    2S2 2P6 3D2         (3)3( 4.0)   934955.3 
    30   600    2S2 2P6 3D2         (3)1( 0.0)   957571.2 
    31   601    2S2 2P6 3D2         (3)1( 2.0)   957775.6 
    32   602    2S2 2P6 3D2         (3)1( 1.0)   957813.0 
    33   603    2S2 2P6 3D2         (1)2( 2.0)   959086.2 
    34   604    2S2 2P6 3D2         (1)4( 4.0)   962234.6 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1020213.1 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  3242028.1*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  3259098.5*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  3260013.7*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  3267688.0*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  3272642.2*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  3291362.5*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  3294663.9*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  3303155.6*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  3303982.3*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  3382647.8*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  3385171.5*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  3391725.5*
    48   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  3402777.9*
    49   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  3406270.7*
    50   612    2S2 2P5 3S1 3P2     (3)1( 0.0)  3409268.3*
    51   613    2S2 2P5 3S1 3P2     (3)2( 1.0)  3409958.6*
    52    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  3416027.3*
    53   614    2S2 2P5 3S1 3P2     (3)1( 2.0)  3416640.5*
    54   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  3417716.1*
    55   616    2S2 2P5 3S1 3P2     (5)2( 0.0)  3428045.4*
    56   617    2S2 2P5 3S1 3P2     (5)2( 1.0)  3433321.9*
    57   618    2S2 2P5 3S1 3P2     (5)0( 2.0)  3440034.2*
    58   619    2S2 2P5 3S1 3P2     (3)2( 2.0)  3441029.8*
    59   620    2S2 2P5 3S1 3P2     (3)3( 4.0)  3442667.1*
    60   621    2S2 2P5 3S1 3P2     (3)0( 1.0)  3446840.1*
    61   622    2S2 2P5 3S1 3P2     (3)3( 3.0)  3447947.9*
