SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63077169.6  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)    69139.9 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)    69711.6 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   158171.7 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   158213.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  63343080.2 NLVL=   160
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   577    1S2 2S2 2P6 3S2     (1)0( 0.0)        0.0 
     2     1    1S2 2S2 2P6 3S1 3P1 (3)1( 0.0)    50427.8 
     3     2    1S2 2S2 2P6 3S1 3P1 (3)1( 1.0)    50596.3 
     4     3    1S2 2S2 2P6 3S1 3P1 (3)1( 2.0)    50938.3 
     5     4    1S2 2S2 2P6 3S1 3P1 (1)1( 1.0)    84571.9 
     6   578    1S2 2S2 2P6 3P2     (1)2( 2.0)   119697.5 
     7   579    1S2 2S2 2P6 3P2     (3)1( 0.0)   128860.1 
     8   580    1S2 2S2 2P6 3P2     (3)1( 1.0)   129038.3 
     9   581    1S2 2S2 2P6 3P2     (3)1( 2.0)   129385.9 
    10   582    1S2 2S2 2P6 3S1 3D1 (3)2( 1.0)   142855.1 
    11   583    1S2 2S2 2P6 3S1 3D1 (3)2( 2.0)   142868.0 
    12   584    1S2 2S2 2P6 3S1 3D1 (3)2( 3.0)   142887.4 
    13   585    1S2 2S2 2P6 3P2     (1)0( 0.0)   164901.2 
    14   586    1S2 2S2 2P6 3S1 3D1 (1)2( 2.0)   177757.5 
    15     5    1S2 2S2 2P6 3P1 3D1 (3)3( 2.0)   199249.3 
    16     6    1S2 2S2 2P6 3P1 3D1 (3)3( 3.0)   199443.4 
    17     7    1S2 2S2 2P6 3P1 3D1 (3)3( 4.0)   199692.3 
    18     8    1S2 2S2 2P6 3P1 3D1 (1)2( 2.0)   202100.5 
    19     9    1S2 2S2 2P6 3P1 3D1 (3)1( 2.0)   214933.4 
    20    10    1S2 2S2 2P6 3P1 3D1 (3)1( 1.0)   215088.0 
    21    11    1S2 2S2 2P6 3P1 3D1 (3)1( 0.0)   215180.9 
    22    12    1S2 2S2 2P6 3P1 3D1 (3)2( 1.0)   216274.3 
    23    13    1S2 2S2 2P6 3P1 3D1 (3)2( 2.0)   216353.8 
    24    14    1S2 2S2 2P6 3P1 3D1 (3)2( 3.0)   216429.2 
    25    15    1S2 2S2 2P6 3P1 3D1 (1)3( 3.0)   238905.6 
    26    16    1S2 2S2 2P6 3P1 3D1 (1)1( 1.0)   244378.4 
    27   863    1S1 2S2 2P6 3S2 3P1 (3)1( 0.0) 14873559.6*
    28   864    1S1 2S2 2P6 3S2 3P1 (3)1( 1.0) 14873775.1*
    29   865    1S1 2S2 2P6 3S2 3P1 (3)1( 2.0) 14874262.8*
    30   866    1S1 2S2 2P6 3S2 3P1 (1)1( 1.0) 14879607.1*
    31   472    1S1 2S2 2P6 3S1 3P2 (3)1( 0.0) 14930105.7*
    32   473    1S1 2S2 2P6 3S1 3P2 (3)1( 1.0) 14930307.6*
    33   474    1S1 2S2 2P6 3S1 3P2 (3)1( 2.0) 14930702.6*
    34   475    1S1 2S2 2P6 3S1 3P2 (3)2( 1.0) 14941137.4*
    35   476    1S1 2S2 2P6 3S1 3P2 (3)2( 2.0) 14941149.5*
    36   477    1S1 2S2 2P6 3S1 3P2 (3)2( 3.0) 14941164.7*
    37   478    1S1 2S2 2P6 3S1 3P2 (1)2( 2.0) 14949458.0*
    38   479    1S1 2S2 2P6 3S1 3P2 (3)0( 1.0) 14969302.1*
    39   480    1S1 2S2 2P6 3S1 3P2 (3)1( 0.0) 14978905.2*
    40   481    1S1 2S2 2P6 3S1 3P2 (3)1( 1.0) 14979253.4*
    41   482    1S1 2S2 2P6 3S1 3P2 (3)1( 2.0) 14979588.0*
    42   483    1S1 2S2 2P6 3S1 3P2 (1)0( 0.0) 14979991.8*
    43   484    1S1 2S2 2P6 3S1 3P2 (1)1( 1.0) 14983082.7*
    44   485    1S1 2S2 2P6 3S2 3D1 (3)2( 1.0) 14996932.3*
    45   486    1S1 2S2 2P6 3S2 3D1 (3)2( 2.0) 14996945.8*
    46   487    1S1 2S2 2P6 3S2 3D1 (3)2( 3.0) 14996966.7*
    47   488    1S1 2S2 2P6 3S2 3D1 (1)2( 2.0) 14999115.1*
    48   867    1S1 2S2 2P6 3P3     (3)2( 1.0) 15006956.2*
    49   868    1S1 2S2 2P6 3P3     (3)2( 2.0) 15006984.4*
    50   869    1S1 2S2 2P6 3P3     (3)2( 3.0) 15007028.3*
