SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63076954.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    69764.0 
     3          2S2 2P6 3P1         (2)1( 1.5)    70231.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   158402.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   158438.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63342701.4 NLVL=   981
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)    51037.1 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)    51175.3 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)    51455.1 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)    85348.7 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   120315.5 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   128398.2 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   128542.7 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   128824.8 
    10   592    2S2 2P6 3S1 3D1     (3)2( 1.0)   143524.9 
    11   593    2S2 2P6 3S1 3D1     (3)2( 2.0)   143535.9 
    12   594    2S2 2P6 3S1 3D1     (3)2( 3.0)   143552.4 
    13   595    2S2 2P6 3P2         (1)0( 0.0)   157148.1 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   175424.6 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   200629.6 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   200787.5 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   200991.3 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   203485.3 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   216333.1 
    20    10    2S2 2P6 3P1 3D1     (3)1( 1.0)   216458.7 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   216531.3 
    22    12    2S2 2P6 3P1 3D1     (3)2( 1.0)   217669.5 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   217733.6 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   217799.6 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   240152.0 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   245569.6 
    27    17    2S2 2P5 3S2 3P1     (3)0( 1.0)   804516.8*
    28    18    2S2 2P5 3S2 3P1     (3)2( 3.0)   811674.0*
    29    19    2S2 2P5 3S2 3P1     (3)2( 2.0)   812708.2*
    30    20    2S2 2P5 3S2 3P1     (3)2( 1.0)   814450.2*
    31    21    2S2 2P5 3S2 3P1     (3)1( 2.0)   816540.3*
    32    22    2S2 2P5 3S2 3P1     (1)1( 1.0)   818698.0*
    33    23    2S2 2P5 3S2 3P1     (3)1( 0.0)   819569.6*
    34    24    2S2 2P5 3S2 3P1     (1)2( 2.0)   820281.7*
    35    25    2S2 2P5 3S2 3P1     (3)1( 1.0)   820615.4*
    36   606    2S2 2P5 3S1 3P2     (5)1( 3.0)   852499.8*
    37   607    2S2 2P5 3S1 3P2     (5)1( 2.0)   853423.0*
    38   608    2S2 2P5 3S1 3P2     (5)1( 1.0)   854378.4*
    39   610    2S2 2P5 3S1 3P2     (5)2( 3.0)   859405.1*
    40   611    2S2 2P5 3S1 3P2     (5)2( 2.0)   860484.2*
    41   612    2S2 2P5 3S1 3P2     (5)2( 1.0)   861265.6*
    42   613    2S2 2P5 3S1 3P2     (5)2( 0.0)   861627.2*
    43   614    2S2 2P5 3S1 3P2     (5)0( 2.0)   866708.0*
    44   615    2S2 2P5 3S2 3D1     (3)1( 0.0)   867085.6*
    45   616    2S2 2P5 3S2 3D1     (3)1( 1.0)   867231.3*
    46   617    2S2 2P5 3S1 3P2     (3)2( 1.0)   869069.2*
    47   618    2S2 2P5 3S1 3P2     (3)1( 2.0)   869381.8*
    48   619    2S2 2P5 3S1 3P2     (3)2( 2.0)   870427.2*
    49   620    2S2 2P5 3S1 3P2     (3)2( 3.0)   871691.6*
    50   621    2S2 2P5 3S1 3P2     (3)0( 1.0)   874056.1*
    51   622    2S2 2P5 3S1 3P2     (3)3( 4.0)   877822.1*
    52    26    2S2 2P5 3S2 3P1     (1)0( 0.0)   878677.2*
    53   623    2S2 2P5 3S1 3P2     (3)3( 3.0)   879269.3*
    54   624    2S2 2P5 3S1 3P2     (3)3( 2.0)   881118.8*
