SEQ='MG'     NUCCHG=22                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 176834102.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   207222.1 
     3          2S2 2P6 3P1         (2)1( 1.5)   215619.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   505958.9 
     5          2S2 2P6 3D1         (2)2( 2.5)   507555.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 178956323.0 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   172428.7 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   174890.5 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   180287.5 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   261313.9 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   409388.6 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   410841.8 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   414173.4 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   420513.2 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   485562.5 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   507641.1 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   508222.1 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   509105.7 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   578156.4 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   690432.1 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   694320.3 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   698778.0 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   701417.1 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   733467.0 
    20    10    2S2 2P6 3P1 3D1     (3)2( 1.0)   734038.0 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   737629.5 
    22    12    2S2 2P6 3P1 3D1     (3)1( 1.0)   738411.6 
    23    13    2S2 2P6 3P1 3D1     (3)2( 2.0)   739183.6 
    24    14    2S2 2P6 3P1 3D1     (3)2( 3.0)   739367.5 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   800513.3 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   810058.2 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1022803.1 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1023711.5 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1024871.6 
    30   600    2S2 2P6 3D2         (3)1( 0.0)  1049192.4 
    31   601    2S2 2P6 3D2         (3)1( 2.0)  1049347.7 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1049527.7 
    33   603    2S2 2P6 3D2         (1)2( 2.0)  1051076.9 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1054576.6 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1117263.2 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  3710240.2*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  3728002.7*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  3730128.8*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  3738191.6*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  3743908.5*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  3766645.1*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  3772090.5*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  3782261.0*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  3783509.0*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  3864705.5*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  3867141.2*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  3875020.5*
    48   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  3887083.9*
    49   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  3890568.5*
    50   612    2S2 2P5 3S2 3D1     (3)1( 0.0)  3893687.5*
    51   613    2S2 2P5 3S1 3P2     (3)2( 1.0)  3894650.1*
    52    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  3900264.1*
    53   614    2S2 2P5 3S1 3P2     (3)2( 2.0)  3901565.3*
    54   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  3903052.5*
    55   616    2S2 2P5 3S1 3P2     (5)2( 0.0)  3917635.6*
    56   617    2S2 2P5 3S1 3P2     (5)2( 1.0)  3923359.5*
    57   618    2S2 2P5 3S1 3P2     (3)3( 4.0)  3929579.6*
    58   619    2S2 2P5 3S1 3P2     (5)0( 2.0)  3930650.4*
    59   620    2S2 2P5 3S1 3P2     (3)2( 2.0)  3932840.8*
    60   621    2S2 2P5 3S1 3P2     (3)3( 3.0)  3935474.2*
    61   622    2S2 2P5 3S1 3P2     (3)0( 1.0)  3937572.0*
