SEQ='MG'     NUCCHG=23                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 195209007.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   224166.7 
     3          2S2 2P6 3P1         (2)1( 1.5)   234829.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   548787.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   550898.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 197676032.0 NLVL=  1119
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   187439.1 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   190539.9 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   197454.8 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   283840.5 
     6   588    2S2 2P6 3P2         (1)2( 2.0)   446113.2 
     7   589    2S2 2P6 3P2         (3)1( 0.0)   446305.7 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   450705.0 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   458974.2 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   528132.2 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   552068.7 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   552840.6 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   554019.0 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   627107.5 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)   751023.0 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)   756097.2 
    17     7    2S2 2P6 3P1 3D1     (3)3( 4.0)   761860.0 
    18     8    2S2 2P6 3P1 3D1     (1)2( 2.0)   763854.3 
    19     9    2S2 2P6 3P1 3D1     (3)1( 2.0)   797424.5 
    20    10    2S2 2P6 3P1 3D1     (3)2( 1.0)   797738.8 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)   802853.8 
    22    12    2S2 2P6 3P1 3D1     (3)1( 1.0)   803570.2 
    23    13    2S2 2P6 3P1 3D1     (3)2( 3.0)   804362.3 
    24    14    2S2 2P6 3P1 3D1     (3)2( 2.0)   804363.0 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)   869531.6 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)   879643.3 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1112468.5 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1113687.1 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1115228.5 
    30   600    2S2 2P6 3D2         (3)1( 0.0)  1141146.4 
    31   601    2S2 2P6 3D2         (1)2( 2.0)  1141234.7 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1141601.4 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1143524.4 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1147302.4 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1214668.7 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  4208612.2*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  4226922.2*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  4230618.4*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  4238962.6*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  4245555.6*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  4272839.6*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  4281056.5*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  4293241.0*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  4294943.9*
    45   606    2S2 2P5 3S1 3P2     (5)1( 3.0)  4377254.4*
    46   607    2S2 2P5 3S1 3P2     (5)1( 2.0)  4379425.5*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  4388729.2*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  4395056.6*
    49   610    2S2 2P5 3S1 3P2     (5)2( 3.0)  4401984.2*
    50   611    2S2 2P5 3S1 3P2     (5)2( 2.0)  4405276.7*
    51   612    2S2 2P5 3S2 3D1     (3)1( 0.0)  4408587.5*
    52   613    2S2 2P5 3S1 3P2     (3)2( 1.0)  4409634.5*
    53    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  4415478.3*
    54   614    2S2 2P5 3S1 3P2     (3)2( 2.0)  4417000.3*
    55   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  4419140.1*
    56   616    2S2 2P5 3S1 3P2     (5)2( 0.0)  4438695.7*
    57   617    2S2 2P5 3S1 3P2     (5)2( 1.0)  4444851.9*
    58   618    2S2 2P5 3S1 3P2     (3)3( 4.0)  4447037.6*
    59   619    2S2 2P5 3S1 3P2     (5)0( 2.0)  4452312.3*
    60   620    2S2 2P5 3S1 3P2     (3)3( 3.0)  4453405.2*
    61   621    2S2 2P5 3S1 3P2     (3)2( 2.0)  4456770.0*
