SEQ='MG'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 350076065.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   342599.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   383777.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   859545.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   869257.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 355659006.2 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1   587    2S2 2P6 3S2         (1)0( 0.0)        0.0 
     2     1    2S2 2P6 3S1 3P1     (3)1( 0.0)   293324.8 
     3     2    2S2 2P6 3S1 3P1     (3)1( 1.0)   304110.3 
     4     3    2S2 2P6 3S1 3P1     (3)1( 2.0)   332692.4 
     5     4    2S2 2P6 3S1 3P1     (1)1( 1.0)   453032.1 
     6   588    2S2 2P6 3P2         (3)1( 0.0)   699908.5 
     7   589    2S2 2P6 3P2         (1)2( 2.0)   718622.3 
     8   590    2S2 2P6 3P2         (3)1( 1.0)   722344.0 
     9   591    2S2 2P6 3P2         (3)1( 2.0)   757731.7 
    10   592    2S2 2P6 3P2         (1)0( 0.0)   852234.1 
    11   593    2S2 2P6 3S1 3D1     (3)2( 1.0)   874010.8 
    12   594    2S2 2P6 3S1 3D1     (3)2( 2.0)   877574.9 
    13   595    2S2 2P6 3S1 3D1     (3)2( 3.0)   883241.4 
    14   596    2S2 2P6 3S1 3D1     (1)2( 2.0)   983113.6 
    15     5    2S2 2P6 3P1 3D1     (3)3( 2.0)  1188002.3 
    16     6    2S2 2P6 3P1 3D1     (3)3( 3.0)  1209421.3 
    17     7    2S2 2P6 3P1 3D1     (1)2( 2.0)  1224410.1 
    18     8    2S2 2P6 3P1 3D1     (3)3( 4.0)  1234385.7 
    19     9    2S2 2P6 3P1 3D1     (3)2( 1.0)  1258363.3 
    20    10    2S2 2P6 3P1 3D1     (3)2( 2.0)  1265707.0 
    21    11    2S2 2P6 3P1 3D1     (3)1( 0.0)  1285803.8 
    22    12    2S2 2P6 3P1 3D1     (3)2( 3.0)  1285931.2 
    23    13    2S2 2P6 3P1 3D1     (3)1( 1.0)  1286741.7 
    24    14    2S2 2P6 3P1 3D1     (3)1( 2.0)  1289084.2 
    25    15    2S2 2P6 3P1 3D1     (1)3( 3.0)  1376774.7 
    26    16    2S2 2P6 3P1 3D1     (1)1( 1.0)  1391749.6 
    27   597    2S2 2P6 3D2         (3)3( 2.0)  1764311.4 
    28   598    2S2 2P6 3D2         (3)3( 3.0)  1770508.6 
    29   599    2S2 2P6 3D2         (3)3( 4.0)  1777599.0 
    30   600    2S2 2P6 3D2         (1)2( 2.0)  1810240.5 
    31   601    2S2 2P6 3D2         (3)1( 0.0)  1810303.0 
    32   602    2S2 2P6 3D2         (3)1( 1.0)  1812936.3 
    33   603    2S2 2P6 3D2         (3)1( 2.0)  1821144.6 
    34   604    2S2 2P6 3D2         (1)4( 4.0)  1824263.0 
    35   605    2S2 2P6 3D2         (1)0( 0.0)  1924076.3 
    36    17    2S2 2P5 3S2 3P1     (3)0( 1.0)  8538480.2*
    37    18    2S2 2P5 3S2 3P1     (3)2( 2.0)  8557755.6*
    38    19    2S2 2P5 3S2 3P1     (3)2( 3.0)  8586651.7*
    39    20    2S2 2P5 3S2 3P1     (1)1( 1.0)  8594594.0*
    40    21    2S2 2P5 3S2 3P1     (3)1( 2.0)  8609857.3*
    41    22    2S2 2P5 3S2 3P1     (3)1( 0.0)  8683544.3*
    42    23    2S2 2P5 3S2 3P1     (3)2( 1.0)  8740133.8*
    43    24    2S2 2P5 3S2 3P1     (3)1( 1.0)  8780524.4*
    44    25    2S2 2P5 3S2 3P1     (1)2( 2.0)  8785770.0*
    45   606    2S2 2P5 3S1 3P2     (5)1( 2.0)  8813241.8*
    46   607    2S2 2P5 3S1 3P2     (5)1( 3.0)  8821288.0*
    47   608    2S2 2P5 3S1 3P2     (5)1( 1.0)  8834591.8*
    48   609    2S2 2P5 3S1 3P2     (5)2( 4.0)  8854619.5*
    49   610    2S2 2P5 3S1 3P2     (3)2( 2.0)  8861958.4*
    50   611    2S2 2P5 3S1 3P2     (3)2( 1.0)  8863809.1*
    51   612    2S2 2P5 3S1 3P2     (5)2( 3.0)  8866549.2*
    52   613    2S2 2P5 3S1 3P2     (3)1( 0.0)  8870382.2*
    53   614    2S2 2P5 3S1 3P2     (5)0( 2.0)  8881789.5*
    54   615    2S2 2P5 3S1 3P2     (3)1( 1.0)  8897066.2*
    55    26    2S2 2P5 3S2 3P1     (1)0( 0.0)  8903255.2*
    56   616    2S2 2P5 3S1 3P2     (3)3( 4.0)  8930475.8*
    57   617    2S2 2P5 3S1 3P2     (3)3( 3.0)  8935354.3*
    58   618    2S2 2P5 3S1 3P2     (1)1( 1.0)  8945993.4*
    59   619    2S2 2P5 3S1 3P2     (3)2( 2.0)  8951011.9*
    60   620    2S2 2P5 3S1 3P2     (3)2( 3.0)  8958343.7*
    61   621    2S2 2P5 3S1 3P2     (5)2( 0.0)  8963681.2*
