SEQ='NA'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 141171768.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 142868363.9 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   172796.7 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   178452.2 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   420566.0 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   421510.1 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  2743524.9*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  2777111.4*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  2861982.3*
     9    10    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  2881273.8*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  2885784.5*
    11    12    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  2892332.4*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  2895634.2*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  2898742.7*
    14    15    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  2906542.7*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  2918075.5*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  2920068.4*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  2927308.2*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  2928283.3*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  2928712.4*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  2959217.8*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  2968470.7*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  2994428.4*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  2995546.5*
    24    25    1S2 2S2 2P5 3P2     (2)1( 0.5)  3061949.5*
    25    26    1S2 2S2 2P5 3P2     (2)1( 1.5)  3064051.6*
    26    28    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  3068897.1*
    27    29    1S2 2S2 2P5 3P2     (4)1( 1.5)  3073646.6*
    28    30    1S2 2S2 2P5 3P2     (2)3( 3.5)  3073875.0*
    29    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  3077736.4*
    30    32    1S2 2S2 2P5 3P2     (4)2( 3.5)  3084560.9*
    31    33    1S2 2S2 2P5 3P2     (2)2( 2.5)  3085273.8*
    32    34    1S2 2S2 2P5 3P2     (4)2( 2.5)  3087086.6*
    33    35    1S2 2S2 2P5 3P2     (2)2( 1.5)  3088734.3*
    34    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  3106483.7*
    35    37    1S2 2S2 2P5 3P2     (2)2( 1.5)  3111006.8*
    36    38    1S2 2S2 2P5 3P2     (2)3( 2.5)  3111770.0*
    37    39    1S2 2S2 2P5 3P2     (4)2( 1.5)  3114308.1*
    38    40    1S2 2S2 2P5 3P2     (2)0( 0.5)  3120604.2*
    39    41    1S2 2S2 2P5 3P2     (4)0( 1.5)  3123252.4*
    40    42    1S2 2S2 2P5 3P2     (2)2( 2.5)  3125890.2*
    41    43    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  3138321.9*
    42    44    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  3141691.8*
    43    45    1S2 2S2 2P5 3P2     (2)1( 1.5)  3147610.2*
    44    46    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  3147749.9*
    45    48    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  3153123.6*
    46    49    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  3157763.7*
    47    50    1S2 2S2 2P5 3S1 3D1 (4)3( 1.5)  3163534.6*
    48    51    1S2 2S2 2P5 3P2     (2)1( 0.5)  3163634.6*
    49    52    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  3167357.2*
    50    53    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  3170217.9*
    51    54    1S2 2S2 2P5 3S1 3D1 (4)2( 0.5)  3176299.0*
    52    55    1S2 2S2 2P5 3S1 3D1 (4)2( 1.5)  3178223.1*
