SEQ='NA'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  97930480.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  98844272.0 NLVL=   190
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   121779.9 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   123971.9 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   291684.7 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   291966.0 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  1631810.6*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  1647737.2*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  1714147.2*
     9    10    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  1728953.2*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  1731832.1*
    11    12    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  1735418.5*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  1738225.6*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  1740985.9*
    14    15    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  1744082.1*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  1749745.0*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  1751280.9*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  1754785.2*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  1755623.7*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  1760652.8*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  1787928.1*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  1794020.5*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  1806127.8*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  1807137.7*
    24    25    1S2 2S2 2P5 3P2     (2)1( 0.5)  1858342.6*
    25    26    1S2 2S2 2P5 3P2     (2)1( 1.5)  1860522.3*
    26    28    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  1865261.1*
    27    29    1S2 2S2 2P5 3P2     (4)1( 1.5)  1866165.8*
    28    30    1S2 2S2 2P5 3P2     (2)3( 3.5)  1866678.4*
    29    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  1868071.3*
    30    32    1S2 2S2 2P5 3P2     (2)3( 2.5)  1873513.4*
    31    33    1S2 2S2 2P5 3P2     (4)2( 3.5)  1874636.5*
    32    34    1S2 2S2 2P5 3P2     (4)2( 2.5)  1876935.5*
    33    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  1885856.3*
    34    37    1S2 2S2 2P5 3P2     (2)2( 2.5)  1886323.5*
    35    38    1S2 2S2 2P5 3P2     (2)2( 1.5)  1887162.5*
    36    39    1S2 2S2 2P5 3P2     (2)2( 1.5)  1891974.6*
    37    40    1S2 2S2 2P5 3P2     (2)0( 0.5)  1896789.0*
    38    41    1S2 2S2 2P5 3P2     (2)2( 2.5)  1896895.4*
    39    42    1S2 2S2 2P5 3P2     (4)0( 1.5)  1897122.4*
    40    43    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  1915425.8*
    41    44    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  1917179.5*
    42    45    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  1920418.2*
