SEQ='NA'     NUCCHG=27                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 273652705.5  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 278051021.8 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   290019.2 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   316902.9 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   722747.4 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   728635.0 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  6386523.6*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  6515339.6*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  6595392.3*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  6622370.5*
    10    10    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  6629831.6*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  6642889.5*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  6658336.7*
    13    14    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  6658908.1*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  6678929.1*
    15    16    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  6744887.9*
    16    17    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  6745835.5*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  6749726.6*
    18    19    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  6756781.0*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  6765401.0*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  6776372.2*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  6782860.8*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  6863835.0*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  6883035.5*
    24    25    1S2 2S2 2P5 3P2     (4)1( 1.5)  6930270.3*
    25    26    1S2 2S2 2P5 3P2     (2)1( 0.5)  6935234.1*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  6940305.7*
    27    28    1S2 2S2 2P5 3P2     (2)3( 3.5)  6951862.5*
    28    29    1S2 2S2 2P5 3P2     (2)1( 1.5)  6954472.5*
    29    30    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  6962823.2*
    30    31    1S2 2S2 2P5 3P2     (2)2( 1.5)  6972275.6*
    31    32    1S2 2S2 2P5 3P2     (2)2( 2.5)  6973279.6*
    32    33    1S2 2S2 2P5 3P2     (4)1( 0.5)  6976474.5*
    33    34    1S2 2S2 2P5 3P2     (4)2( 3.5)  6981867.6*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  6983687.6*
    35    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  7039646.9*
    36    37    1S2 2S2 2P5 3P2     (4)0( 1.5)  7043406.1*
    37    38    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  7046453.0*
    38    39    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  7055624.1*
    39    41    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  7071131.0*
    40    42    1S2 2S2 2P5 3P2     (2)1( 1.5)  7074502.7*
    41    43    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  7076208.0*
    42    44    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  7085062.9*
    43    45    1S2 2S2 2P5 3P2     (2)3( 2.5)  7086335.7*
    44    46    1S2 2S2 2P5 3P2     (2)0( 0.5)  7087659.7*
    45    47    1S2 2S2 2P5 3P2     (4)2( 1.5)  7089387.9*
    46    48    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  7097371.6*
    47    49    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  7103864.2*
    48    50    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  7106647.6*
    49    51    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  7109007.2*
    50    52    1S2 2S2 2P5 3P2     (2)2( 1.5)  7114557.9*
    51    53    1S2 2S2 2P5 3P2     (4)2( 2.5)  7121198.4*
    52    54    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  7131005.2*
