SEQ='NA'     NUCCHG=24                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 211425415.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 214515340.3 NLVL=   198
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   240016.5 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   254905.1 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   591627.3 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   594622.5 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  4645133.0*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  4721509.9*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  4814274.6*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  4838239.6*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  4844637.6*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  4855120.7*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  4862687.3*
    13    14    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  4864883.6*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  4879586.3*
    15    16    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  4912658.7*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  4920820.1*
    17    18    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  4921310.0*
    18    19    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  4930319.0*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  4935055.1*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  4943965.0*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  4956979.5*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  5014098.3*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  5022938.1*
    24    25    1S2 2S2 2P5 3P2     (2)1( 1.5)  5091349.8*
    25    26    1S2 2S2 2P5 3P2     (2)1( 0.5)  5091564.8*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  5096350.3*
    27    28    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  5104599.5*
    28    29    1S2 2S2 2P5 3P2     (2)3( 3.5)  5106795.4*
    29    30    1S2 2S2 2P5 3P2     (4)1( 1.5)  5108421.1*
    30    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  5119818.5*
    31    32    1S2 2S2 2P5 3P2     (2)2( 2.5)  5124383.5*
    32    33    1S2 2S2 2P5 3P2     (2)2( 1.5)  5125035.4*
    33    34    1S2 2S2 2P5 3P2     (4)2( 3.5)  5125716.4*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  5127729.5*
    35    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  5167662.9*
    36    37    1S2 2S2 2P5 3P2     (4)0( 1.5)  5172533.8*
    37    38    1S2 2S2 2P5 3P2     (4)2( 1.5)  5186082.6*
    38    39    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  5187838.7*
    39    40    1S2 2S2 2P5 3P2     (2)3( 2.5)  5188184.7*
    40    41    1S2 2S2 2P5 3P2     (2)0( 0.5)  5193873.6*
    41    42    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  5194595.4*
    42    43    1S2 2S2 2P5 3P2     (2)2( 1.5)  5202640.6*
    43    44    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  5205999.3*
    44    46    1S2 2S2 2P5 3P2     (4)2( 2.5)  5211870.7*
    45    47    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  5212197.6*
    46    48    1S2 2S2 2P5 3P2     (2)1( 1.5)  5214297.2*
    47    49    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  5219468.5*
    48    50    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  5229205.0*
    49    51    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  5233691.8*
    50    52    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  5234462.0*
    51    53    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  5236897.9*
    52    54    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  5252432.4*
