SEQ='NA'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 319722144.1  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 325118993.9 NLVL=   197
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   323134.1 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   361236.4 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   812636.2 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   821341.0 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  7697390.3*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  7873783.0*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  7933388.2*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  7962394.1*
    10    10    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  7970438.4*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  7984933.3*
    12    13    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  8007804.0*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  8008699.3*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  8031637.1*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  8107294.5*
    16    17    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  8118607.6*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  8124256.7*
    18    19    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  8130005.6*
    19    20    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  8146651.4*
    20    21    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  8169692.3*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  8179626.2*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  8259882.6*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  8288434.5*
    24    25    1S2 2S2 2P5 3P2     (4)1( 1.5)  8307642.7*
    25    26    1S2 2S2 2P5 3P2     (2)1( 0.5)  8318132.8*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  8323262.2*
    27    28    1S2 2S2 2P5 3P2     (2)3( 3.5)  8335293.2*
    28    29    1S2 2S2 2P5 3P2     (2)2( 1.5)  8337975.8*
    29    30    1S2 2S2 2P5 3P2     (2)2( 1.5)  8357136.0*
    30    31    1S2 2S2 2P5 3P2     (2)2( 2.5)  8359267.5*
    31    32    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  8363581.1*
    32    33    1S2 2S2 2P5 3P2     (4)1( 0.5)  8370170.0*
    33    34    1S2 2S2 2P5 3P2     (4)2( 3.5)  8375691.1*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  8377189.9*
    35    36    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  8437200.2*
    36    37    1S2 2S2 2P5 3P2     (4)2( 0.5)  8443382.9*
    37    38    1S2 2S2 2P5 3P2     (2)1( 1.5)  8445362.0*
    38    39    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  8450515.2*
    39    41    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  8467817.5*
    40    42    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  8472181.4*
    41    43    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  8482153.4*
    42    44    1S2 2S2 2P5 3P2     (2)1( 1.5)  8484132.0*
    43    45    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  8495550.5*
    44    46    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  8504487.7*
    45    47    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  8506328.7*
    46    48    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  8513173.4*
    47    49    1S2 2S2 2P5 3P2     (2)0( 0.5)  8517013.9*
    48    50    1S2 2S2 2P5 3P2     (4)2( 1.5)  8517088.7*
    49    51    1S2 2S2 2P5 3P2     (2)3( 2.5)  8518100.9*
    50    52    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  8535683.1*
    51    53    1S2 2S2 2P5 3P2     (4)0( 1.5)  8556073.8*
    52    54    1S2 2S2 2P5 3S1 3D1 (4)2( 0.5)  8562905.3*
