SEQ='NA'     NUCCHG=26                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 251996423.1  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 255933418.0 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   273391.3 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   295690.1 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   678614.9 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   683378.1 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  5776057.0*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  5885078.2*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  5971540.9*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  5997528.0*
    10    11    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  6004665.1*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  6016913.5*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  6029180.0*
    13    14    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  6030375.4*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  6048576.6*
    15    16    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  6101959.8*
    16    17    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  6105993.5*
    17    18    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  6112870.6*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  6116640.1*
    19    20    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  6124529.1*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  6134668.1*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  6135161.5*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  6214918.9*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  6230191.3*
    24    25    1S2 2S2 2P5 3P2     (4)1( 1.5)  6286977.7*
    25    26    1S2 2S2 2P5 3P2     (2)1( 0.5)  6289962.8*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  6294963.3*
    27    28    1S2 2S2 2P5 3P2     (2)3( 3.5)  6306215.0*
    28    29    1S2 2S2 2P5 3P2     (2)1( 1.5)  6308601.1*
    29    30    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  6311333.9*
    30    31    1S2 2S2 2P5 3P2     (2)2( 1.5)  6325921.5*
    31    32    1S2 2S2 2P5 3P2     (2)2( 2.5)  6326355.7*
    32    33    1S2 2S2 2P5 3P2     (4)1( 0.5)  6326482.3*
    33    34    1S2 2S2 2P5 3P2     (4)2( 3.5)  6331971.2*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  6333902.6*
    35    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  6384701.7*
    36    37    1S2 2S2 2P5 3P2     (4)0( 1.5)  6388687.2*
    37    38    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  6396522.7*
    38    39    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  6404752.6*
    39    40    1S2 2S2 2P5 3P2     (4)2( 1.5)  6414360.5*
    40    42    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  6418854.0*
    41    43    1S2 2S2 2P5 3P2     (2)3( 2.5)  6420647.1*
    42    44    1S2 2S2 2P5 3P2     (2)0( 0.5)  6423163.6*
    43    45    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  6424275.0*
    44    46    1S2 2S2 2P5 3P2     (2)1( 1.5)  6428245.9*
    45    47    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  6432699.6*
    46    48    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  6442462.0*
    47    49    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  6448096.7*
    48    50    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  6449782.5*
    49    51    1S2 2S2 2P5 3P2     (4)2( 2.5)  6450481.3*
    50    52    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  6453341.9*
    51    53    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  6453423.4*
    52    54    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  6473609.8*
