SEQ='NA'     NUCCHG=25                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 231254972.0  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 234755856.1 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   256722.9 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   275041.6 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   634932.2 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   638736.9 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  5195588.9*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  5287196.9*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  5377826.3*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  5402814.7*
    10    11    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  5409598.8*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  5420986.6*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  5430645.0*
    13    14    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  5432383.7*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  5448815.8*
    15    16    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  5491172.4*
    16    17    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  5497918.8*
    17    18    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  5500777.9*
    18    19    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  5511468.6*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  5513235.9*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  5520313.1*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  5530331.9*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  5598416.1*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  5610240.3*
    24    25    1S2 2S2 2P5 3P2     (4)1( 1.5)  5673996.5*
    25    26    1S2 2S2 2P5 3P2     (2)1( 0.5)  5675420.7*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  5680324.7*
    27    28    1S2 2S2 2P5 3P2     (2)3( 3.5)  5691209.9*
    28    29    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  5692020.1*
    29    30    1S2 2S2 2P5 3P2     (2)1( 1.5)  5693260.0*
    30    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  5707621.7*
    31    32    1S2 2S2 2P5 3P2     (2)2( 2.5)  5710075.8*
    32    33    1S2 2S2 2P5 3P2     (2)2( 1.5)  5710196.3*
    33    34    1S2 2S2 2P5 3P2     (4)2( 3.5)  5713286.4*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  5715283.6*
    35    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  5760669.9*
    36    37    1S2 2S2 2P5 3P2     (4)0( 1.5)  5765065.1*
    37    38    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  5777169.2*
    38    39    1S2 2S2 2P5 3P2     (4)2( 1.5)  5784237.8*
    39    40    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  5784707.2*
    40    41    1S2 2S2 2P5 3P2     (2)3( 2.5)  5788010.3*
    41    42    1S2 2S2 2P5 3P2     (2)0( 0.5)  5791845.4*
    42    44    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  5797279.4*
    43    45    1S2 2S2 2P5 3P2     (2)1( 1.5)  5800058.4*
    44    46    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  5802959.9*
    45    47    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  5810761.1*
    46    48    1S2 2S2 2P5 3P2     (2)2( 1.5)  5812348.8*
    47    49    1S2 2S2 2P5 3P2     (4)2( 2.5)  5814694.1*
    48    50    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  5821859.9*
    49    51    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  5826417.9*
    50    52    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  5828527.0*
    51    53    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  5829622.5*
    52    54    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  5847548.7*
