SEQ='NA'     NUCCHG=28                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 296226882.2  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 301111794.4 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   306602.1 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   338733.6 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   767398.9 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   774594.2 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  7026972.4*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  7178173.2*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  7249350.6*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  7277329.5*
    10    10    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  7285091.0*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  7298900.1*
    12    13    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  7318032.0*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  7318159.9*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  7339929.7*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  7413230.5*
    16    17    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  7416298.8*
    17    18    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  7421258.8*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  7427958.5*
    19    20    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  7437318.1*
    20    21    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  7455781.0*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  7464454.7*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  7545404.4*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  7569026.9*
    24    25    1S2 2S2 2P5 3P2     (4)1( 1.5)  7603839.1*
    25    26    1S2 2S2 2P5 3P2     (2)1( 0.5)  7611275.6*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  7616390.5*
    27    28    1S2 2S2 2P5 3P2     (2)3( 3.5)  7628203.2*
    28    29    1S2 2S2 2P5 3P2     (2)1( 1.5)  7630912.5*
    29    30    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  7646794.0*
    30    31    1S2 2S2 2P5 3P2     (2)2( 1.5)  7649324.0*
    31    32    1S2 2S2 2P5 3P2     (2)2( 2.5)  7650898.5*
    32    33    1S2 2S2 2P5 3P2     (4)1( 0.5)  7657675.6*
    33    34    1S2 2S2 2P5 3P2     (4)2( 3.5)  7663073.1*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  7664745.3*
    35    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  7724773.1*
    36    37    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  7727766.5*
    37    38    1S2 2S2 2P5 3P2     (4)0( 1.5)  7729141.1*
    38    39    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  7737327.8*
    39    41    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  7754088.7*
    40    42    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  7758821.4*
    41    43    1S2 2S2 2P5 3P2     (2)1( 1.5)  7764138.7*
    42    44    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  7768299.1*
    43    45    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  7780232.9*
    44    46    1S2 2S2 2P5 3P2     (2)3( 2.5)  7784837.2*
    45    47    1S2 2S2 2P5 3P2     (2)0( 0.5)  7785522.8*
    46    48    1S2 2S2 2P5 3P2     (4)2( 1.5)  7787008.4*
    47    49    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  7788739.2*
    48    50    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  7791658.8*
    49    51    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  7795602.6*
    50    52    1S2 2S2 2P5 3P2     (2)2( 1.5)  7813276.1*
    51    53    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  7822504.5*
    52    54    1S2 2S2 2P5 3P2     (4)2( 2.5)  7825043.7*
