SEQ='NA'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  73568537.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74085637.4 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)    87221.6 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)    88180.6 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   203487.6 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   203577.2 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  1038528.1*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  1047414.0*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  1097561.9*
     9    10    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  1108829.1*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  1110696.9*
    11    12    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  1112713.0*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  1115370.6*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  1117424.4*
    14    15    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  1118758.3*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  1122386.8*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  1124510.1*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  1125594.5*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  1126766.1*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  1133279.7*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  1155238.6*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  1159325.9*
