SEQ='NA'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85304453.4  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  86007309.9 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   104575.3 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   106065.1 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   247909.7 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   248076.3 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  1320591.3*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  1332607.7*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  1391214.8*
     9    10    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  1404304.0*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  1406659.0*
    11    12    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  1409397.1*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  1412165.2*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  1414609.9*
    14    15    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  1416666.1*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  1421117.8*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  1423134.8*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  1425216.4*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  1426304.7*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  1432166.2*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  1457013.7*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  1462083.6*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  1471109.2*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  1472310.1*
    24    25    1S2 2S2 2P5 3P2     (2)1( 0.5)  1516867.0*
    25    26    1S2 2S2 2P5 3P2     (2)1( 1.5)  1518882.8*
    26    28    1S2 2S2 2P5 3P2     (4)1( 1.5)  1523686.5*
    27    29    1S2 2S2 2P5 3P2     (2)3( 3.5)  1523832.9*
    28    30    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  1524110.6*
    29    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  1525197.9*
    30    32    1S2 2S2 2P5 3P2     (2)3( 2.5)  1529373.1*
    31    33    1S2 2S2 2P5 3P2     (4)2( 3.5)  1531336.7*
    32    34    1S2 2S2 2P5 3P2     (4)2( 2.5)  1533337.2*
    33    35    1S2 2S2 2P5 3P2     (4)2( 1.5)  1534858.2*
    34    36    1S2 2S2 2P5 3P2     (2)2( 2.5)  1539293.2*
    35    37    1S2 2S2 2P5 3P2     (4)2( 0.5)  1539977.5*
    36    38    1S2 2S2 2P5 3P2     (2)2( 1.5)  1540325.6*
    37    39    1S2 2S2 2P5 3P2     (2)2( 1.5)  1545349.8*
    38    40    1S2 2S2 2P5 3P2     (2)2( 2.5)  1549075.0*
    39    41    1S2 2S2 2P5 3P2     (2)0( 0.5)  1549799.0*
    40    42    1S2 2S2 2P5 3P2     (4)0( 1.5)  1549908.4*
    41    43    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  1566571.9*
    42    44    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  1567917.9*
    43    45    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  1570420.1*
    44    47    1S2 2S2 2P5 3P2     (2)1( 1.5)  1572405.1*
    45    48    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  1573881.5*
    46    49    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  1576077.4*
    47    50    1S2 2S2 2P5 3S1 3D1 (4)3( 1.5)  1578549.1*
    48    51    1S2 2S2 2P5 3P2     (2)1( 0.5)  1578853.9*
    49    52    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  1581285.3*
    50    53    1S2 2S2 2P5 3S1 3D1 (4)2( 2.5)  1583273.8*
