SEQ='NA'     NUCCHG=21                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 157380628.1  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 159388062.3 NLVL=   198
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   189667.9 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   197053.1 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   463187.8 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   464494.9 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  3173905.6*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  3215816.3*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  3304765.1*
     9    10    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  3325342.7*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  3330372.0*
    11    12    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  3337937.7*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  3341795.3*
    13    14    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  3344818.4*
    14    15    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  3354374.5*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  3369152.9*
    16    17    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  3372683.1*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  3379925.4*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  3380268.9*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  3382170.5*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  3409803.5*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  3420111.7*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  3452117.1*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  3454582.6*
    24    25    1S2 2S2 2P5 3P2     (2)1( 0.5)  3523611.4*
    25    26    1S2 2S2 2P5 3P2     (2)1( 1.5)  3525430.8*
    26    28    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  3531185.1*
    27    29    1S2 2S2 2P5 3P2     (2)3( 3.5)  3536529.0*
    28    30    1S2 2S2 2P5 3P2     (4)1( 1.5)  3536701.5*
    29    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  3542039.2*
    30    32    1S2 2S2 2P5 3P2     (4)2( 3.5)  3548699.5*
    31    33    1S2 2S2 2P5 3P2     (2)2( 2.5)  3549687.8*
    32    34    1S2 2S2 2P5 3P2     (4)2( 2.5)  3550980.7*
    33    35    1S2 2S2 2P5 3P2     (2)2( 1.5)  3552295.5*
    34    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  3575146.6*
    35    37    1S2 2S2 2P5 3P2     (2)2( 1.5)  3580536.6*
    36    38    1S2 2S2 2P5 3P2     (2)3( 2.5)  3582920.7*
    37    39    1S2 2S2 2P5 3P2     (4)2( 1.5)  3583951.4*
    38    40    1S2 2S2 2P5 3P2     (2)0( 0.5)  3590713.8*
    39    41    1S2 2S2 2P5 3P2     (4)0( 1.5)  3594879.3*
    40    42    1S2 2S2 2P5 3P2     (2)2( 2.5)  3598714.1*
    41    43    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  3605737.7*
    42    44    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  3609788.1*
    43    45    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  3616938.7*
    44    46    1S2 2S2 2P5 3P2     (2)1( 1.5)  3617382.2*
    45    48    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  3622481.7*
    46    49    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  3627787.6*
    47    50    1S2 2S2 2P5 3S1 3D1 (4)3( 1.5)  3634509.9*
    48    51    1S2 2S2 2P5 3P2     (2)1( 0.5)  3635674.8*
    49    52    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  3638466.6*
    50    53    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  3641472.7*
    51    54    1S2 2S2 2P5 3S1 3D1 (4)2( 0.5)  3649968.4*
    52    55    1S2 2S2 2P5 3S1 3D1 (4)2( 1.5)  3651144.5*
