SEQ='NA'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  62720095.9  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63076909.1 NLVL=   181
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)    69679.9 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)    70250.7 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   158385.8 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   158427.5 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)   784923.4*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)   791346.6*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)   832446.7*
     9    10    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)   841797.5*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)   843229.4*
    11    12    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)   844665.1*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)   847083.4*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)   848712.9*
    14    15    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)   849582.5*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)   852625.4*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)   854562.0*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)   855021.6*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)   856129.6*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)   863103.3*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)   881834.2*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)   885001.0*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)   889830.5*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)   890899.3*
