SEQ='NA'     NUCCHG=22                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 174490870.0  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 176834115.0 NLVL=   199
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   206491.3 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   215961.7 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   505840.7 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   507601.7 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  3634291.7*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  3685997.6*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  3777736.1*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  3799511.8*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  3805031.4*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  3813597.5*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  3818315.5*
    13    14    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  3821156.6*
    14    15    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  3832443.6*
    15    16    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  3851815.6*
    16    17    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  3856910.3*
    17    18    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  3862368.6*
    18    19    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  3864916.7*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  3867849.3*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  3890669.4*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  3902018.7*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  3941155.7*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  3945339.6*
    24    25    1S2 2S2 2P5 3P2     (2)1( 0.5)  4015718.5*
    25    26    1S2 2S2 2P5 3P2     (2)1( 1.5)  4017081.5*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  4020221.0*
    27    28    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  4024416.6*
    28    29    1S2 2S2 2P5 3P2     (2)3( 3.5)  4029517.4*
    29    30    1S2 2S2 2P5 3P2     (4)1( 1.5)  4030163.2*
    30    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  4037099.9*
    31    32    1S2 2S2 2P5 3P2     (4)2( 3.5)  4043527.5*
    32    33    1S2 2S2 2P5 3P2     (2)2( 2.5)  4044375.0*
    33    34    1S2 2S2 2P5 3P2     (4)2( 2.5)  4045562.7*
    34    35    1S2 2S2 2P5 3P2     (2)2( 1.5)  4046150.9*
    35    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  4074887.1*
    36    37    1S2 2S2 2P5 3P2     (2)2( 1.5)  4080468.2*
    37    38    1S2 2S2 2P5 3P2     (4)2( 1.5)  4085771.5*
    38    39    1S2 2S2 2P5 3P2     (2)3( 2.5)  4085878.0*
    39    40    1S2 2S2 2P5 3P2     (2)0( 0.5)  4092404.3*
    40    41    1S2 2S2 2P5 3P2     (4)0( 1.5)  4098340.5*
    41    42    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  4103406.4*
    42    43    1S2 2S2 2P5 3P2     (2)2( 2.5)  4103632.4*
    43    44    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  4108244.8*
    44    45    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  4116475.7*
    45    47    1S2 2S2 2P5 3P2     (2)1( 1.5)  4118074.8*
    46    48    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  4122043.3*
    47    49    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  4128013.5*
    48    50    1S2 2S2 2P5 3S1 3D1 (4)3( 1.5)  4135710.5*
    49    51    1S2 2S2 2P5 3P2     (2)1( 0.5)  4138131.1*
    50    52    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  4139813.8*
    51    53    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  4142928.0*
    52    54    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  4154376.6*
