SEQ='NA'     NUCCHG=23                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 192504944.0  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 195209001.6 NLVL=   199
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   223273.1 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   235228.8 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   548624.1 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   550943.0 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  4124695.7*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  4187832.5*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  4280903.2*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  4303802.8*
    10    11    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  4309779.3*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  4319320.0*
    12    13    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  4325257.1*
    13    14    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  4327821.8*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  4340817.1*
    15    16    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  4366257.1*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  4372904.7*
    17    18    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  4376137.2*
    18    19    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  4381514.8*
    19    20    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  4385498.7*
    20    21    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  4401931.9*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  4414270.7*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  4461744.3*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  4468044.7*
    24    25    1S2 2S2 2P5 3P2     (2)1( 0.5)  4538344.9*
    25    26    1S2 2S2 2P5 3P2     (2)1( 1.5)  4539043.3*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  4542994.7*
    27    28    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  4548808.5*
    28    29    1S2 2S2 2P5 3P2     (2)3( 3.5)  4552913.9*
    29    30    1S2 2S2 2P5 3P2     (4)1( 1.5)  4554058.6*
    30    31    1S2 2S2 2P5 3P2     (4)1( 0.5)  4562998.0*
    31    32    1S2 2S2 2P5 3P2     (4)2( 3.5)  4569160.3*
    32    33    1S2 2S2 2P5 3P2     (4)2( 2.5)  4569198.9*
    33    34    1S2 2S2 2P5 3P2     (2)2( 1.5)  4570371.5*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  4571154.7*
    35    36    1S2 2S2 2P5 3P2     (4)2( 0.5)  4605723.9*
    36    37    1S2 2S2 2P5 3P2     (2)2( 1.5)  4611038.7*
    37    38    1S2 2S2 2P5 3P2     (4)2( 1.5)  4619831.0*
    38    39    1S2 2S2 2P5 3P2     (2)3( 2.5)  4620882.7*
    39    40    1S2 2S2 2P5 3P2     (2)0( 0.5)  4625671.8*
    40    41    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  4631753.4*
    41    42    1S2 2S2 2P5 3P2     (4)0( 1.5)  4632987.0*
    42    43    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  4637878.5*
    43    44    1S2 2S2 2P5 3P2     (2)2( 2.5)  4640744.7*
    44    45    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  4646643.2*
    45    47    1S2 2S2 2P5 3P2     (2)1( 1.5)  4650087.0*
    46    48    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  4651914.6*
    47    49    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  4658539.4*
    48    50    1S2 2S2 2P5 3S1 3D1 (4)3( 1.5)  4667234.4*
    49    51    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  4671029.8*
    50    52    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  4671517.3*
    51    53    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  4674698.4*
    52    54    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  4688085.5*
