SEQ='NA'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 344141809.7  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 350076010.1 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2     2    1S2 2S2 2P6 3P1     (2)1( 0.5)   339607.7 
     3     3    1S2 2S2 2P6 3P1     (2)1( 1.5)   384466.8 
     4     4    1S2 2S2 2P6 3D1     (2)2( 1.5)   858524.5 
     5     5    1S2 2S2 2P6 3D1     (2)2( 2.5)   868960.0 
     6     6    1S2 2S2 2P5 3S2     (2)1( 1.5)  8397750.3*
     7     7    1S2 2S2 2P5 3S2     (2)1( 0.5)  8602367.9*
     8     8    1S2 2S2 2P5 3S1 3P1 (4)0( 1.5)  8647463.6*
     9     9    1S2 2S2 2P5 3S1 3P1 (4)2( 2.5)  8677537.8*
    10    10    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  8685854.3*
    11    12    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  8700962.9*
    12    13    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  8728270.5*
    13    14    1S2 2S2 2P5 3S1 3P1 (4)1( 2.5)  8729993.8*
    14    15    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  8754096.3*
    15    16    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  8831984.7*
    16    17    1S2 2S2 2P5 3S1 3P1 (2)1( 1.5)  8850255.8*
    17    18    1S2 2S2 2P5 3S1 3P1 (4)1( 0.5)  8852208.3*
    18    19    1S2 2S2 2P5 3S1 3P1 (4)2( 0.5)  8871811.7*
    19    20    1S2 2S2 2P5 3S1 3P1 (4)2( 1.5)  8889796.5*
    20    21    1S2 2S2 2P5 3S1 3P1 (4)1( 1.5)  8917639.6*
    21    22    1S2 2S2 2P5 3S1 3P1 (2)2( 2.5)  8928615.5*
    22    23    1S2 2S2 2P5 3S1 3P1 (2)1( 0.5)  9007520.6*
    23    24    1S2 2S2 2P5 3S1 3P1 (2)2( 1.5)  9041526.0*
    24    25    1S2 2S2 2P5 3P2     (4)1( 1.5)  9041619.3*
    25    26    1S2 2S2 2P5 3P2     (2)1( 0.5)  9055839.3*
    26    27    1S2 2S2 2P5 3P2     (4)1( 2.5)  9060954.3*
    27    28    1S2 2S2 2P5 3P2     (2)3( 3.5)  9073176.5*
    28    29    1S2 2S2 2P5 3P2     (2)2( 1.5)  9075716.5*
    29    30    1S2 2S2 2P5 3P2     (2)2( 1.5)  9095766.3*
    30    31    1S2 2S2 2P5 3P2     (2)2( 2.5)  9098429.7*
    31    32    1S2 2S2 2P5 3S1 3P1 (2)0( 0.5)  9113528.1*
    32    33    1S2 2S2 2P5 3P2     (4)1( 0.5)  9114029.4*
    33    34    1S2 2S2 2P5 3P2     (4)2( 3.5)  9119814.7*
    34    35    1S2 2S2 2P5 3P2     (2)2( 2.5)  9121124.9*
    35    36    1S2 2S2 2P5 3S1 3D1 (4)1( 0.5)  9179211.8*
    36    37    1S2 2S2 2P5 3S1 3D1 (4)1( 1.5)  9190369.1*
    37    38    1S2 2S2 2P5 3P2     (4)2( 0.5)  9191039.5*
    38    39    1S2 2S2 2P5 3P2     (2)1( 1.5)  9196986.4*
    39    41    1S2 2S2 2P5 3S1 3D1 (4)1( 2.5)  9212361.8*
    40    42    1S2 2S2 2P5 3S1 3D1 (4)3( 3.5)  9216341.8*
    41    43    1S2 2S2 2P5 3S1 3D1 (4)3( 2.5)  9226782.0*
    42    44    1S2 2S2 2P5 3P2     (2)1( 1.5)  9235203.5*
    43    45    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  9241162.0*
    44    46    1S2 2S2 2P5 3S1 3D1 (4)2( 3.5)  9251177.7*
    45    47    1S2 2S2 2P5 3S1 3D1 (2)3( 2.5)  9252780.1*
    46    48    1S2 2S2 2P5 3S1 3D1 (2)1( 0.5)  9261776.4*
    47    49    1S2 2S2 2P5 3S1 3D1 (2)2( 1.5)  9279852.6*
    48    51    1S2 2S2 2P5 3P2     (2)3( 2.5)  9284270.7*
    49    52    1S2 2S2 2P5 3P2     (4)2( 1.5)  9288720.9*
    50    53    1S2 2S2 2P5 3S1 3D1 (4)2( 0.5)  9319145.1*
    51    54    1S2 2S2 2P5 3P2     (4)0( 1.5)  9326445.9*
    52    55    1S2 2S2 2P5 3S1 3D1 (2)3( 3.5)  9328701.1*
