3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation quantum indices,
# and dissociation probability and energy (eV) for the B primed state.  
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# This is the B primed state, which is elec = 5 in the internal bookkeeping.
#
# v  	J   	 diss tot(1/s) 	 mean_diss_KE(ev)   
0	0	7.05E+01	8.35E-01
0	1	7.34E+04	8.35E-01
0	2	1.90E+01	9.50E-01
0	3	9.09E+00	9.77E-01
0	4	8.73E+00	8.96E-01
0	5	1.03E+01	8.07E-01
0	6	2.46E+01	8.20E-01
0	7	5.20E+01	7.86E-01
0	8	1.03E+01	8.41E-01
0	9	9.91E+03	9.39E-01
0	10	2.28E+02	8.37E-01
0	11	9.65E+02	9.70E-01
0	12	1.24E+02	7.95E-02
0	13	3.58E+01	8.17E-01
0	14	4.72E+01	6.31E-01
0	15	2.65E+01	8.84E-02
0	16	1.93E+02	2.03E-01
0	17	1.30E+02	1.48E-01
0	18	3.51E+02	7.26E-02
0	19	9.15E+05	1.08E-01
1	0	2.60E+01	8.26E-01
1	1	3.08E+02	5.05E-01
1	2	3.59E+01	5.72E-01
1	3	2.55E+03	9.45E-01
1	4	1.01E+03	8.77E-01
1	5	5.47E+02	7.42E-01
1	6	1.34E+07	6.98E-01
1	7	1.20E+02	7.17E-01
1	8	7.95E+02	6.31E-01
1	9	2.71E+02	5.56E-01
1	10	9.78E+01	5.73E-01
1	11	1.51E+02	6.15E-01
1	12	6.12E+01	7.71E-02
1	13	1.02E+03	6.78E-01
1	14	3.44E+02	1.14E-01
1	15	4.86E+02	1.19E-01
1	16	8.68E+03	1.07E-01
1	17	1.35E+04	1.01E-01
2	0	5.91E+01	6.94E-01
2	1	8.73E+01	4.02E-01
2	2	1.42E+02	4.04E-01
2	3	6.82E+01	6.85E-01
2	4	5.52E+01	8.07E-01
2	5	7.44E+01	4.01E-01
2	6	6.18E+01	5.20E-01
2	7	1.66E+02	3.87E-01
2	8	1.55E+02	5.61E-01
2	9	1.33E+02	3.80E-01
2	10	6.04E+03	3.61E-01
2	11	8.00E+02	2.24E-01
2	12	1.32E+03	7.26E-02
2	13	7.35E+03	5.50E-01
2	14	4.33E+04	1.43E-01
3	0	6.32E+02	8.60E-01
3	1	3.55E+02	7.34E-01
3	2	4.14E+02	2.32E-01
3	3	3.04E+02	2.28E-01
3	4	3.41E+02	2.61E-01
3	5	2.72E+03	2.79E-01
3	6	3.51E+02	1.56E-01
3	7	6.01E+02	2.59E-01
3	8	1.11E+03	1.94E-01
3	9	2.83E+03	7.45E-02
3	10	7.34E+04	5.74E-01
3	11	3.49E+04	1.45E-01
3	12	9.87E+05	2.54E-02
4	0	1.75E+03	1.74E-01
4	1	2.21E+04	1.45E-01
4	2	2.44E+03	1.63E-01
4	3	5.45E+03	1.75E-01
4	4	2.18E+03	8.70E-02
4	5	8.33E+03	1.13E-01
4	6	3.24E+04	2.46E-01
4	7	6.95E+03	1.89E-01
4	8	9.83E+05	1.29E-01
4	9	2.76E+06	3.77E-02
5	0	1.03E+05	1.25E-02
5	1	2.74E+05	7.78E-02
5	2	5.68E+05	8.75E-02
5	3	1.47E+06	1.46E-02
5	4	1.17E+07	2.91E-02
5	5	4.57E+07	3.43E-02
5	6	2.40E+08	9.45E-02
5	7	4.32E+05	1.80E-01
5	8	3.92E+08	2.12E-02
6	0	1.32E+08	7.70E-03
6	1	1.30E+08	8.55E-03
6	2	1.24E+08	1.02E-02
6	3	1.11E+08	5.15E-03
6	4	2.75E+08	9.28E-03
6	5	2.61E+08	1.00E-02
6	6	2.95E+08	2.28E-02
6	7	3.80E+08	3.37E-02
7	0	3.54E+08	4.91E-03
7	1	3.54E+08	5.33E-03
7	2	3.67E+08	6.03E-03
7	3	3.79E+08	7.20E-03
7	4	3.87E+08	8.70E-03
7	5	3.85E+08	1.01E-02
7	6	2.70E+08	1.21E-02
7	7	3.97E+08	2.08E-02
8	0	5.92E+08	4.34E-02
8	1	4.56E+08	2.00E-02
8	2	3.63E+08	7.94E-03
8	3	3.26E+08	8.53E-03
8	4	4.82E+08	1.95E-02
9	0	1.33E+08	1.54E-02
9	1	1.05E+08	1.67E-02

