  20190923 # magic number
########################################################################
#
# Ionization potentials of all ions of all natural elements.
#
# Description of the columns:
#
# column 1 : element number (H = 1, He = 2, etc.)
# column 2 : charge before ionization (neutral = 0, etc)
# column 3 : ionization potential in cm^-1
# column 4 : uncertainty in ionization potential in cm^-1; 0, if unknown
# column 5 : literature reference, see bottom of file
# column 6 : spectrum of the ion before ionization
# column 7 : configuration of the ion after ionization
#
########################################################################
  1   0 109678.77174307 0.00000010      # HDEL                 H  I       	''
  2   0 198310.66637    0.00020         # L17714               He I       	'He II (1s 2S<1/2>)'
  2   1 438908.8785     0.0002          # L7188c95             He II      	''
  3   0 43487.11420     0.00018         # L12261               Li I       	'Li II (1s2 1S<0>)'
  3   1 610078.526      0.010           # L10054               Li II      	'Li III (1s 2S<1/2>)'
  3   2 987661.014      0.002           # L3620c96             Li III     	''
  4   0 75192.64        0.06            # L5964                Be I       	'Be II (2s 2S<1/2>)'
  4   1 146882.86       0.35            # L12158               Be II      	'Be III (1s2 1S<0>)'
  4   2 1241256.60      0.03            # L10054               Be III     	'Be IV (1s 2S<1/2>)'
  4   3 1756018.822     0.008           # L3620c97             Be IV      	''
  5   0 66928.040       0.022           # L12312               B  I       	'B II (2s2 1S<0>)'
  5   1 202887.4        0.4             # L12120               B  II      	'B III (2s 2S<1/2>)'
  5   2 305930.8        0.6             # L12547               B  III     	'B IV (1s2 1S<0>)'
  5   3 2091972         20              # L12548               B  IV      	'B V (1s 2S<1/2>)'
  5   4 2744107.936     0.020           # L12548               B  V       	''
  6   0 90820.348       0.009           # L20057               C  I       	'C II (2s2.2p 2P*<1/2>)'
  6   1 196663.40       0.13            # c190                 C  II      	'C III (2s2 1S<0>)'
  6   2 386241.0        2.0             # L876c191             C  III     	'C IV (2s 2S<1/2>)'
  6   3 520175.3        1.5             # L11667               C  IV      	'C V (1s2 1S<0>)'
  6   4 3162423.3       0.2             # L10054               C  V       	'C VI (1s 2S<1/2>)'
  6   5 3952061.67      0.05            # L7188                C  VI      	''
  7   0 117225.7        0.3             # L1411                N  I       	'N II (2p2 3P<0>)'
  7   1 238750.2        0.7             # L11770               N  II      	'N III (2p 2P*<1/2>)'
  7   2 382672          20              # L11770               N  III     	'N IV (2s2 1S<0>)'
  7   3 624866          3               # L7288,L876           N  IV      	'N V (2s 2S<1/2>)'
  7   4 789537.2        3.0             # L4829                N  V       	'N VI (1s2 1S<0>)'
  7   5 4452723.3       0.3             # L10054               N  VI      	'N VII (1s 2S<1/2>)'
  7   6 5380089.8       0.1             # L7188                N  VII     	''
  8   0 109837.02       0.06            # L74,L3760            O  I       	'O II (2p3 4S*<3/2>)'
  8   1 283270.9        0.5             # L11267,L10621        O  II      	'O III (2p2 3P<0>)'
  8   2 443085.0        1.0             # L11770               O  III     	'O IV (2p 2P*<1/2>)'
  8   3 624382.0        2.0             # L648                 O  IV      	'O V (2s2 1S<0>)'
  8   4 918657          4               # L7288                O  V       	'O VI (2s 2S<1/2>)'
  8   5 1114004         17              # L4713                O  VI      	'O VII (1s2 1S<0>)'
  8   6 5963073.0       0.5             # L10054               O  VII     	'O VIII (1s 2S<1/2>)'
