!MOLECULE																	
ArH+																	
!MOECULAR WEIGHT																	
37																	
!NUMBER OF ENERGY LEVELS																	
11																	
!Level	E_lo	g_low	J_lower														
1	0	1	0														
2	20.5428	3	1														
3	61.6136	5	2														
4	123.1826	7	3														
5	205.2055	9	4														
6	307.6227	11	5														
7	430.3604	13	6														
8	573.3298	15	7														
9	736.4276	17	8														
10	919.5359	19	9														
11	1122.5224	21	10														
!NUMBER OF RADIATIVE TRANSITIONS																	
10																	
!TRANS 	UP	Low	Einstein	freq(GHz)	E_u(K)												
1	2	1	0.004295364	0.000615858	29.55636436												
2	3	2	0.041181295	0.001231271	88.64779927												
3	4	3	0.14868255	0.001845794	177.2314294												
4	5	4	0.364502071	0.002458982	295.2435172												
5	6	5	0.72577165	0.003070392	442.5983121												
6	7	6	1.268323385	0.003679584	619.1896327												
7	8	7	2.02688916	0.004286115	824.8897163												
8	9	8	3.034380229	0.004889549	1059.549938												
9	10	9	4.322251165	0.005489449	1323.000667												
10	11	10	5.918613767	0.006085382	1615.051553												
!NUMBER OF COLL PARTNERS																	
1																	
!COLLISIONS BETWEEN																	
1 ArH+ - H2 from Flower (1999) HCO+ + extrapolation																	
!NUMBER OF COLL TRANS																	
55																	
!NUMBER OF COLL TEMPS																	
15																	
!COLL TEMPS																	
   10.0   20.0   30.0   50.0   70.0  100.0  150.0  200.0  250.0  300.0  350.0  400.0  500.0 1000.0 2000.0																	
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)																	
1	2	1	2.60E-10	2.30E-10	2.10E-10	2.00E-10	1.90E-10	1.80E-10	2.00E-10	2.20E-10	2.30E-10	2.50E-10	2.70E-10	2.80E-10	2.90E-10	3.20E-10	3.40E-10
2	3	1	1.40E-10	1.20E-10	1.10E-10	1.00E-10	9.20E-11	8.80E-11	8.40E-11	8.20E-11	8.10E-11	8.30E-11	8.10E-11	8.50E-11	8.80E-11	9.70E-11	1.10E-10
3	3	2	3.80E-10	3.70E-10	3.40E-10	3.40E-10	3.30E-10	3.50E-10	3.60E-10	3.80E-10	4.00E-10	4.20E-10	4.40E-10	4.40E-10	4.60E-10	5.10E-10	5.60E-10
4	4	1	1.00E-10	9.10E-11	8.40E-11	7.30E-11	6.80E-11	6.30E-11	5.90E-11	5.60E-11	5.50E-11	5.50E-11	5.50E-11	5.50E-11	5.80E-11	6.60E-11	7.40E-11
5	4	2	2.50E-10	2.30E-10	2.10E-10	1.90E-10	1.80E-10	1.70E-10	1.70E-10	1.70E-10	1.80E-10	1.80E-10	1.80E-10	1.80E-10	1.90E-10	2.10E-10	2.30E-10
6	4	3	4.30E-10	4.20E-10	4.00E-10	3.90E-10	3.90E-10	4.00E-10	4.20E-10	4.30E-10	4.50E-10	4.70E-10	4.90E-10	4.90E-10	5.10E-10	5.70E-10	6.30E-10
7	5	1	5.90E-11	5.80E-11	5.50E-11	5.20E-11	4.60E-11	4.40E-11	4.10E-11	4.10E-11	4.20E-11	4.20E-11	4.30E-11	4.40E-11	4.70E-11	5.50E-11	6.50E-11
8	5	2	1.60E-10	1.60E-10	1.50E-10	1.50E-10	1.40E-10	1.30E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.10E-10	1.10E-10	1.20E-10	1.30E-10	1.50E-10
9	5	3	2.90E-10	2.70E-10	2.50E-10	2.40E-10	2.30E-10	2.20E-10	2.20E-10	2.20E-10	2.20E-10	2.20E-10	2.20E-10	2.20E-10	2.30E-10	2.60E-10	2.80E-10
10	5	4	4.00E-10	4.00E-10	3.90E-10	3.90E-10	4.00E-10	4.20E-10	4.40E-10	4.50E-10	4.70E-10	4.90E-10	5.10E-10	5.10E-10	5.30E-10	6.00E-10	6.70E-10
11	6	1	3.30E-11	3.40E-11	3.40E-11	3.30E-11	3.30E-11	3.10E-11	3.00E-11	2.90E-11	2.70E-11	2.60E-11	2.60E-11	2.60E-11	2.70E-11	3.20E-11	3.70E-11
12	6	2	1.20E-10	1.20E-10	1.10E-10	1.10E-10	1.00E-10	9.80E-11	9.60E-11	9.60E-11	9.50E-11	9.30E-11	9.40E-11	9.40E-11	9.90E-11	1.20E-10	1.40E-10
13	6	3	2.10E-10	2.00E-10	1.90E-10	1.80E-10	1.70E-10	1.60E-10	1.50E-10	1.50E-10	1.50E-10	1.40E-10	1.40E-10	1.40E-10	1.50E-10	1.70E-10	1.90E-10
14	6	4	3.00E-10	2.90E-10	2.80E-10	2.70E-10	2.60E-10	2.50E-10	2.50E-10	2.40E-10	2.40E-10	2.40E-10	2.50E-10	2.50E-10	2.60E-10	2.90E-10	3.30E-10
15	6	5	4.20E-10	4.10E-10	4.00E-10	4.00E-10	4.00E-10	4.20E-10	4.40E-10	4.60E-10	4.80E-10	5.00E-10	5.10E-10	5.10E-10	5.30E-10	6.10E-10	6.80E-10
16	7	1	3.20E-11	3.00E-11	2.90E-11	2.80E-11	2.80E-11	2.80E-11	2.70E-11	2.50E-11	2.40E-11	2.40E-11	2.20E-11	2.20E-11	2.30E-11	2.80E-11	3.40E-11
17	7	2	9.60E-11	9.30E-11	8.90E-11	8.50E-11	8.10E-11	7.50E-11	6.90E-11	6.60E-11	6.30E-11	6.10E-11	5.90E-11	5.90E-11	6.20E-11	7.20E-11	8.50E-11
18	7	3	1.70E-10	1.70E-10	1.60E-10	1.50E-10	1.40E-10	1.30E-10	1.30E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.30E-10	1.50E-10	1.80E-10
19	7	4	2.10E-10	2.10E-10	2.00E-10	1.90E-10	1.80E-10	1.70E-10	1.70E-10	1.60E-10	1.60E-10	1.60E-10	1.60E-10	1.60E-10	1.70E-10	1.90E-10	2.20E-10
20	7	5	2.90E-10	2.80E-10	2.70E-10	2.60E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.60E-10	2.90E-10	3.30E-10
21	7	6	3.80E-10	3.80E-10	3.80E-10	3.90E-10	4.00E-10	4.20E-10	4.40E-10	4.60E-10	4.80E-10	5.00E-10	5.20E-10	5.20E-10	5.40E-10	6.20E-10	7.00E-10
22	8	1	3.10E-11	3.00E-11	2.90E-11	2.60E-11	2.40E-11	2.20E-11	1.90E-11	1.70E-11	1.60E-11	1.50E-11	1.40E-11	1.30E-11	1.40E-11	1.60E-11	1.90E-11
23	8	2	8.20E-11	8.00E-11	7.60E-11	7.20E-11	6.80E-11	6.20E-11	5.70E-11	5.30E-11	5.10E-11	4.80E-11	4.60E-11	4.60E-11	4.90E-11	5.90E-11	7.20E-11
24	8	3	1.30E-10	1.30E-10	1.20E-10	1.10E-10	1.10E-10	9.80E-11	9.00E-11	8.60E-11	8.20E-11	7.90E-11	7.70E-11	7.70E-11	8.10E-11	9.40E-11	1.10E-10
25	8	4	1.60E-10	1.60E-10	1.60E-10	1.50E-10	1.50E-10	1.40E-10	1.40E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.40E-10	1.60E-10	1.90E-10
26	8	5	2.00E-10	2.10E-10	2.00E-10	1.90E-10	1.90E-10	1.80E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.80E-10	2.00E-10	2.40E-10
