!MOLECULE
o-H3O+
!MOLECULAR WEIGHT
19.0
!NUMBER OF ENERGY LEVELS
9
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J,K,+/-
  1  	      5.2000	   12.0     1_0_+
  2  	     38.0836	    4.0     0_0_-
  3	     70.8807	   56.0     3_3_+
  4	    104.3389	   20.0     2_0_-
  5	    117.5571	   28.0     3_0_+
  6	    126.3719	   56.0     3_3_-
  7	    160.7727	   72.0     4_3_+
  8	    214.6876	   72.0     4_3_-
  9	    258.7457	   36.0     4_0_-
!NUMBER OF RADIATIVE TRANSITIONS
8
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
1      2    1	   2.305e-02	     984.696743     54.7
2      4    1	   2.535e-01	    2972.109643    150.1
3      5    4	   6.436e-04	     396.272412    169.1
4      6    3	   8.333e-02	    1663.584332    181.8
5      7    6	   5.148e-03	    1031.310528    231.3
6      8    3	   3.760e-01	    4311.221416    308.9
7      8    7	   4.586e-02	    1616.326555    308.9
8      9    5	   8.134e-01	    4232.729107    372.3
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 oH3O+ - H2 Scaled radiative and NH3 rates
!NUMBER OF COLL TRANS
36
!NUMBER OF COLL TEMPS
1
!COLL TEMPS
  100.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
 1   2    1  5.4E-10 
 2   3    1  1.6E-10 
 3   3    2  3.0E-11 
 4   4    1  7.1E-10 
 5   4    2  5.5E-11 
 6   4    3  3.5E-10 
 7   5    1  2.4E-10 
 8   5    2  5.2E-11 
 9   5    3  1.0E-09
10   5    4  4.0E-10 
11   6    1  2.7E-10 
12   6    2  3.0E-11 
13   6    3  3.6E-10 
14   6    4  4.9E-10 
15   6    5  3.3E-10 
16   7    1  5.1E-11 
17   7    2  1.5E-11
18   7    3  1.4E-10 
19   7    4  7.7E-11 
20   7    5  2.5E-10 
21   7    6  1.6E-10 
22   8    1  1.0E-10 
23   8    2  1.0E-10 
24   8    3  1.0E-10 
25   8    4  1.0E-10 
26   8    5  1.0E-10 
27   8    6  1.0E-10
28   8    7  1.0E-10
29   9    1  1.0E-10 
30   9    2  1.0E-10 
31   9    3  1.0E-10 
32   9    4  1.0E-10 
33   9    5  1.0E-10 
34   9    6  1.0E-10 
35   9    7  1.0E-10 
36   9    8  1.0E-10 
!NOTES:
!Energy levels, transition frequencies and Einstein A coefficients taken from JPL
