#These would be double counted if included in the molecular network
#N+,e-=>N:ele_recomb:1.:0.:0.
#S+,e-=>S:ele_recomb:1.:0.:0.
#Cl+,e-=>Cl:ele_recomb:1.:0.:0.
#C+,e-=>C:ele_recomb:1.:0.:0.
#O+,e-=>O:ele_recomb:1.:0.:0.
#Si+,e-=>Si:ele_recomb:1.:0.:0.
#C,PHOTON=>C+,e-:ele_ionize:1.:0.:0.
#O,PHOTON=>O+,e-:ele_ionize:1.:0.:0.
#Si,PHOTON=>Si+,e-:ele_ionize:1.:0.:0.
#Cl,PHOTON=>Cl+,e-:ele_ionize:1.:0.:0.
#N,PHOTON=>N+,e-:ele_ionize:1.:0.:0.
#S,PHOTON=>S+,e-:ele_ionize:1.:0.:0.
# >>chng 06 Feb 28 -- NPA.  Charge transfer between S+, Si+, and C+ and Mg/Fe is 
#	 * sometimes important in molecular abundance determinations.  We therefore include them here.  Someday, we may need to 
#	 * include Mg and Fe in the molecular network, but for now include the reaction in the existing heavy element
#	 * network 
S+,Mg=>S,Mg+:hmrate:2.8e-10:0.:0. # TH85	 
S+,Fe=>S,Fe+:hmrate:1.8e-10:0.:0. # TH85	 
Si+,Mg=>Si,Mg+:hmrate:2.9e-10:0.:0. # TH85	 
Si+,Fe=>Si,Fe+:hmrate:1.9e-10:0.:0. # TH85	 
C+,Mg=>C,Mg+:hmrate:1.1e-9:0.:0. # TH85	 
C+,Fe=>C,Fe+:hmrate:2.6e-9:0.:0. # TH85	 
CO,PHOTON=>C,O:th85rate_co:2.0e-10:0.:3.2#  UMIST	 
H,CO+=>CO,H+:hmrate:7.5e-10:0:0 # UMIST	 
H-,HCO+=>CO,H2:hmrate:0.00000023:-0.5:0 # UMIST	 
H2+,CO=>HCO+,H:hmrate:2.16e-9:0:0 # UMIST	 
H2+,CO=>CO+,H2:hmrate:6.4e-10:0:0 # UMIST	 
H3+,CO=>HCO+,H2:hmrate:1.7e-9:0:0 # UMIST	 
He+,CO=>O+,C,He:hmrate:0.00000000000000014:-0.5:0 # UMIST	 
He+,CO=>O,C+,He:hmrate:1.6e-9:0:0 # UMIST	 
CRPHOT,CO=>C,O:crnurate: 10:0.:0. # UMIST	 
