#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
1,H,CH,,C,H2,,,1.31E-10,0.00,80.0,C,300,2000,B,NIST
2,H,CH2,,CH,H2,,,6.64E-11,0.00,0.0,L,300,2500,A,NIST
3,H,NH,,N,H2,,,1.73E-11,0.50,2400.0,L,80,300,C,
4,H,CH3,,CH2,H2,,,1.00E-10,0.00,7600.0,L,300,2500,A,NIST
5,H,NH2,,NH,H2,,,5.25E-12,0.79,2200.0,L,73,300,C,
6,H,NH2,,NH,H2,,,1.05E-10,0.00,4450.0,M,1100,3000,A,NIST
7,H,CH4,,CH3,H2,,,5.94E-13,3.00,4045.0,L,300,2500,A,NIST
8,H,OH,,O,H2,,,6.99E-14,2.80,1950.0,L,300,2500,A,NIST
9,H,NH3,,NH2,H2,,,7.80E-13,2.40,4990.0,M,200,2500,C,NIST
10,H,H2O,,OH,H2,,,1.59E-11,1.20,9610.0,L,250,3000,A,NIST
11,H,C2,,CH,C,,,4.67E-10,0.50,30450.0,L,1015,41000,C,
12,H,C2H2,,C2H,H2,,,3.80E-10,0.00,13634.0,L,295,6920,A,NIST
13,H,HCN,,CN,H2,,,6.20E-10,0.00,12500.0,L,300,2500,C,NIST
14,H,C2H3,,C2H2,H2,,,3.32E-11,0.00,0.0,L,300,2500,A,NIST
15,H,CO,,OH,C,,,1.10E-10,0.50,77700.0,L,2590,41000,C,
16,H,H2CN,,HCN,H2,,,1.00E-10,0.00,0.0,M,10,300,C,SH04
17,H,HCO,,O,CH2,,,6.61E-11,0.00,51598.0,M,1200,1812,A,NIST
18,H,HCO,,CO,H2,,,2.00E-10,0.00,0.0,M,300,2500,A,NIST
19,H,NO,,O,NH,,,9.29E-10,-0.10,35220.0,M,300,3000,C,NIST
20,H,NO,,OH,N,,,3.60E-10,0.00,24910.0,L,1500,4524,A,NIST
21,H,H2CO,,HCO,H2,,,4.85E-12,1.90,1379.0,C,250,5000,B,NIST
22,H,HNO,,OH,NH,,,2.40E-09,-0.50,9010.0,L,350,3000,C,NIST
23,H,HNO,,NH2,O,,,1.05E-09,-0.30,14730.0,L,550,3000,A,NIST
24,H,HNO,,NO,H2,,,4.50E-11,0.72,329.0,C,200,3000,B,NIST
25,H,O2,,OH,O,,,2.61E-10,0.00,8156.0,L,250,4000,A,NIST
26,H,O2H,,OH,OH,,,1.66E-10,0.00,413.0,L,230,2500,A,NIST
27,H,O2H,,H2O,O,,,5.00E-11,0.00,866.0,M,245,2500,C,NIST
28,H,O2H,,O2,H2,,,2.06E-11,0.84,277.0,L,230,2500,A,NIST
29,H,HS,,S,H2,,,2.50E-11,0.00,0.0,M,300,2500,C,NIST
30,H,H2O2,,H2O,OH,,,1.70E-11,0.00,1800.0,L,300,2500,A,NIST
31,H,H2O2,,O2H,H2,,,8.00E-11,0.00,4000.0,L,300,2500,A,NIST
32,H,H2S,,HS,H2,,,3.71E-12,1.94,455.0,M,190,2560,A,NIST
33,H,OCN,,HCN,O,,,1.87e-11,0.90,2924.0,M,500,2500,A,NIST
34,H,OCN,,NH,CO,,,1.26e-10,0.00,515.0,M,295,1490,A,NIST
35,H,H2CCO,,CH3,CO,,,5.68E-11,0.00,1897.0,M,200,2000,A,NIST
36,H,CO2,,CO,OH,,,3.38E-10,0.00,13163.0,L,300,15223,A,NIST
37,H,N2O,,N2,OH,,,5.13E-14,3.15,3603.0,L,300,4000,A,NIST
38,H,N2O,,NO,NH,,,4.96E-07,-2.16,18700.0,M,300,4000,B,NIST
