nu ryd	black	atlas	Mihalas	rauch	kurucz
1.010000000000000e-5	3.990000000000000e-14	2.540000000000000e-14	3.340000000000000e-14	1.790000000000000e-14	1.460000000000000e-14
1.030000000000000e-5	4.230000000000000e-14	2.690000000000000e-14	3.540000000000000e-14	1.900000000000000e-14	3.060000000000000e-14
1.050000000000000e-5	4.500000000000000e-14	2.860000000000000e-14	3.760000000000000e-14	2.020000000000000e-14	3.250000000000000e-14
1.070000000000000e-5	4.770000000000000e-14	3.030000000000000e-14	3.990000000000000e-14	2.150000000000000e-14	3.450000000000000e-14
1.090000000000000e-5	5.070000000000000e-14	3.220000000000000e-14	4.240000000000000e-14	2.280000000000000e-14	3.660000000000000e-14
1.120000000000000e-5	5.380000000000000e-14	3.420000000000000e-14	4.500000000000000e-14	2.420000000000000e-14	3.880000000000000e-14
1.140000000000000e-5	5.710000000000001e-14	3.630000000000000e-14	4.780000000000000e-14	2.570000000000000e-14	4.120000000000000e-14
1.160000000000000e-5	6.060000000000000e-14	3.850000000000000e-14	5.070000000000000e-14	2.730000000000000e-14	4.380000000000000e-14
1.190000000000000e-5	6.430000000000000e-14	4.090000000000000e-14	5.390000000000000e-14	2.890000000000000e-14	4.650000000000000e-14
1.210000000000000e-5	6.830000000000000e-14	4.340000000000000e-14	5.720000000000000e-14	3.070000000000000e-14	4.930000000000000e-14
1.230000000000000e-5	7.250000000000000e-14	4.610000000000000e-14	6.070000000000000e-14	3.260000000000000e-14	5.240000000000000e-14
1.260000000000000e-5	7.700000000000000e-14	4.900000000000000e-14	6.440000000000000e-14	3.460000000000000e-14	5.560000000000000e-14
1.280000000000000e-5	8.170000000000000e-14	5.200000000000000e-14	6.840000000000001e-14	3.680000000000000e-14	5.900000000000000e-14
1.310000000000000e-5	8.680000000000000e-14	5.520000000000000e-14	7.260000000000000e-14	3.900000000000000e-14	6.270000000000000e-14
1.340000000000000e-5	9.210000000000000e-14	5.860000000000000e-14	7.710000000000000e-14	4.140000000000000e-14	6.649999999999999e-14
1.360000000000000e-5	9.780000000000000e-14	6.220000000000000e-14	8.190000000000000e-14	4.400000000000000e-14	7.060000000000000e-14
1.390000000000000e-5	1.040000000000000e-13	6.600000000000000e-14	8.690000000000000e-14	4.670000000000000e-14	7.500000000000000e-14
1.420000000000000e-5	1.100000000000000e-13	7.010000000000000e-14	9.230000000000000e-14	4.960000000000000e-14	7.960000000000000e-14
1.450000000000000e-5	1.170000000000000e-13	7.440000000000000e-14	9.790000000000000e-14	5.260000000000000e-14	8.450000000000000e-14
1.480000000000000e-5	1.240000000000000e-13	7.900000000000000e-14	1.040000000000000e-13	5.590000000000000e-14	8.970000000000000e-14
1.510000000000000e-5	1.320000000000000e-13	8.390000000000000e-14	1.100000000000000e-13	5.930000000000000e-14	9.530000000000000e-14
1.540000000000000e-5	1.400000000000000e-13	8.900000000000000e-14	1.170000000000000e-13	6.290000000000000e-14	1.010000000000000e-13
1.570000000000000e-5	1.490000000000000e-13	9.450000000000000e-14	1.240000000000000e-13	6.680000000000001e-14	1.070000000000000e-13
