keV	incidentt	trans	diff out	net trans	reflec	total	line	contin	nLine
1.432000000000000e-10	7.981999999999998e-17	7.920000000000000e-17	5.488000000000000e-10	5.488000000000000e-10	5.404000000000001e-10	1.089000000000000e-9			0.0000000000000000
1.582000000000000e-10	8.647000000000000e-17	8.590000000000000e-17	6.039000000000000e-10	6.039000000000000e-10	5.962000000000000e-10	1.200000000000000e-9			0.0000000000000000
1.749000000000000e-10	9.367000000000000e-17	9.314999999999998e-17	6.645000000000001e-10	6.645000000000001e-10	6.574000000000001e-10	1.322000000000000e-9			0.0000000000000000
1.933000000000000e-10	1.015000000000000e-16	1.010000000000000e-16	7.311000000000000e-10	7.311000000000000e-10	7.246000000000000e-10	1.456000000000000e-9			0.0000000000000000
2.136000000000000e-10	1.099000000000000e-16	1.095000000000000e-16	8.042000000000000e-10	8.042000000000000e-10	7.983000000000000e-10	1.603000000000000e-9			0.0000000000000000
2.361000000000000e-10	1.191000000000000e-16	1.187000000000000e-16	8.846000000000000e-10	8.846000000000000e-10	8.792000000000000e-10	1.764000000000000e-9			0.0000000000000000
2.609000000000000e-10	1.290000000000000e-16	1.286000000000000e-16	9.730000000000002e-10	9.730000000000002e-10	9.680000000000000e-10	1.941000000000000e-9			0.0000000000000000
2.883000000000000e-10	1.397000000000000e-16	1.394000000000000e-16	1.070000000000000e-9	1.070000000000000e-9	1.066000000000000e-9	2.136000000000000e-9			0.0000000000000000
3.186000000000000e-10	1.514000000000000e-16	1.510000000000000e-16	1.177000000000000e-9	1.177000000000000e-9	1.173000000000000e-9	2.349000000000000e-9			0.0000000000000000
3.522000000000000e-10	1.640000000000000e-16	1.636000000000000e-16	1.294000000000000e-9	1.294000000000000e-9	1.290000000000000e-9	2.584000000000000e-9			0.0000000000000000
3.892000000000000e-10	1.776000000000000e-16	1.773000000000000e-16	1.423000000000000e-9	1.423000000000000e-9	1.419000000000000e-9	2.842000000000000e-9			0.0000000000000000
4.301000000000000e-10	1.924000000000000e-16	1.921000000000000e-16	1.565000000000000e-9	1.565000000000000e-9	1.561000000000000e-9	3.126000000000000e-9			0.0000000000000000
4.754000000000001e-10	2.085000000000000e-16	2.081000000000000e-16	1.720000000000000e-9	1.720000000000000e-9	1.717000000000000e-9	3.438000000000000e-9			0.0000000000000000
5.253000000000001e-10	2.258000000000000e-16	2.255000000000000e-16	1.892000000000000e-9	1.892000000000000e-9	1.889000000000000e-9	3.780000000000000e-9			0.0000000000000000
5.806000000000001e-10	2.446000000000000e-16	2.443000000000000e-16	2.080000000000000e-9	2.080000000000000e-9	2.077000000000000e-9	4.156000000000001e-9			0.0000000000000000
6.417000000000000e-10	2.650000000000000e-16	2.647000000000000e-16	2.286000000000000e-9	2.286000000000000e-9	2.284000000000000e-9	4.570000000000000e-9			0.0000000000000000
7.091000000000000e-10	2.871000000000000e-16	2.867000000000000e-16	2.514000000000000e-9	2.514000000000000e-9	2.511000000000000e-9	5.024000000000001e-9			0.0000000000000000
7.837000000000000e-10	3.110000000000000e-16	3.106000000000000e-16	2.763000000000000e-9	2.763000000000000e-9	2.761000000000000e-9	5.524000000000001e-9			0.0000000000000000
8.661000000000000e-10	3.369000000000000e-16	3.365000000000000e-16	3.038000000000000e-9	3.038000000000000e-9	3.035000000000000e-9	6.072000000000000e-9			0.0000000000000000
9.572000000000000e-10	3.650000000000000e-16	3.645000000000000e-16	3.339000000000000e-9	3.339000000000000e-9	3.336000000000000e-9	6.675000000000001e-9	Li 1		9.980000000000000e+0
1.058000000000000e-9	3.954000000000000e-16	3.949000000000000e-16	3.670000000000000e-9	3.670000000000000e-9	3.668000000000001e-9	7.338000000000000e-9			0.0000000000000000
1.169000000000000e-9	4.283000000000000e-16	4.278000000000001e-16	4.034000000000000e-9	4.034000000000000e-9	4.032000000000001e-9	8.066000000000000e-9			0.0000000000000000
1.292000000000000e-9	4.640000000000001e-16	4.635000000000001e-16	4.434000000000001e-9	4.434000000000001e-9	4.431000000000001e-9	8.866000000000000e-9	H  1		9.980000000000000e+0
1.428000000000000e-9	5.026000000000001e-16	5.021000000000001e-16	4.874000000000001e-9	4.874000000000001e-9	4.871000000000001e-9	9.745000000000002e-9			0.0000000000000000
1.578000000000000e-9	5.445000000000000e-16	5.439000000000001e-16	5.357000000000000e-9	5.357000000000000e-9	5.354000000000001e-9	1.071000000000000e-8			0.0000000000000000
1.744000000000000e-9	5.898000000000001e-16	5.892000000000000e-16	5.887000000000001e-9	5.887000000000001e-9	5.884000000000001e-9	1.177000000000000e-8			0.0000000000000000
1.928000000000000e-9	6.389000000000000e-16	6.383000000000001e-16	6.470000000000001e-9	6.470000000000001e-9	6.467000000000001e-9	1.294000000000000e-8			0.0000000000000000
2.130000000000000e-9	6.921000000000001e-16	6.914000000000000e-16	7.110000000000000e-9	7.110000000000000e-9	7.107000000000001e-9	1.422000000000000e-8			0.0000000000000000
2.354000000000000e-9	7.498000000000000e-16	7.490000000000002e-16	7.814000000000000e-9	7.814000000000000e-9	7.810000000000002e-9	1.562000000000000e-8			0.0000000000000000
2.602000000000000e-9	8.122000000000000e-16	8.114000000000000e-16	8.586000000000000e-9	8.586000000000000e-9	8.582000000000002e-9	1.717000000000000e-8			0.0000000000000000
2.876000000000000e-9	8.799000000000000e-16	8.790000000000000e-16	9.435000000000000e-9	9.435000000000000e-9	9.431000000000002e-9	1.887000000000000e-8			0.0000000000000000
3.178000000000000e-9	9.532000000000000e-16	9.522000000000000e-16	1.037000000000000e-8	1.037000000000000e-8	1.036000000000000e-8	2.073000000000000e-8			0.0000000000000000
3.512000000000000e-9	1.033000000000000e-15	1.031000000000000e-15	1.139000000000000e-8	1.139000000000000e-8	1.139000000000000e-8	2.278000000000000e-8	Li 1		9.980000000000000e+0
3.882000000000000e-9	1.119000000000000e-15	1.117000000000000e-15	1.252000000000000e-8	1.252000000000000e-8	1.251000000000000e-8	2.503000000000000e-8			0.0000000000000000
4.290000000000000e-9	1.212000000000000e-15	1.210000000000000e-15	1.375000000000000e-8	1.375000000000000e-8	1.375000000000000e-8	2.750000000000000e-8			0.0000000000000000
4.741000000000001e-9	1.313000000000000e-15	1.311000000000000e-15	1.511000000000000e-8	1.511000000000000e-8	1.510000000000000e-8	3.021000000000000e-8			0.0000000000000000
5.240000000000001e-9	1.422000000000000e-15	1.420000000000000e-15	1.660000000000000e-8	1.660000000000000e-8	1.659000000000000e-8	3.319000000000000e-8	Be 2		9.980000000000000e+0
5.791000000000001e-9	1.540000000000000e-15	1.539000000000000e-15	1.824000000000000e-8	1.824000000000000e-8	1.823000000000000e-8	3.647000000000000e-8	H  1		1.996000000000000e+1
6.400000000000001e-9	1.669000000000000e-15	1.667000000000000e-15	2.003000000000000e-8	2.003000000000000e-8	2.002000000000000e-8	4.006000000000000e-8			0.0000000000000000
7.073000000000001e-9	1.808000000000000e-15	1.806000000000000e-15	2.201000000000000e-8	2.201000000000000e-8	2.200000000000000e-8	4.401000000000000e-8			0.0000000000000000
7.817000000000000e-9	1.958000000000000e-15	1.956000000000000e-15	2.417000000000000e-8	2.417000000000000e-8	2.416000000000000e-8	4.834000000000000e-8	Na 1		1.996000000000000e+1
8.639000000000002e-9	2.121000000000000e-15	2.119000000000000e-15	2.655000000000000e-8	2.655000000000000e-8	2.654000000000000e-8	5.310000000000000e-8			0.0000000000000000
9.547000000000000e-9	2.298000000000000e-15	2.296000000000000e-15	2.917000000000000e-8	2.917000000000000e-8	2.915000000000000e-8	5.832000000000000e-8			0.0000000000000000
1.055000000000000e-8	2.489000000000000e-15	2.487000000000000e-15	3.204000000000000e-8	3.204000000000000e-8	3.202000000000000e-8	6.406000000000001e-8			0.0000000000000000
1.166000000000000e-8	2.697000000000000e-15	2.694000000000000e-15	3.519000000000000e-8	3.519000000000000e-8	3.517000000000000e-8	7.036000000000000e-8			0.0000000000000000
1.289000000000000e-8	2.921000000000000e-15	2.918000000000000e-15	3.864000000000000e-8	3.864000000000000e-8	3.863000000000000e-8	7.727000000000000e-8			0.0000000000000000
1.424000000000000e-8	3.165000000000000e-15	3.161000000000000e-15	4.244000000000000e-8	4.244000000000000e-8	4.242000000000000e-8	8.486000000000000e-8			0.0000000000000000
1.574000000000000e-8	3.428000000000000e-15	3.425000000000000e-15	4.661000000000000e-8	4.661000000000000e-8	4.659000000000000e-8	9.319000000000000e-8	N  5		9.980000000000000e+0
1.740000000000000e-8	3.714000000000000e-15	3.710000000000000e-15	5.118000000000000e-8	5.118000000000000e-8	5.116000000000000e-8	1.023000000000000e-7	B  3		1.996000000000000e+1
1.923000000000000e-8	4.023000000000000e-15	4.019000000000000e-15	5.620000000000000e-8	5.620000000000000e-8	5.617000000000000e-8	1.124000000000000e-7			0.0000000000000000
2.125000000000000e-8	4.358000000000000e-15	4.354000000000000e-15	6.171000000000000e-8	6.171000000000000e-8	6.167999999999999e-8	1.234000000000000e-7			0.0000000000000000
2.348000000000000e-8	4.721000000000000e-15	4.716000000000000e-15	6.776000000000001e-8	6.776000000000001e-8	6.773000000000000e-8	1.355000000000000e-7	C  4		9.980000000000000e+0
2.595000000000000e-8	5.114000000000000e-15	5.109000000000000e-15	7.439000000000000e-8	7.439000000000000e-8	7.436000000000000e-8	1.488000000000000e-7	Si 4		9.980000000000000e+0
2.868000000000000e-8	5.540000000000000e-15	5.534000000000000e-15	8.168000000000000e-8	8.168000000000000e-8	8.164000000000000e-8	1.633000000000000e-7	B  3		9.980000000000000e+0
3.170000000000000e-8	6.002000000000000e-15	5.994999999999999e-15	8.967000000000000e-8	8.967000000000000e-8	8.963000000000000e-8	1.793000000000000e-7	K  9		9.980000000000000e+0
3.503000000000000e-8	6.500999999999999e-15	6.495000000000000e-15	9.844000000000000e-8	9.844000000000000e-8	9.840000000000000e-8	1.968000000000000e-7	He 2		2.995000000000000e+1
3.872000000000000e-8	7.043000000000000e-15	7.036000000000000e-15	1.081000000000000e-7	1.081000000000000e-7	1.080000000000000e-7	2.161000000000000e-7	He 1		1.996000000000000e+1
4.279000000000000e-8	7.629000000000000e-15	7.622000000000000e-15	1.186000000000000e-7	1.186000000000000e-7	1.186000000000000e-7	2.372000000000000e-7	He 1		5.989000000000000e+1
4.729000000000000e-8	8.265000000000000e-15	8.256000000000000e-15	1.302000000000000e-7	1.302000000000000e-7	1.302000000000000e-7	2.604000000000000e-7			0.0000000000000000
5.226000000000000e-8	8.953000000000000e-15	8.944000000000000e-15	1.429000000000000e-7	1.429000000000000e-7	1.429000000000000e-7	2.858000000000000e-7	He 1		3.993000000000000e+1
5.776000000000000e-8	9.698999999999998e-15	9.688999999999998e-15	1.569000000000000e-7	1.569000000000000e-7	1.568000000000000e-7	3.137000000000000e-7	He 1		9.982000000000000e+1
6.382999999999999e-8	1.051000000000000e-14	1.050000000000000e-14	1.722000000000000e-7	1.722000000000000e-7	1.721000000000000e-7	3.442000000000000e-7	Al 3		9.980000000000000e+0
7.053999999999999e-8	1.138000000000000e-14	1.137000000000000e-14	1.889000000000000e-7	1.889000000000000e-7	1.888000000000000e-7	3.778000000000000e-7	He 1		5.989000000000000e+1
7.796000000000000e-8	1.233000000000000e-14	1.232000000000000e-14	2.073000000000000e-7	2.073000000000000e-7	2.072000000000000e-7	4.146000000000000e-7	He 1		2.995000000000000e+1
8.616000000000000e-8	1.336000000000000e-14	1.334000000000000e-14	2.276000000000000e-7	2.276000000000000e-7	2.275000000000000e-7	4.549999999999999e-7	Ne 8		9.980000000000000e+0
9.522000000000000e-8	1.447000000000000e-14	1.445000000000000e-14	2.496000000000000e-7	2.496000000000000e-7	2.495000000000000e-7	4.992000000000000e-7			0.0000000000000000
1.052000000000000e-7	1.567000000000000e-14	1.566000000000000e-14	2.739000000000000e-7	2.739000000000000e-7	2.738000000000000e-7	5.476999999999999e-7	Be 4		1.996000000000000e+1
1.163000000000000e-7	1.698000000000000e-14	1.696000000000000e-14	3.005000000000000e-7	3.005000000000000e-7	3.004000000000000e-7	6.009000000000000e-7			0.0000000000000000
1.285000000000000e-7	1.839000000000000e-14	1.837000000000000e-14	3.297000000000000e-7	3.297000000000000e-7	3.296000000000000e-7	6.592999999999999e-7	He 1		7.286700000000000e+2
1.421000000000000e-7	1.993000000000000e-14	1.991000000000000e-14	3.617000000000000e-7	3.617000000000000e-7	3.616000000000000e-7	7.233000000000000e-7	He 1		9.980000000000000e+0
1.570000000000000e-7	2.158000000000000e-14	2.156000000000000e-14	3.968000000000000e-7	3.968000000000000e-7	3.965999999999999e-7	7.934000000000000e-7	He 1		9.980000000000000e+0
1.735000000000000e-7	2.338000000000000e-14	2.336000000000000e-14	4.352999999999999e-7	4.352999999999999e-7	4.351000000000000e-7	8.702999999999998e-7	He 1		1.996000000000000e+1
1.918000000000000e-7	2.533000000000000e-14	2.530000000000000e-14	5.424999999999999e-7	5.424999999999999e-7	5.422999999999999e-7	1.085000000000000e-6	He 1		8.984000000000000e+1
2.119000000000000e-7	2.744000000000000e-14	2.741000000000000e-14	5.238999999999999e-7	5.238999999999999e-7	5.236999999999999e-7	1.048000000000000e-6	He 1		4.991000000000000e+1
2.342000000000000e-7	2.973000000000000e-14	2.969000000000000e-14	5.742999999999999e-7	5.742999999999999e-7	5.740000000000000e-7	1.148000000000000e-6	He 1		1.098000000000000e+2
2.588000000000000e-7	3.218000000000000e-14	3.214000000000000e-14	6.296999999999999e-7	6.296999999999999e-7	6.293999999999999e-7	1.259000000000000e-6	Ti12		1.342000000000000e+1
2.728000000000000e-7	3.353000000000000e-14	3.350000000000000e-14	6.606999999999999e-7	6.606999999999999e-7	6.603999999999999e-7	1.321000000000000e-6			0.0000000000000000
2.742000000000000e-7	3.366000000000000e-14	3.363000000000000e-14	6.636999999999999e-7	6.636999999999999e-7	6.633999999999999e-7	1.327000000000000e-6			0.0000000000000000
2.755000000000000e-7	3.380000000000000e-14	3.376000000000000e-14	6.666999999999999e-7	6.666999999999999e-7	6.663999999999999e-7	1.333000000000000e-6			0.0000000000000000
2.769000000000000e-7	3.393000000000000e-14	3.390000000000000e-14	6.698000000000000e-7	6.698000000000000e-7	6.694999999999999e-7	1.339000000000000e-6	B  5		2.000400000000000e+2
2.783000000000000e-7	3.407000000000000e-14	3.403000000000000e-14	6.729000000000000e-7	6.729000000000000e-7	6.726000000000000e-7	1.346000000000000e-6	He 1		8.001500000000000e+2
2.797000000000000e-7	3.421000000000000e-14	3.417000000000000e-14	6.759999999999999e-7	6.759999999999999e-7	6.757000000000000e-7	1.352000000000000e-6			0.0000000000000000
2.811000000000000e-7	3.434000000000000e-14	3.431000000000000e-14	6.791999999999999e-7	6.791999999999999e-7	6.788999999999999e-7	1.358000000000000e-6			0.0000000000000000
2.825000000000000e-7	3.448000000000000e-14	3.444000000000000e-14	6.822999999999999e-7	6.822999999999999e-7	6.819999999999999e-7	1.364000000000000e-6			0.0000000000000000
2.839000000000000e-7	3.462000000000000e-14	3.458000000000000e-14	6.854000000000000e-7	6.854000000000000e-7	6.850999999999999e-7	1.371000000000000e-6			0.0000000000000000
2.853000000000000e-7	3.476000000000000e-14	3.472000000000000e-14	6.885999999999999e-7	6.885999999999999e-7	6.883000000000000e-7	1.377000000000000e-6			0.0000000000000000
2.868000000000000e-7	3.490000000000000e-14	3.486000000000000e-14	6.917999999999999e-7	6.917999999999999e-7	6.914999999999999e-7	1.383000000000000e-6			0.0000000000000000
2.882000000000000e-7	3.504000000000000e-14	3.500000000000000e-14	6.949999999999999e-7	6.949999999999999e-7	6.946999999999999e-7	1.390000000000000e-6	He 1		2.000400000000000e+2
2.897000000000000e-7	3.518000000000000e-14	3.514000000000000e-14	6.982000000000000e-7	6.982000000000000e-7	6.979000000000000e-7	1.396000000000000e-6			0.0000000000000000
2.911000000000000e-7	3.532000000000000e-14	3.528000000000000e-14	7.013999999999999e-7	7.013999999999999e-7	7.011000000000000e-7	1.403000000000000e-6			0.0000000000000000
2.926000000000000e-7	3.546000000000000e-14	3.542000000000000e-14	7.046999999999999e-7	7.046999999999999e-7	7.042999999999999e-7	1.409000000000000e-6			0.0000000000000000
2.940000000000000e-7	3.560000000000000e-14	3.556000000000000e-14	7.079000000000000e-7	7.079000000000000e-7	7.075999999999999e-7	1.416000000000000e-6			0.0000000000000000
2.955000000000000e-7	3.574000000000000e-14	3.571000000000000e-14	7.111999999999999e-7	7.111999999999999e-7	7.109000000000000e-7	1.422000000000000e-6			0.0000000000000000
2.970000000000000e-7	3.589000000000000e-14	3.585000000000000e-14	7.144999999999999e-7	7.144999999999999e-7	7.141999999999999e-7	1.429000000000000e-6			0.0000000000000000
2.985000000000000e-7	3.603000000000000e-14	3.599000000000000e-14	7.178000000000000e-7	7.178000000000000e-7	7.173999999999999e-7	1.435000000000000e-6			0.0000000000000000
3.000000000000000e-7	3.618000000000000e-14	3.614000000000000e-14	7.210999999999998e-7	7.210999999999998e-7	7.208000000000000e-7	1.442000000000000e-6			0.0000000000000000
3.015000000000000e-7	3.632000000000000e-14	3.628000000000000e-14	7.244000000000000e-7	7.244000000000000e-7	7.240999999999998e-7	1.449000000000000e-6			0.0000000000000000
3.030000000000000e-7	3.647000000000000e-14	3.643000000000000e-14	7.278000000000000e-7	7.278000000000000e-7	7.274000000000000e-7	1.455000000000000e-6			0.0000000000000000
3.045000000000000e-7	3.661000000000000e-14	3.657000000000000e-14	7.310999999999998e-7	7.310999999999998e-7	7.307999999999998e-7	1.462000000000000e-6			2.000400000000000e+2
3.060000000000000e-7	3.676000000000000e-14	3.672000000000000e-14	7.345000000000000e-7	7.345000000000000e-7	7.342000000000000e-7	1.469000000000000e-6			0.0000000000000000
3.076000000000000e-7	3.691000000000000e-14	3.687000000000000e-14	7.378999999999998e-7	7.378999999999998e-7	7.376000000000000e-7	1.475000000000000e-6			0.0000000000000000
3.091000000000000e-7	3.705000000000000e-14	3.702000000000000e-14	7.413000000000000e-7	7.413000000000000e-7	7.409999999999998e-7	1.482000000000000e-6			0.0000000000000000
3.107000000000000e-7	3.720000000000000e-14	3.716000000000000e-14	7.447000000000000e-7	7.447000000000000e-7	7.444000000000000e-7	1.489000000000000e-6			0.0000000000000000
3.122000000000000e-7	3.735000000000000e-14	3.731000000000000e-14	7.482000000000000e-7	7.482000000000000e-7	7.477999999999998e-7	1.496000000000000e-6			0.0000000000000000
3.138000000000000e-7	3.750000000000000e-14	3.746000000000000e-14	7.516000000000000e-7	7.516000000000000e-7	7.513000000000000e-7	1.503000000000000e-6			0.0000000000000000
3.154000000000000e-7	3.765000000000000e-14	3.761000000000000e-14	7.550999999999998e-7	7.550999999999998e-7	7.546999999999998e-7	1.510000000000000e-6			0.0000000000000000
3.169000000000000e-7	3.780000000000000e-14	3.776000000000000e-14	7.586000000000000e-7	7.586000000000000e-7	7.582000000000000e-7	1.517000000000000e-6			0.0000000000000000
3.185000000000000e-7	3.795000000000000e-14	3.791000000000000e-14	7.620999999999998e-7	7.620999999999998e-7	7.617000000000000e-7	1.524000000000000e-6			0.0000000000000000
3.201000000000000e-7	3.811000000000000e-14	3.807000000000000e-14	7.656000000000000e-7	7.656000000000000e-7	7.652000000000000e-7	1.531000000000000e-6	C  6		2.000400000000000e+2
3.217000000000000e-7	3.826000000000000e-14	3.822000000000000e-14	7.690999999999998e-7	7.690999999999998e-7	7.687999999999998e-7	1.538000000000000e-6			0.0000000000000000
3.233000000000000e-7	3.841000000000000e-14	3.837000000000000e-14	7.727000000000000e-7	7.727000000000000e-7	7.723000000000000e-7	1.545000000000000e-6			0.0000000000000000
3.250000000000000e-7	3.857000000000000e-14	3.853000000000000e-14	7.761999999999998e-7	7.761999999999998e-7	7.758999999999998e-7	1.552000000000000e-6			0.0000000000000000
3.266000000000000e-7	3.872000000000000e-14	3.868000000000000e-14	7.798000000000000e-7	7.798000000000000e-7	7.795000000000000e-7	1.559000000000000e-6			0.0000000000000000
3.282000000000000e-7	3.888000000000000e-14	3.884000000000000e-14	7.834000000000000e-7	7.834000000000000e-7	7.830999999999998e-7	1.566000000000000e-6			0.0000000000000000
3.299000000000000e-7	3.903000000000000e-14	3.899000000000000e-14	7.870000000000000e-7	7.870000000000000e-7	7.867000000000000e-7	1.574000000000000e-6			0.0000000000000000
3.315000000000000e-7	3.919000000000000e-14	3.915000000000000e-14	8.054000000000000e-7	8.054000000000000e-7	8.050000000000000e-7	1.610000000000000e-6	Si12		2.000400000000000e+2
3.332000000000000e-7	3.934000000000000e-14	3.930000000000000e-14	7.942999999999998e-7	7.942999999999998e-7	7.940000000000000e-7	1.588000000000000e-6			0.0000000000000000
3.348000000000000e-7	3.950000000000000e-14	3.946000000000000e-14	7.980000000000000e-7	7.980000000000000e-7	7.976000000000000e-7	1.596000000000000e-6			0.0000000000000000
3.365000000000000e-7	3.966000000000000e-14	3.962000000000000e-14	8.016999999999998e-7	8.016999999999998e-7	8.012999999999998e-7	1.603000000000000e-6			0.0000000000000000
3.382000000000000e-7	3.982000000000000e-14	3.978000000000000e-14	8.054000000000000e-7	8.054000000000000e-7	8.050000000000000e-7	1.610000000000000e-6			0.0000000000000000
3.399000000000000e-7	3.998000000000000e-14	3.994000000000000e-14	8.091000000000000e-7	8.091000000000000e-7	8.086999999999998e-7	1.618000000000000e-6			0.0000000000000000
3.416000000000000e-7	4.014000000000000e-14	4.010000000000000e-14	8.127999999999998e-7	8.127999999999998e-7	8.124000000000000e-7	1.625000000000000e-6			0.0000000000000000
3.433000000000000e-7	4.030000000000000e-14	4.026000000000000e-14	8.166000000000000e-7	8.166000000000000e-7	8.162000000000000e-7	1.633000000000000e-6			0.0000000000000000
3.450000000000000e-7	4.046000000000000e-14	4.042000000000000e-14	8.203000000000000e-7	8.203000000000000e-7	8.199999999999998e-7	1.640000000000000e-6			0.0000000000000000
3.468000000000000e-7	4.062000000000000e-14	4.058000000000000e-14	8.240999999999998e-7	8.240999999999998e-7	8.237000000000000e-7	1.648000000000000e-6			0.0000000000000000
3.485000000000000e-7	4.079000000000000e-14	4.074000000000000e-14	8.279000000000000e-7	8.279000000000000e-7	8.275000000000000e-7	1.655000000000000e-6			0.0000000000000000
3.503000000000000e-7	4.095000000000000e-14	4.091000000000000e-14	8.317000000000000e-7	8.317000000000000e-7	8.314000000000000e-7	1.663000000000000e-6	He 1		2.000400000000000e+2
3.520000000000000e-7	4.111000000000000e-14	4.107000000000000e-14	8.356000000000000e-7	8.356000000000000e-7	8.351999999999998e-7	1.671000000000000e-6			0.0000000000000000
3.538000000000000e-7	4.128000000000000e-14	4.124000000000000e-14	8.393999999999998e-7	8.393999999999998e-7	8.391000000000000e-7	1.678000000000000e-6			0.0000000000000000
3.556000000000000e-7	4.144000000000000e-14	4.140000000000000e-14	8.433000000000000e-7	8.433000000000000e-7	8.429000000000000e-7	1.686000000000000e-6			0.0000000000000000
3.573000000000000e-7	4.161000000000000e-14	4.157000000000000e-14	8.472000000000000e-7	8.472000000000000e-7	8.467999999999998e-7	1.694000000000000e-6			0.0000000000000000
3.591000000000000e-7	4.178000000000000e-14	4.173000000000000e-14	8.510999999999998e-7	8.510999999999998e-7	8.506999999999998e-7	1.702000000000000e-6	He 1		8.001500000000000e+2
3.609000000000000e-7	4.194000000000000e-14	4.190000000000000e-14	8.561999999999998e-7	8.561999999999998e-7	8.558000000000000e-7	1.712000000000000e-6	F  7		2.000400000000000e+2
3.626999999999999e-7	4.211000000000000e-14	4.207000000000000e-14	8.589999999999998e-7	8.589999999999998e-7	8.586000000000000e-7	1.718000000000000e-6			0.0000000000000000
3.646000000000000e-7	4.228000000000000e-14	4.224000000000000e-14	8.629000000000000e-7	8.629000000000000e-7	8.625000000000000e-7	1.725000000000000e-6			0.0000000000000000
