#Cont nu	total qheat	no qheat	qheat & PAHs
8.660000000000000e+6	1.076000000000000e-32	1.076000000000000e-32	1.076000000000000e-32
7.836000000000000e+6	1.171000000000000e-32	1.171000000000000e-32	1.171000000000000e-32
7.090000000000000e+6	1.275000000000000e-32	1.275000000000000e-32	1.275000000000000e-32
6.415000000000000e+6	1.387000000000000e-32	1.387000000000000e-32	1.387000000000000e-32
5.805000000000000e+6	1.508000000000000e-32	1.508000000000000e-32	1.508000000000000e-32
5.252000000000000e+6	1.640000000000000e-32	1.640000000000000e-32	1.640000000000000e-32
4.753000000000000e+6	1.784000000000000e-32	1.784000000000000e-32	1.784000000000000e-32
4.300000000000000e+6	1.939000000000000e-32	1.939000000000000e-32	1.939000000000000e-32
3.891000000000000e+6	2.107000000000000e-32	2.107000000000000e-32	2.107000000000000e-32
3.521000000000000e+6	2.290000000000000e-32	2.290000000000000e-32	2.290000000000000e-32
3.186000000000000e+6	2.489000000000000e-32	2.489000000000000e-32	2.489000000000000e-32
2.883000000000000e+6	2.703000000000000e-32	2.703000000000000e-32	2.703000000000000e-32
2.608000000000000e+6	2.936000000000000e-32	2.936000000000000e-32	2.936000000000000e-32
2.360000000000000e+6	3.189000000000000e-32	3.189000000000000e-32	3.189000000000000e-32
2.135000000000000e+6	3.462000000000000e-32	3.462000000000000e-32	3.462000000000000e-32
1.932000000000000e+6	3.758000000000000e-32	3.758000000000000e-32	3.758000000000000e-32
1.748000000000000e+6	4.079000000000000e-32	4.079000000000000e-32	4.079000000000000e-32
1.582000000000000e+6	4.426000000000000e-32	4.426000000000000e-32	4.426000000000000e-32
1.431000000000000e+6	4.803000000000000e-32	4.803000000000000e-32	4.803000000000000e-32
1.295000000000000e+6	5.210000000000001e-32	5.210000000000001e-32	5.210000000000001e-32
1.172000000000000e+6	5.650000000000000e-32	5.650000000000000e-32	5.650000000000000e-32
1.060000000000000e+6	6.128000000000000e-32	6.128000000000000e-32	6.128000000000000e-32
9.595000000000000e+5	6.644000000000000e-32	6.644000000000000e-32	6.644000000000000e-32
8.682000000000000e+5	7.202000000000001e-32	7.202000000000001e-32	7.202000000000001e-32
7.856000000000000e+5	7.806000000000000e-32	7.806000000000000e-32	7.806000000000000e-32
7.108000000000000e+5	8.458000000000002e-32	8.458000000000002e-32	8.458000000000002e-32
6.432000000000000e+5	9.166000000000000e-32	9.166000000000000e-32	9.166000000000000e-32
5.820000000000000e+5	9.933000000000000e-32	9.933000000000000e-32	9.933000000000000e-32
5.266000000000000e+5	1.076000000000000e-31	1.076000000000000e-31	1.076000000000000e-31
4.765000000000000e+5	1.166000000000000e-31	1.166000000000000e-31	1.166000000000000e-31
4.312000000000000e+5	1.264000000000000e-31	1.264000000000000e-31	1.264000000000000e-31
3.901000000000000e+5	1.369000000000000e-31	1.369000000000000e-31	1.369000000000000e-31
3.530000000000000e+5	1.483000000000000e-31	1.483000000000000e-31	1.483000000000000e-31
3.194000000000000e+5	1.607000000000000e-31	1.607000000000000e-31	1.607000000000000e-31
2.890000000000000e+5	1.741000000000000e-31	1.741000000000000e-31	1.741000000000000e-31
2.615000000000000e+5	1.888000000000000e-31	1.888000000000000e-31	1.888000000000000e-31
2.366000000000000e+5	2.047000000000000e-31	2.047000000000000e-31	2.047000000000000e-31
2.141000000000000e+5	2.219000000000000e-31	2.219000000000000e-31	2.219000000000000e-31
1.937000000000000e+5	2.409000000000000e-31	2.409000000000000e-31	2.409000000000000e-31
1.753000000000000e+5	2.616000000000000e-31	2.616000000000000e-31	2.616000000000000e-31
1.586000000000000e+5	2.840000000000000e-31	2.840000000000000e-31	2.840000000000000e-31
1.435000000000000e+5	3.082000000000000e-31	3.082000000000000e-31	3.082000000000000e-31
1.299000000000000e+5	3.344000000000000e-31	3.344000000000000e-31	3.344000000000000e-31
1.175000000000000e+5	3.630000000000000e-31	3.630000000000000e-31	3.630000000000000e-31
1.063000000000000e+5	3.943000000000000e-31	3.943000000000000e-31	3.943000000000000e-31
9.620000000000000e+4	4.281000000000000e-31	4.281000000000000e-31	4.281000000000000e-31
8.705000000000000e+4	4.650000000000001e-31	4.650000000000001e-31	4.650000000000001e-31
7.877000000000000e+4	5.055000000000001e-31	5.055000000000001e-31	5.055000000000001e-31
7.127000000000000e+4	5.492000000000000e-31	5.492000000000000e-31	5.492000000000000e-31
6.449000000000000e+4	5.971000000000000e-31	5.971000000000000e-31	5.971000000000000e-31
5.835000000000000e+4	6.495000000000001e-31	6.495000000000001e-31	6.495000000000001e-31
5.280000000000000e+4	7.062000000000000e-31	7.062000000000000e-31	7.062000000000000e-31
4.777000000000000e+4	7.686000000000000e-31	7.686000000000000e-31	7.686000000000000e-31
4.323000000000000e+4	8.367000000000002e-31	8.367000000000002e-31	8.367000000000002e-31
3.911000000000000e+4	9.105000000000000e-31	9.105000000000000e-31	9.105000000000000e-31
3.539000000000000e+4	9.920000000000000e-31	9.920000000000000e-31	9.920000000000000e-31
3.202000000000000e+4	1.081000000000000e-30	1.081000000000000e-30	1.081000000000000e-30
2.898000000000000e+4	1.177000000000000e-30	1.177000000000000e-30	1.177000000000000e-30
2.622000000000000e+4	1.284000000000000e-30	1.284000000000000e-30	1.284000000000000e-30
2.372000000000000e+4	1.400000000000000e-30	1.400000000000000e-30	1.400000000000000e-30
2.147000000000000e+4	1.526000000000000e-30	1.527000000000000e-30	1.527000000000000e-30
1.942000000000000e+4	1.666000000000000e-30	1.667000000000000e-30	1.667000000000000e-30
1.758000000000000e+4	1.819000000000000e-30	1.819000000000000e-30	1.819000000000000e-30
1.590000000000000e+4	1.986000000000000e-30	1.986000000000000e-30	1.986000000000000e-30
1.439000000000000e+4	2.171000000000000e-30	2.171000000000000e-30	2.171000000000000e-30
1.302000000000000e+4	2.374000000000000e-30	2.374000000000000e-30	2.374000000000000e-30
1.178000000000000e+4	2.598000000000000e-30	2.599000000000000e-30	2.599000000000000e-30
1.066000000000000e+4	2.849000000000000e-30	2.849000000000000e-30	2.849000000000000e-30
9.646000000000000e+3	3.128000000000000e-30	3.129000000000000e-30	3.129000000000000e-30
