#Cont nu	incident	atten	VAR4	VAR5	nu dr	inci dr
8.660000000000000e+6	2.261000000000000e-17	2.261000000000000e-17		@line(5)	2.475000000000000e-1	1.567000000000000e-3
7.836000000000000e+6	3.051000000000000e-17	3.051000000000000e-17		@line(2)	2.463000000000000e-1	1.913000000000000e-3
7.090000000000000e+6	4.118999999999999e-17	4.118999999999999e-17			2.450000000000000e-1	1.932000000000000e-3
6.415000000000000e+6	5.560000000000000e-17	5.560000000000000e-17			2.438000000000000e-1	1.951000000000000e-3
5.805000000000000e+6	7.504999999999998e-17	7.504999999999998e-17			2.426000000000000e-1	1.970000000000000e-3
5.252000000000000e+6	1.013000000000000e-16	1.013000000000000e-16			2.414000000000000e-1	1.989000000000000e-3
4.753000000000000e+6	1.367000000000000e-16	1.367000000000000e-16			2.402000000000000e-1	2.008000000000000e-3
4.300000000000000e+6	1.846000000000000e-16	1.846000000000000e-16			2.390000000000000e-1	2.028000000000000e-3
3.891000000000000e+6	2.492000000000000e-16	2.492000000000000e-16			2.378000000000000e-1	2.048000000000000e-3
3.521000000000000e+6	3.363000000000000e-16	3.363000000000000e-16			2.366000000000000e-1	2.068000000000000e-3
3.186000000000000e+6	4.540000000000000e-16	4.540000000000000e-16			2.354000000000000e-1	2.088000000000000e-3
2.883000000000000e+6	6.129000000000000e-16	6.129000000000000e-16			2.343000000000000e-1	2.108000000000000e-3
2.608000000000000e+6	8.273000000000000e-16	8.273000000000000e-16			2.331000000000000e-1	2.129000000000000e-3
2.360000000000000e+6	1.117000000000000e-15	1.117000000000000e-15			2.319000000000000e-1	2.149000000000000e-3
2.135000000000000e+6	1.507000000000000e-15	1.507000000000000e-15			2.308000000000000e-1	2.170000000000000e-3
1.932000000000000e+6	2.035000000000000e-15	2.035000000000000e-15			2.296000000000000e-1	2.191000000000000e-3
1.748000000000000e+6	2.747000000000000e-15	2.747000000000000e-15			2.285000000000000e-1	2.213000000000000e-3
1.582000000000000e+6	3.706999999999999e-15	3.706999999999999e-15			2.273000000000000e-1	2.234000000000000e-3
1.431000000000000e+6	5.005000000000000e-15	5.005000000000000e-15			2.262000000000000e-1	2.256000000000000e-3
1.295000000000000e+6	6.755000000000000e-15	6.755000000000000e-15			2.251000000000000e-1	2.278000000000000e-3
1.172000000000000e+6	9.119000000000000e-15	9.119000000000000e-15			2.240000000000000e-1	2.300000000000000e-3
1.060000000000000e+6	1.231000000000000e-14	1.231000000000000e-14			2.228000000000000e-1	2.322000000000000e-3
9.595000000000000e+5	1.662000000000000e-14	1.662000000000000e-14			2.217000000000000e-1	2.345000000000000e-3
8.682000000000000e+5	2.243000000000000e-14	2.243000000000000e-14			2.206000000000000e-1	2.368000000000000e-3
7.856000000000000e+5	3.028000000000000e-14	3.028000000000000e-14			2.195000000000000e-1	2.390000000000000e-3
7.108000000000000e+5	4.087000000000000e-14	4.087000000000000e-14			2.184000000000000e-1	2.411000000000000e-3
6.432000000000000e+5	5.516000000000000e-14	5.516000000000000e-14			2.173000000000000e-1	2.432000000000000e-3
5.820000000000000e+5	7.446000000000000e-14	7.446000000000000e-14			2.162000000000000e-1	2.453000000000000e-3
5.266000000000000e+5	1.005000000000000e-13	1.005000000000000e-13			2.152000000000000e-1	2.475000000000000e-3
4.765000000000000e+5	1.357000000000000e-13	1.357000000000000e-13			2.141000000000000e-1	2.496000000000000e-3
4.312000000000000e+5	1.831000000000000e-13	1.831000000000000e-13			2.130000000000000e-1	2.518000000000000e-3
3.901000000000000e+5	2.472000000000000e-13	2.472000000000000e-13			2.120000000000000e-1	2.540000000000000e-3
3.530000000000000e+5	3.337000000000000e-13	3.337000000000000e-13			2.109000000000000e-1	2.563000000000000e-3
3.194000000000000e+5	4.505000000000000e-13	4.505000000000000e-13			2.099000000000000e-1	2.585000000000000e-3
2.890000000000000e+5	6.080999999999999e-13	6.080999999999999e-13			2.088000000000000e-1	2.608000000000000e-3
2.615000000000000e+5	8.208000000000000e-13	8.208000000000000e-13			2.078000000000000e-1	2.630000000000000e-3
2.366000000000000e+5	1.108000000000000e-12	1.108000000000000e-12			2.067000000000000e-1	2.653000000000000e-3
2.141000000000000e+5	1.496000000000000e-12	1.496000000000000e-12			2.057000000000000e-1	2.677000000000000e-3
1.937000000000000e+5	2.019000000000000e-12	2.019000000000000e-12			2.047000000000000e-1	2.700000000000000e-3
1.753000000000000e+5	2.725000000000000e-12	2.725000000000000e-12			2.037000000000000e-1	2.724000000000000e-3
1.586000000000000e+5	3.679000000000000e-12	3.679000000000000e-12			2.026000000000000e-1	2.748000000000000e-3
1.435000000000000e+5	4.965000000000000e-12	4.965000000000000e-12			2.016000000000000e-1	2.772000000000000e-3
1.299000000000000e+5	6.703000000000000e-12	6.703000000000000e-12			2.006000000000000e-1	2.796000000000000e-3
1.175000000000000e+5	9.047999999999998e-12	9.047999999999998e-12			1.996000000000000e-1	2.819000000000000e-3
1.063000000000000e+5	1.221000000000000e-11	1.221000000000000e-11			1.986000000000000e-1	2.841000000000000e-3
9.620000000000000e+4	1.649000000000000e-11	1.649000000000000e-11			1.976000000000000e-1	2.862000000000000e-3
8.705000000000000e+4	2.225000000000000e-11	2.225000000000000e-11			1.967000000000000e-1	2.884000000000000e-3
7.877000000000000e+4	3.004000000000000e-11	3.004000000000000e-11			1.957000000000000e-1	2.906000000000000e-3
7.127000000000000e+4	4.055000000000000e-11	4.055000000000000e-11			1.947000000000000e-1	2.928000000000000e-3
6.449000000000000e+4	5.473000000000000e-11	5.473000000000000e-11			1.937000000000000e-1	2.950000000000000e-3
5.835000000000000e+4	7.388000000000000e-11	7.388000000000000e-11			1.928000000000000e-1	2.972000000000000e-3
5.280000000000000e+4	9.973000000000000e-11	9.973000000000000e-11			1.918000000000000e-1	2.994000000000000e-3
4.777000000000000e+4	1.346000000000000e-10	1.346000000000000e-10			1.908000000000000e-1	3.017000000000000e-3
4.323000000000000e+4	1.817000000000000e-10	1.817000000000000e-10			1.899000000000000e-1	3.040000000000000e-3
3.911000000000000e+4	2.453000000000000e-10	2.453000000000000e-10			1.889000000000000e-1	3.063000000000000e-3
3.539000000000000e+4	3.311000000000000e-10	3.311000000000000e-10			1.880000000000000e-1	3.086000000000000e-3
3.202000000000000e+4	4.470000000000000e-10	4.470000000000000e-10			1.871000000000000e-1	3.109000000000000e-3
2.898000000000000e+4	6.033000000000000e-10	6.033000000000000e-10			1.861000000000000e-1	3.133000000000000e-3
2.622000000000000e+4	8.144000000000000e-10	8.144000000000000e-10			1.852000000000000e-1	3.157000000000000e-3
2.372000000000000e+4	1.099000000000000e-9	1.099000000000000e-9			1.843000000000000e-1	3.181000000000000e-3
2.147000000000000e+4	1.484000000000000e-9	1.484000000000000e-9			1.834000000000000e-1	3.205000000000000e-3
1.942000000000000e+4	2.003000000000000e-9	2.003000000000000e-9			1.824000000000000e-1	3.229000000000000e-3
1.758000000000000e+4	2.704000000000000e-9	2.704000000000000e-9			1.815000000000000e-1	3.253000000000000e-3
1.590000000000000e+4	3.650000000000000e-9	3.650000000000000e-9			1.806000000000000e-1	3.278000000000000e-3
1.439000000000000e+4	4.927000000000001e-9	4.927000000000001e-9			1.797000000000000e-1	3.301000000000000e-3
1.302000000000000e+4	6.650000000000001e-9	6.650000000000001e-9			1.788000000000000e-1	3.321000000000000e-3
1.178000000000000e+4	8.977000000000000e-9	8.977000000000000e-9			1.779000000000000e-1	3.340000000000000e-3
1.066000000000000e+4	1.212000000000000e-8	1.212000000000000e-8			1.771000000000000e-1	3.359000000000000e-3
9.646000000000000e+3	1.636000000000000e-8	1.636000000000000e-8			1.762000000000000e-1	3.379000000000000e-3
8.728000000000000e+3	2.208000000000000e-8	2.208000000000000e-8			1.753000000000000e-1	3.399000000000000e-3
7.897000000000000e+3	2.980000000000000e-8	2.980000000000000e-8			1.744000000000000e-1	3.418000000000000e-3
7.146000000000000e+3	4.023000000000000e-8	4.023000000000000e-8			1.736000000000000e-1	3.438000000000000e-3
6.466000000000000e+3	5.431000000000000e-8	5.431000000000000e-8			1.727000000000000e-1	3.458000000000000e-3
5.850000000000000e+3	7.330000000000000e-8	7.330000000000000e-8			1.718000000000000e-1	3.478000000000000e-3
5.294000000000000e+3	9.895000000000000e-8	9.895000000000000e-8			1.710000000000000e-1	3.499000000000000e-3
4.790000000000000e+3	1.333000000000000e-7	1.333000000000000e-7			1.701000000000000e-1	3.519000000000000e-3
4.545000000000000e+3	1.558000000000000e-7	1.558000000000000e-7			1.693000000000000e-1	3.540000000000000e-3
4.522000000000000e+3	1.581000000000000e-7	1.581000000000000e-7			1.684000000000000e-1	3.560000000000000e-3
4.500000000000000e+3	1.604000000000000e-7	1.604000000000000e-7			1.676000000000000e-1	3.581000000000000e-3
4.477000000000000e+3	1.629000000000000e-7	1.629000000000000e-7			1.667000000000000e-1	3.602000000000000e-3
4.455000000000000e+3	1.653000000000000e-7	1.653000000000000e-7			1.659000000000000e-1	3.623000000000000e-3
4.433000000000000e+3	1.678000000000000e-7	1.678000000000000e-7			1.651000000000000e-1	3.644000000000000e-3
4.411000000000000e+3	1.704000000000000e-7	1.704000000000000e-7			1.643000000000000e-1	3.665000000000000e-3
4.389000000000000e+3	1.729000000000000e-7	1.729000000000000e-7			1.634000000000000e-1	3.687000000000000e-3
4.367000000000000e+3	1.756000000000000e-7	1.756000000000000e-7			1.626000000000000e-1	3.708000000000000e-3
4.345000000000000e+3	1.782000000000000e-7	1.782000000000000e-7			1.618000000000000e-1	3.730000000000000e-3
4.323000000000000e+3	1.809000000000000e-7	1.809000000000000e-7			1.610000000000000e-1	3.751000000000000e-3
4.302000000000000e+3	1.836000000000000e-7	1.836000000000000e-7			1.602000000000000e-1	3.773000000000000e-3
4.280000000000000e+3	1.864000000000000e-7	1.864000000000000e-7			1.594000000000000e-1	3.788000000000000e-3
4.259000000000000e+3	1.892000000000000e-7	1.892000000000000e-7			1.586000000000000e-1	3.800000000000000e-3
4.238000000000000e+3	1.921000000000000e-7	1.921000000000000e-7			1.578000000000000e-1	3.811000000000000e-3
4.217000000000000e+3	1.950000000000000e-7	1.950000000000000e-7			1.570000000000000e-1	3.823000000000000e-3
4.196000000000000e+3	1.979000000000000e-7	1.979000000000000e-7			1.563000000000000e-1	3.834000000000000e-3
4.175000000000000e+3	2.009000000000000e-7	2.009000000000000e-7			1.555000000000000e-1	3.846000000000000e-3
4.154000000000000e+3	2.040000000000000e-7	2.040000000000000e-7			1.547000000000000e-1	3.858000000000000e-3
4.133000000000000e+3	2.070000000000000e-7	2.070000000000000e-7			1.539000000000000e-1	3.869000000000000e-3
4.113000000000000e+3	2.102000000000000e-7	2.102000000000000e-7			1.532000000000000e-1	3.881000000000000e-3
4.092000000000000e+3	2.133000000000000e-7	2.133000000000000e-7			1.524000000000000e-1	3.893000000000000e-3
4.072000000000000e+3	2.166000000000000e-7	2.166000000000000e-7			1.516000000000000e-1	3.905000000000000e-3
4.051000000000000e+3	2.198000000000000e-7	2.198000000000000e-7			1.509000000000000e-1	3.916000000000000e-3
4.031000000000000e+3	2.232000000000000e-7	2.232000000000000e-7			1.501000000000000e-1	3.928000000000000e-3
4.011000000000000e+3	2.265000000000000e-7	2.265000000000000e-7			1.494000000000000e-1	3.940000000000000e-3
3.991000000000000e+3	2.300000000000000e-7	2.300000000000000e-7			1.486000000000000e-1	3.952000000000000e-3
