VAR1	VAR2	VAR3	VAR4	VAR5
5.000000000000000e-1	-2.639400000000000e+1	-2.665400000000000e+1	-2.681500000000000e+1	-2.571200000000000e+1
1.000000000000000e+0	-2.614400000000000e+1	-2.640400000000000e+1	-2.656500000000000e+1	-2.548600000000000e+1
1.500000000000000e+0	-2.589400000000000e+1	-2.615400000000000e+1	-2.631600000000000e+1	-2.528000000000000e+1
2.000000000000000e+0	-2.564400000000000e+1	-2.590600000000000e+1	-2.606900000000000e+1	-2.509500000000000e+1
2.500000000000000e+0	-2.539500000000000e+1	-2.565900000000000e+1	-2.582800000000000e+1	-2.493100000000000e+1
3.000000000000000e+0	-2.514700000000000e+1	-2.542100000000000e+1	-2.560300000000000e+1	-2.479100000000000e+1
3.500000000000000e+0	-2.490500000000000e+1	-2.520400000000000e+1	-2.542000000000000e+1	-2.468400000000000e+1
4.000000000000000e+0	-2.467800000000000e+1	-2.503600000000000e+1	-2.531300000000000e+1	-2.462300000000000e+1
4.500000000000000e+0	-2.449000000000000e+1	-2.495400000000000e+1	-2.530800000000000e+1	-2.462600000000000e+1
5.000000000000000e+0	-2.437900000000000e+1	-2.497600000000000e+1	-2.539800000000000e+1	-2.470300000000000e+1
5.500000000000000e+0	-2.438200000000000e+1	-2.509400000000000e+1	-2.555800000000000e+1	-2.485000000000000e+1
6.000000000000000e+0	-2.450300000000000e+1	-2.527800000000000e+1	-2.575900000000000e+1	-2.504600000000000e+1
6.500000000000000e+0	-2.471500000000000e+1	-2.549900000000000e+1	-2.597900000000000e+1	-2.526800000000000e+1
7.000000000000000e+0	-2.498000000000000e+1	-2.573700000000000e+1	-2.621000000000000e+1	-2.550300000000000e+1
7.500000000000000e+0	-2.527100000000000e+1	-2.598400000000000e+1	-2.644400000000000e+1	-2.574500000000000e+1
8.000000000000000e+0	-2.557600000000000e+1	-2.623400000000000e+1	-2.668000000000000e+1	-2.598900000000000e+1
8.500000000000000e+0	-2.588800000000000e+1	-2.648500000000000e+1	-2.691700000000000e+1	-2.623300000000000e+1
9.000000000000000e+0	-2.620200000000000e+1	-2.673700000000000e+1	-2.715400000000000e+1	-2.647800000000000e+1
9.500000000000000e+0	-2.651700000000000e+1	-2.698900000000000e+1	-2.739100000000000e+1	-2.672300000000000e+1
1.000000000000000e+1	-2.683200000000000e+1	-2.724100000000000e+1	-2.762800000000000e+1	-2.696700000000000e+1
