year	size	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16	VAR17	VAR18	VAR19	VAR20	VAR21	VAR22	VAR23	VAR24	VAR25	VAR26	VAR27	VAR28	VAR29	VAR30	VAR31	VAR32	VAR33	VAR34	VAR35	VAR36	VAR37	VAR38	VAR39	VAR40	VAR41	VAR42	VAR43	VAR44	VAR45	VAR46	VAR47	VAR48	VAR49	VAR50	VAR51	VAR52	VAR53	VAR54	VAR55	VAR56	VAR57	VAR58	VAR59	VAR60	VAR61	VAR62	VAR63	VAR64	VAR65	VAR66	VAR67	VAR68	VAR69	VAR70	VAR71	VAR72	VAR73	VAR74	VAR75	VAR76	VAR77	VAR78	VAR79	VAR80	VAR81	VAR82	VAR83	VAR84	VAR85	VAR86	VAR87	VAR88	VAR89	VAR90	VAR91	VAR92	VAR93	VAR94	VAR95	VAR96	VAR97	VAR98	VAR99	VAR100	VAR101	VAR102	VAR103	VAR104	VAR105	VAR106	VAR107	VAR108	VAR109	VAR110	VAR111	VAR112	VAR113	VAR114	VAR115	VAR116	VAR117	VAR118	VAR119	VAR120	VAR121	VAR122	VAR123	VAR124	VAR125	VAR126	VAR127	VAR128	VAR129	VAR130	VAR131
1.978800000000000e+3	1.000000000000000e+3																																																																																																																																	0.0000000000000000
1.979500000000000e+3	4.190000000000000e+3																																																																																																																																	
1.980600000000000e+3	5.400000000000000e+3																																																																																																																																	0.0000000000000000
1.983300000000000e+3	7.400000000000000e+3																																																																																																																																	0.0000000000000000
1.984900000000000e+3	9.740000000000000e+3																																																																																																																																	
1.985300000000000e+3	1.000000000000000e+4																																																																																																																																	0.0000000000000000
1.986500000000000e+3	1.200000000000000e+4																																																																																																																																	0.0000000000000000
1.986800000000000e+3	1.300000000000000e+4																																																																																																																																	0.0000000000000000
1.987100000000000e+3	1.350000000000000e+4																																																																																																																																	0.0000000000000000
1.987600000000000e+3	1.500000000000000e+4																																																																																																																																	0.0000000000000000
1.988000000000000e+3	1.700000000000000e+4																																																																																																																																	0.0000000000000000
1.988300000000000e+3	1.800000000000000e+4																																																																																																																																	0.0000000000000000
1.988700000000000e+3	2.000000000000000e+4																																																																																																																																	
1.989500000000000e+3	2.500000000000000e+4																																																																																																																																	
1.990000000000000e+3	2.775000000000000e+4																																																																																																																																	
1.990500000000000e+3	2.930000000000000e+4																																																																																																																																	
1.991000000000000e+3	3.300000000000000e+4																																																																																																																																	
1.991500000000000e+3	3.617000000000000e+4																																																																																																																																	
1.992000000000000e+3	3.805700000000000e+4																																																																																																																																	
1.992500000000000e+3	4.100000000000000e+4																																																																																																																																	
1.993000000000000e+3	4.370000000000000e+4																																																																																																																																	
1.993500000000000e+3	4.572300000000000e+4																																																																																																																																	
1.994500000000000e+3	4.938400000000000e+4																																																																																																																																	
1.995500000000000e+3	6.584000000000000e+4																																																																																																																																	
1.996000000000000e+3	7.578300000000000e+4																																																																																																																																	
1.996500000000000e+3	8.750000000000000e+4																																																																																																																																	
1.997000000000000e+3	9.585800000000000e+4																																																																																																																																	
1.997500000000000e+3	9.864200000000000e+4																																																																																																																																	
1.998500000000000e+3	1.403400000000000e+5																																																																																																																																	
1.998750000000000e+3	1.490920000000000e+5																																																																																																																																	
1.999000000000000e+3	1.495450000000000e+5																																																																																																																																	
1.999500000000000e+3	1.576000000000000e+5																																																																																																																																	
2.000000000000000e+3	1.623030000000000e+5																																																																																																																																	
2.000500000000000e+3	1.699970000000000e+5																																																																																																																																	
2.001000000000000e+3	1.783550000000000e+5																																																																																																																																	
2.001500000000000e+3	1.837160000000000e+5																																																																																																																																	
2.002000000000000e+3	2.028150000000000e+5																																																																																																																																	
2.002500000000000e+3	2.140000000000000e+5																																																																																																																																	
2.003000000000000e+3	2.193610000000000e+5																																																																																																																																	
2.003500000000000e+3	2.155350000000000e+5																																																																																																																																	
2.004000000000000e+3	2.211150000000000e+5																																																																																																																																	
2.004500000000000e+3	2.451800000000000e+5																																																																																																																																	
2.005000000000000e+3	2.485640000000000e+5																																																																																																																																	
2.005500000000000e+3	2.575150000000000e+5																																																																																																																																	
2.006000000000000e+3	2.711050000000000e+5																																																																																																																																	
2.006500000000000e+3	2.836330000000000e+5																																																																																																																																	
2.007000000000000e+3	2.167920000000000e+5																																																																																																																																	
2.008000000000000e+3	2.151560000000000e+5																																																																																																																																	
2.008500000000000e+3	2.159230000000000e+5																																																																																																																																	
2.009000000000000e+3	2.156880000000000e+5																																																																																																																																	
