year	size
1979	1.00E+03
1980	4.19E+03
1981	5.40E+03
1983	7.40E+03
1985	9.74E+03
1985	1.00E+04
1987	1.20E+04
1987	1.30E+04
1987	1.35E+04
1988	1.50E+04
1988	1.70E+04
1988	1.80E+04
1989	2.00E+04
1990	2.50E+04
1990	2.78E+04
1991	2.93E+04
1991	3.30E+04
1992	3.62E+04
1992	3.81E+04
1993	4.10E+04
1993	4.37E+04
1994	4.57E+04
1995	4.94E+04
1996	6.58E+04
1996	7.58E+04
1997	8.75E+04
1997	9.59E+04
1998	9.86E+04
1999	1.40E+05
1999	1.49E+05
1999	1.50E+05
2000	1.58E+05
2000	1.62E+05
2001	1.70E+05
2001	1.78E+05
2002	1.84E+05
2002	2.03E+05
2003	2.14E+05
2003	2.19E+05
2004	2.16E+05
2004	2.21E+05
2005	2.45E+05
2005	2.49E+05
2006	2.58E+05
2006	2.71E+05
2007	2.84E+05
2007	2.17E+05
2008	2.15E+05
2009	2.16E+05
2009	2.16E+05
