VAR1	VAR2
5.000000000000000e+3	9.618000000000000e-18
5.500000000000000e+3	1.023000000000000e-17
6.050000000000000e+3	1.094000000000000e-17
6.655000000000000e+3	1.189000000000000e-17
7.320500000000000e+3	1.337000000000000e-17
8.052550000000000e+3	1.561000000000000e-17
8.857805000000000e+3	1.867000000000000e-17
9.743586000000000e+3	2.286000000000000e-17
1.071794400000000e+4	2.961000000000000e-17
1.178973800000000e+4	4.312000000000000e-17
1.296871200000000e+4	7.194000000000000e-17
1.426558400000000e+4	1.290000000000000e-16
1.569214200000000e+4	2.263000000000000e-16
1.726135600000000e+4	3.518000000000000e-16
1.898749200000000e+4	5.422000000000001e-16
2.088624100000000e+4	1.213000000000000e-15
2.297486500000000e+4	4.979999999999999e-15
2.527235100000000e+4	1.743000000000000e-14
2.779958700000000e+4	3.426000000000000e-14
3.057954500000000e+4	5.047000000000000e-14
3.363750000000000e+4	6.637000000000000e-14
3.700125000000000e+4	8.402000000000000e-14
4.070137500000000e+4	1.052000000000000e-13
4.477151200000000e+4	1.324000000000000e-13
4.924866300000000e+4	1.695000000000000e-13
5.417353000000000e+4	2.207000000000000e-13
5.959088300000000e+4	2.945000000000000e-13
6.554997100000001e+4	4.059000000000000e-13
7.210496800000000e+4	5.709000000000000e-13
7.931546500000000e+4	7.722999999999998e-13
8.724701100000000e+4	9.537000000000000e-13
9.597171200000000e+4	1.074000000000000e-12
1.055688840000000e+5	1.119000000000000e-12
1.161257720000000e+5	1.108000000000000e-12
1.277383490000000e+5	1.093000000000000e-12
1.405121840000000e+5	1.104000000000000e-12
1.545634030000000e+5	1.137000000000000e-12
1.700197430000000e+5	1.174000000000000e-12
1.870217170000000e+5	1.208000000000000e-12
2.057238890000000e+5	1.247000000000000e-12
2.262962780000000e+5	1.273000000000000e-12
2.489259060000000e+5	1.224000000000000e-12
2.738184960000000e+5	1.033000000000000e-12
3.012003460000000e+5	7.679999999999998e-13
3.313203800000000e+5	5.679000000000000e-13
3.644524180000000e+5	4.608999999999999e-13
4.008976600000000e+5	4.150000000000000e-13
4.409874260000000e+5	4.015000000000000e-13
4.850861690000000e+5	4.013999999999999e-13
5.335947860000000e+5	3.985000000000000e-13
5.869542640000000e+5	3.775999999999999e-13
6.456496910000000e+5	3.415000000000000e-13
7.102146600000000e+5	3.152000000000000e-13
7.812361260000000e+5	3.077000000000000e-13
8.593597390000000e+5	3.082000000000000e-13
9.452957120000000e+5	3.051000000000000e-13
1.039825284000000e+6	2.942000000000000e-13
1.143807812000000e+6	2.807000000000000e-13
1.258188593000000e+6	2.685000000000000e-13
1.384007452000000e+6	2.564000000000000e-13
1.522408198000000e+6	2.408000000000000e-13
1.674649017000000e+6	2.194000000000000e-13
1.842113919000000e+6	1.938000000000000e-13
2.026325311000000e+6	1.677000000000000e-13
2.228957842000000e+6	1.434000000000000e-13
2.451853626000000e+6	1.220000000000000e-13
2.697038989000000e+6	1.032000000000000e-13
2.966742888000000e+6	8.761000000000000e-14
