Te	heat	VAR3	VAR4	VAR5	VAR6
1.000000000000000e+1	4.231700000000000e-22	5.435699999999999e-26	1.000000000000000e+1	3.488900000000000e-22	1.288200000000000e-26
1.148100000000000e+1	3.641900000000000e-22	5.779799999999999e-26	1.148100000000000e+1	3.282800000000000e-22	1.857100000000000e-26
1.318200000000000e+1	3.264300000000000e-22	6.383200000000000e-26	1.318200000000000e+1	3.083400000000000e-22	3.093200000000000e-26
1.513400000000000e+1	2.920100000000000e-22	7.370400000000000e-26	1.513400000000000e+1	2.890500000000000e-22	4.698400000000000e-26
1.737500000000000e+1	2.656000000000000e-22	9.071300000000000e-26	1.737500000000000e+1	2.705000000000000e-22	6.861400000000001e-26
1.994900000000000e+1	2.482100000000000e-22	1.158400000000000e-25	1.994900000000000e+1	2.527400000000000e-22	9.768600000000000e-26
2.290300000000000e+1	2.313200000000000e-22	1.500800000000000e-25	2.290300000000000e+1	2.358000000000000e-22	1.358000000000000e-25
2.629500000000000e+1	2.153100000000000e-22	1.952000000000000e-25	2.629500000000000e+1	2.197100000000000e-22	1.845300000000000e-25
3.019000000000000e+1	2.001900000000000e-22	2.537600000000000e-25	3.019000000000000e+1	2.045000000000000e-22	2.460800000000000e-25
3.466100000000000e+1	1.859700000000000e-22	3.293200000000000e-25	3.466100000000000e+1	1.901700000000000e-22	3.234100000000000e-25
3.979499999999999e+1	1.726300000000000e-22	4.266700000000000e-25	3.979500000000000e+1	1.767100000000000e-22	4.206000000000000e-25
4.568899999999999e+1	1.601500000000000e-22	5.508300000000000e-25	4.568900000000000e+1	1.641000000000000e-22	5.417800000000000e-25
5.245500000000000e+1	1.485000000000000e-22	7.063299999999999e-25	5.245500000000000e+1	1.523200000000000e-22	6.905300000000000e-25
6.022400000000000e+1	1.376600000000000e-22	8.965000000000000e-25	6.022400000000000e+1	1.413300000000000e-22	8.694400000000000e-25
6.914399999999999e+1	1.275800000000000e-22	1.123400000000000e-24	6.914400000000001e+1	1.311100000000000e-22	1.080200000000000e-24
7.938499999999998e+1	1.183100000000000e-22	1.388000000000000e-24	7.938500000000000e+1	1.216300000000000e-22	1.324000000000000e-24
9.114200000000000e+1	1.096500000000000e-22	1.690600000000000e-24	9.114200000000000e+1	1.128200000000000e-22	1.602400000000000e-24
1.046400000000000e+2	1.024600000000000e-22	1.958500000000000e-24	1.046400000000000e+2	1.046400000000000e-22	1.917600000000000e-24
1.201400000000000e+2	9.478900000000000e-23	2.359900000000000e-24	1.201400000000000e+2	9.706000000000000e-23	2.271800000000000e-24
1.379300000000000e+2	8.772899999999998e-23	2.791400000000000e-24	1.379300000000000e+2	9.004000000000000e-23	2.666000000000000e-24
1.583600000000000e+2	8.123500000000000e-23	3.249100000000000e-24	1.583600000000000e+2	8.354100000000000e-23	3.099000000000000e-24
1.818200000000000e+2	7.526000000000000e-23	3.727800000000000e-24	1.818200000000000e+2	7.752399999999998e-23	3.567300000000000e-24
2.087400000000000e+2	6.975899999999999e-23	4.220699999999999e-24	2.087400000000000e+2	7.195599999999999e-23	4.064100000000000e-24
2.396600000000000e+2	6.468899999999999e-23	4.719899999999999e-24	2.396600000000000e+2	6.680100000000000e-23	4.579800000000000e-24
2.751600000000000e+2	5.991500000000000e-23	5.216900000000000e-24	2.751600000000000e+2	6.202800000000000e-23	5.102600000000000e-24
3.159100000000000e+2	5.560399999999999e-23	5.701800000000000e-24	3.159100000000000e+2	5.760999999999999e-23	5.619300000000000e-24
3.627000000000000e+2	5.161899999999999e-23	6.166699999999999e-24	3.627000000000000e+2	5.351499999999999e-23	6.116700000000000e-24
4.164199999999999e+2	4.793400000000000e-23	6.603400000000000e-24	4.164200000000000e+2	4.971999999999999e-23	6.582600000000000e-24
4.780900000000000e+2	4.452099999999999e-23	7.004299999999999e-24	4.780900000000000e+2	4.620000000000000e-23	7.005900000000001e-24
