density	temperature	pressure
1.000000000000000e+0	1.320000000000000e+7	4.210000000000000e-8
1.250000000000000e+0	1.320000000000000e+7	7.490000000000000e-8
1.500000000000000e+0	1.320000000000000e+7	1.330000000000000e-7
1.750000000000000e+0	1.320000000000000e+7	2.370000000000000e-7
2.000000000000000e+0	1.320000000000000e+7	4.210000000000000e-7
2.250000000000000e+0	1.320000000000000e+7	7.470000000000000e-7
2.500000000000000e+0	1.320000000000000e+7	1.330000000000000e-6
2.750000000000000e+0	1.310000000000000e+7	2.350000000000000e-6
3.000000000000000e+0	1.310000000000000e+7	4.160000000000000e-6
3.250000000000000e+0	1.290000000000000e+7	7.320000000000000e-6
3.500000000000000e+0	1.270000000000000e+7	1.280000000000000e-5
3.750000000000000e+0	1.230000000000000e+7	2.210000000000000e-5
4.000000000000000e+0	1.170000000000000e+7	3.710000000000000e-5
4.250000000000000e+0	1.060000000000000e+7	6.000000000000000e-5
4.500000000000000e+0	8.980000000000000e+6	9.030000000000000e-5
4.750000000000000e+0	6.730000000000000e+6	1.200000000000000e-4
5.000000000000000e+0	4.070000000000000e+6	1.300000000000000e-4
5.250000000000000e+0	1.760000000000000e+6	9.950000000000000e-5
5.500000000000000e+0	1.050000000000000e+6	1.060000000000000e-4
5.750000000000000e+0	6.410000000000000e+5	1.150000000000000e-4
6.000000000000000e+0	2.130000000000000e+5	6.779999999999999e-5
6.250000000000000e+0	1.330000000000000e+5	7.500000000000000e-5
6.500000000000000e+0	8.980000000000000e+4	9.030000000000000e-5
6.750000000000000e+0	5.840000000000000e+4	1.050000000000000e-4
7.000000000000000e+0	4.260000000000000e+4	1.360000000000000e-4
7.250000000000000e+0	3.510000000000000e+4	1.980000000000000e-4
7.500000000000000e+0	2.990000000000000e+4	3.010000000000000e-4
7.750000000000000e+0	2.640000000000000e+4	4.730000000000000e-4
8.000000000000000e+0	2.430000000000000e+4	7.720000000000000e-4
8.250000000000000e+0	2.290000000000000e+4	1.290000000000000e-3
8.500000000000000e+0	2.190000000000000e+4	2.200000000000000e-3
8.750000000000000e+0	2.080000000000000e+4	3.720000000000000e-3
9.000000000000000e+0	1.950000000000000e+4	6.210000000000000e-3
9.250000000000000e+0	1.830000000000000e+4	1.030000000000000e-2
9.500000000000000e+0	1.720000000000000e+4	1.730000000000000e-2
9.750000000000000e+0	1.660000000000000e+4	2.960000000000000e-2
1.000000000000000e+1	1.630000000000000e+4	5.160000000000000e-2
1.030000000000000e+1	1.610000000000000e+4	9.020000000000000e-2
1.050000000000000e+1	1.560000000000000e+4	1.540000000000000e-1
1.080000000000000e+1	1.460000000000000e+4	2.550000000000000e-1
1.100000000000000e+1	1.350000000000000e+4	4.110000000000000e-1
1.130000000000000e+1	1.230000000000000e+4	6.580000000000000e-1
1.150000000000000e+1	1.140000000000000e+4	1.050000000000000e+0
1.180000000000000e+1	1.070000000000000e+4	1.720000000000000e+0
1.200000000000000e+1	1.030000000000000e+4	2.800000000000000e+0
