optical depth	a=1e-2	a=1e-3	a=1e-4
1.320000000000000e-2	9.910000000000000e-1	9.910000000000000e-1	9.910000000000000e-1
1.740000000000000e-2	9.880000000000000e-1	9.880000000000000e-1	9.880000000000000e-1
2.290000000000000e-2	9.840000000000000e-1	9.840000000000000e-1	9.840000000000000e-1
3.020000000000000e-2	9.790000000000000e-1	9.790000000000000e-1	9.790000000000000e-1
3.980000000000000e-2	9.720000000000000e-1	9.720000000000000e-1	9.720000000000000e-1
5.250000000000000e-2	9.640000000000000e-1	9.640000000000000e-1	9.640000000000000e-1
6.920000000000000e-2	9.520000000000000e-1	9.520000000000000e-1	9.520000000000000e-1
9.120000000000000e-2	9.380000000000000e-1	9.380000000000000e-1	9.380000000000000e-1
1.200000000000000e-1	9.190000000000000e-1	9.190000000000000e-1	9.190000000000000e-1
1.580000000000000e-1	8.950000000000000e-1	8.950000000000000e-1	8.950000000000000e-1
2.090000000000000e-1	8.640000000000000e-1	8.640000000000000e-1	8.640000000000000e-1
2.750000000000000e-1	8.250000000000000e-1	8.250000000000000e-1	8.260000000000000e-1
3.630000000000000e-1	7.770000000000000e-1	7.780000000000000e-1	7.780000000000000e-1
4.790000000000000e-1	7.190000000000000e-1	7.190000000000000e-1	7.190000000000000e-1
6.310000000000000e-1	6.500000000000000e-1	6.500000000000000e-1	6.500000000000000e-1
8.320000000000000e-1	5.709999999999999e-1	5.709999999999999e-1	5.709999999999999e-1
1.100000000000000e+0	4.840000000000000e-1	4.840000000000000e-1	4.840000000000000e-1
1.450000000000000e+0	3.930000000000000e-1	3.930000000000000e-1	3.930000000000000e-1
1.910000000000000e+0	3.050000000000000e-1	3.040000000000000e-1	3.040000000000000e-1
2.510000000000000e+0	2.250000000000000e-1	2.240000000000000e-1	2.240000000000000e-1
3.310000000000000e+0	1.590000000000000e-1	1.580000000000000e-1	1.580000000000000e-1
4.370000000000000e+0	1.100000000000000e-1	1.080000000000000e-1	1.080000000000000e-1
5.750000000000000e+0	7.600000000000000e-2	7.400000000000000e-2	7.380000000000000e-2
7.590000000000000e+0	5.340000000000000e-2	5.120000000000000e-2	5.100000000000000e-2
1.000000000000000e+1	3.840000000000000e-2	3.610000000000000e-2	3.590000000000000e-2
1.320000000000000e+1	2.810000000000000e-2	2.580000000000000e-2	2.560000000000000e-2
1.740000000000000e+1	2.090000000000000e-2	1.870000000000000e-2	1.840000000000000e-2
2.290000000000000e+1	1.580000000000000e-2	1.360000000000000e-2	1.340000000000000e-2
3.020000000000000e+1	1.220000000000000e-2	9.950000000000000e-3	9.730000000000002e-3
3.980000000000000e+1	9.500000000000000e-3	7.330000000000000e-3	7.110000000000000e-3
5.250000000000000e+1	7.560000000000000e-3	5.430000000000000e-3	5.210000000000000e-3
6.920000000000000e+1	6.130000000000000e-3	4.050000000000000e-3	3.830000000000000e-3
9.120000000000000e+1	5.070000000000000e-3	3.040000000000000e-3	2.830000000000000e-3
1.200000000000000e+2	4.280000000000000e-3	2.300000000000000e-3	2.090000000000000e-3
1.580000000000000e+2	3.680000000000000e-3	1.750000000000000e-3	1.550000000000000e-3
2.090000000000000e+2	3.220000000000000e-3	1.350000000000000e-3	1.150000000000000e-3
2.750000000000000e+2	2.860000000000000e-3	1.050000000000000e-3	8.570000000000000e-4
3.630000000000000e+2	2.570000000000000e-3	8.330000000000000e-4	6.410000000000000e-4
4.790000000000000e+2	2.340000000000000e-3	6.700000000000000e-4	4.810000000000000e-4
6.310000000000000e+2	2.130000000000000e-3	5.470000000000000e-4	3.620000000000000e-4
8.320000000000000e+2	1.960000000000000e-3	4.560000000000000e-4	2.740000000000000e-4
1.100000000000000e+3	1.790000000000000e-3	3.870000000000000e-4	2.090000000000000e-4
1.450000000000000e+3	1.630000000000000e-3	3.340000000000000e-4	1.610000000000000e-4
1.910000000000000e+3	1.480000000000000e-3	2.940000000000000e-4	1.250000000000000e-4
2.510000000000000e+3	1.330000000000000e-3	2.630000000000000e-4	9.780000000000000e-5
3.310000000000000e+3	1.190000000000000e-3	2.380000000000000e-4	7.780000000000000e-5
4.370000000000000e+3	1.050000000000000e-3	2.180000000000000e-4	6.279999999999999e-5
5.750000000000000e+3	9.140000000000000e-4	2.010000000000000e-4	5.160000000000000e-5
7.590000000000000e+3	7.920000000000000e-4	1.860000000000000e-4	4.310000000000000e-5
1.000000000000000e+4	6.830000000000000e-4	1.720000000000000e-4	3.660000000000000e-5
